,Unnamed: 0,text,text_count
0,0,Biënnale van Venetië 2017 Vijf kunstenaars hopen het Nederlands Biënnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,1
1,5,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen",1
2,10,"'Bompakketje' Namibië was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibië, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ",1
3,15,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Israël heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,1
4,20,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,1
5,25,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,1
6,31,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,1
7,35,Zelfrijdende auto’s De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,1
8,40,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern",1
9,45,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk én figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde",1
10,50,"De Achterpagina bezoekt bijzondere kleedkamers.  Vandaag het mooiste voetbalstadion van Nederland, De Kuip in Rotterdam, thuishaven van Feyenoord",1
11,55,Van koffie tot heroïne Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot heroïne: in drie minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij.  Het begint braaf in de Verenigde Staten: in 1912 klaagt de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafeïne aan hun dranken,1
12,60,"Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans.  Immers, je cyclus bepaalt niet wie je bent",1
13,65,"Een paar weken geleden, op één van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets.  Vertrekkend vanaf het waterfietsstation tegenover het Américain, passeerden wij de duiven die onder de brug bij de Leidsegracht zaten te broeden",1
14,70,KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus.  De koper Telefónica moet de strijd nu aangaan met grote Duitse concurrenten,1
15,75,Opnieuw strijd om Eksit – al is de poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek Eksit van journalist Kees Vermeer.  De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,1
16,80,Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij.  Nieuwe verhalen van jonge schrijvers op de grens van twee werelden,1
18,90,"Een paar dagen nadat de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zo’n trein die op het Centraal Station op het punt stond te vertrekken.  Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje door, laptop openen, enz",1
19,95,Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische Arbeiderspartij PKK en het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak.  De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten bij de Iraaks-Turkse grens,1
20,100,"Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV.  De Franse president Chirac hoorde gisteren aan de Rivièra welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met de eerste ploeg landen die in 1999 de Economische en Monetaire Unie binnengaat",1
21,105,"Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een zeer offensief elftal in het veld.  In de spits keert Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug",1
23,115,"Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR.  Rintje Ritsma, Gianni Romme en Bob de Jong zijn afgelopen weekeinde in Groningen op de NK afstanden kampioen op respectievelijk de 1",1
24,120,Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een privé-adres te hebben gebruikt voor e-mails over onder andere de aanval op de Amerikaanse ambassade in Benghazi in 2011.  Een commissie eiste de openbaarmaking van die mails,1
25,125,"Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering.  In de sterk veranderde wereldeconomie moet het IMF op zoek naar een nieuwe rol, nu minder landen een beroep doen op het fonds",1
