Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,Vier boeken zoeken antwoorden Over de toekomst van welk land gn de verkiezingen eigenlijk.  Vier boeken zoeken het antwoord,Vier boeken zoeken antwoorden Over de toekomst <extra_id_0> de verkiezingen eigenlijk. Vier boeken zoeken het antwoord,Vier boeken zoeken antwoorden Over de toekomst van de verkiezingen eigenlijk. Vier boeken zoeken het antwoord,['van welk land gn'],['van'],4,20,1,[0.8125],0.81
seq1-0,base,"Populisten in Zweden beschuldigen sociaal-democraten van racisme  onterecht volgens historici De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben.  Historici maken gehakt van de claims","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht volgens historici De extreem-rechtse Zweden <extra_id_0> racisme, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben. <extra_id_1> de claims","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht volgens historici De extreem-rechtse Zweden die beschuldigd zijn van racisme, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben. Dit zijn de claims","['Democraten', 'beschuldigd van', 'Historici maken gehakt van']","['die beschuldigd zijn van', 'Dit zijn']",7,20,1,"[0.875, 0.8666666666666667]",0.87
seq2-0,base,Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met snelle en gratis busritten van Leiden naar Den Haag.  De provincie is vol goede moed; de passagier 'moet het nog zien',Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met snelle en gratis <extra_id_0> naar Den Haag. De provincie is vol goede <extra_id_1> het nog zien',Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met snelle en gratis busvervoer naar Den Haag. De provincie is vol goede moed. 'Laat het nog zien',"['busritten van Leiden', '""moed; de passagier \'moet""']","['busvervoer', ""moed. 'Laat""]",7,20,1,"[0.7, 0.6923076923076923]",0.7
seq3-0,base,"Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven.  Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag de Dienst Terugkeer en Vertrek de kerk niet in, is het idee","Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, <extra_id_0> niet of ze hier mogen blijven. Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag de <extra_id_1> Vertrek de <extra_id_2> is het idee","Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar weet niet of ze hier mogen blijven. Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag de kerk Vertrek de kerkdienst is het idee","['maar ze weten', 'Dienst Terugkeer en', 'kerk niet in,']","['maar weet', 'kerk', 'kerkdienst']",9,20,1,"[0.38461538461538464, 0.8421052631578947, 0.5384615384615384]",0.59
seq4-0,base,"bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het stikstofbeleid van het kabinet.  Op het Malieveld zijn ze deze keer niet welkom, op het naastgelegen park Koekamp wel","bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den <extra_id_0> te demonstreren tegen <extra_id_1> het kabinet. Op het Malieveld zijn ze deze keer niet welkom, op <extra_id_2> Koekamp wel","bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen de plannen van het kabinet. Op het Malieveld zijn ze deze keer niet welkom, op het Koekamp wel","['Haag om', 'het stikstofbeleid van', 'het naastgelegen park']","['Haag om', 'de plannen van', 'het']",8,20,1,"[0.0, 0.6818181818181818, 0.8571428571428571]",0.51
seq5-0,base,"Smartfoto's De beste camera, zeggen fotografen, is de camera die je bij je hebt.  En dat is steeds vaker een iPhone",Smartfoto's De beste <extra_id_0> de camera die je bij je hebt. En dat is steeds vaker een iPhone,Smartfoto's De beste foto is de camera die je bij je hebt. En dat is steeds vaker een iPhone,"['camera', 'zeggen fotografen', 'is']",['foto is'],4,20,1,[1.0],1.0
seq6-0,base,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan verbetering.  We willen de verbouwing combineren met energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is <extra_id_0> willen de verbouwing combineren met energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is leeg. We willen de verbouwing combineren met energiebesparende maatregelen,['toe aan verbetering. We'],['leeg. We'],4,20,1,[0.6956521739130435],0.7
seq7-0,base,"Maffia zet rabbijn in Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als een man van wie je vermoedt dat hij een huurmoordenaar is, in Las Vegas tegen je zegt dat 'we een stukje gaan rijden', dan weet je wel hoe laat het is.  En inderdaad, na een paar onnavolgbare dialogen is het zover, waarna de hitman tevreden kan constateren dat 'de menselijke schedel de allerbeste geluidsdemper is'","Maffia zet rabbijn in Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als <extra_id_0> wie je vermoedt dat hij een huurmoordenaar is, in Las Vegas tegen je zegt dat <extra_id_1> gaan rijden', dan weet je wel hoe laat het is. En inderdaad, na een paar onnavolgbare dialogen is <extra_id_2> waarna de hitman tevreden kan constateren <extra_id_3> schedel <extra_id_4> is'","Maffia zet rabbijn in Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als een man van wie je vermoedt dat hij een huurmoordenaar is, in Las Vegas tegen je zegt dat 'je moet gaan rijden', dan weet je wel hoe laat het is. En inderdaad, na een paar onnavolgbare dialogen is er een film waarna de hitman tevreden kan constateren dat zijn schedel 'kapot is'","['een man van', '""\'we een stukje""', 'het zover,', '""dat \'de menselijke""', 'de allerbeste geluidsdemper']","['een man van', ""'je moet"", 'er een film', 'dat zijn', ""'kapot""]",14,20,1,"[0.0, 0.75, 0.9090909090909091, 0.7, 0.9259259259259259]",0.66
seq8-0,base,"Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over domme vragen, vrouwelijke wetenschappers die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek.  Michail Saltykov-Sjtsjedrin Pegasus,  21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar weinig in het Nederlands vertaald","Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over <extra_id_0> die correspondeerden met Darwin en het sluitstuk van <extra_id_1> Saltykov-Sjtsjedrin Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar <extra_id_2> Nederlands vertaald","Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over de lessen die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek Michail Saltykov-Sjtsjedrin Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar liefst Nederlands vertaald","['domme vragen', 'vrouwelijke wetenschappers', 'de Berber-bibliotheek. Michail', 'weinig in het']","['de lessen', 'de Berber-bibliotheek Michail', 'liefst']",10,20,1,"[0.5833333333333334, 0.896551724137931, 0.9]",0.79
seq9-0,base,"Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, 100 meter (m) De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden","Just Fontein, Pieter <extra_id_0> Lennart Bloemhof 14 augustus <extra_id_1> 25 uur, atletiek, 100 meter (m) De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden","Just Fontein, Pieter van der Meulen, Lennart Bloemhof 14 augustus 2018, 25 uur, atletiek, 100 meter (m) De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden","['Hotse Smit en', '2016', '19:50 03.']","['van der Meulen,', '2018,']",6,20,1,"[0.8, 0.4]",0.6
