text,text_count
"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:",24
In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,17
… altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,14
"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.",12
Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,11
De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,11
. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,10
Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemenië. Hoe hield ze zich staande onder het bewind van Ceaușescu? Deel,10
"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:",9
De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,9
"Terwijl de pest op de deur klopte, vertelden de Florentijnse jongeren van Giovanni Boccaccio elkaar sterke verhalen over verliefdheid, waanzin en bedrog om de verveling van hun quarantaine te doorbreken. Nu, zevenhonderd jaar later, kunnen we die traditie voortzetten. Verteller nummer",8
Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit Washington over het Amerika van Donald Trump. In aflevering,8
De komende maanden onderzoeken journalisten Hidde Boersma en Janno Lanjouw hoe de Nederlandse landbouw de stap probeert te zetten naar een milieuvriendelijkere toekomst. Deze week:,8
"getelde doden en vermisten op de Middellandse Zee was deze week, volgens het Missing Migrants Project (IOM):",7
Ter gelegenheid van het verschijnen van het volledige vertaalde oeuvre van Sigmund Freud in Nederland herleest Hans Driessen,7
"de aflevering van Boeken FM, de literatuurpodcast van De Groene en uitgeverij Das Mag, bespreken Joost de Vries en Ellen Deckwitz onder leiding van Peter Buurman",7
"Voor de blog ‘Terug naar Welkom’ reist journalist Margalith Kleijwegt terug naar het Zuid-Afrikaanse Welkom, een mijnstadje dat ze 27 jaar geleden voor het eerst bezocht samen met fotograaf Ad van Denderen. In deel",7
cultuurtips voor dit weekend (en de komende week) – De Groene Amsterdammer Kunst & Cultuur Aanbevolen,6
"zit vol problemen die niemand lijkt te kunnen oplossen. Wie niet goed begrijpt hoe die wereld werkt, is niet gek of dom. Want de wereld ís ook complexer, chaotischer en moeilijker te besturen dan voorheen. In een serie interviews laat De Groene",6
"In aanloop naar de gemeenteraadsverkiezingen in Rotterdam, waar zowel alle landelijke politieke partijen als vele nieuwkomers aan deelnemen, bloggen Guido van Eijck en Saskia Naafs over de belangrijkste verkiezingsthema’s in de Maasstad.",6
"virtuele rondleidingen door musea, spontane optredens op Instagram en een enkele all-time favourite van een van onze kunstcritici.",6
