Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer <extra_id_0> nog vastzitten? <extra_id_1> de <extra_id_2> vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer veertig Palestijnen die nog vastzitten? In dit artikel worden de belangrijkste vragen beantwoord.,"['120 gijzelaars die', 'En waarom zwijgen', 'meeste wereldleiders? Vijf']","['veertig Palestijnen die', 'In dit artikel worden', 'belangrijkste']",9,20,1,"[0.7391304347826086, 0.6666666666666666, 0.8461538461538461]",0.75
seq1-0,xl,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse <extra_id_0> ongekend hoog. <extra_id_1> actie voor de ongeveer 120 gijzelaars die <extra_id_2> waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse kant is ongekend hoog. Maar wie komt er in actie voor de ongeveer 120 gijzelaars die nog leven en waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,"['zijde is echter', 'Wat betekent deze', 'nog vastzitten? En']","['kant is', 'Maar wie komt er in', 'nog leven en']",9,20,1,"[0.8, 0.7368421052631579, 0.5555555555555556]",0.7
seq2-0,xl,"Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van PlayStation. Voorheen produceerde Hulst de succesvolle gameseries Killzone en Horizon. Hij krijgt de taak om s werelds grootste gamebedrijf door een tumultueuze tijd in de game-industrie te leiden.","Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van <extra_id_0> Hulst de succesvolle gameseries Killzone en <extra_id_1> de taak om s werelds grootste gamebedrijf door <extra_id_2> in de game-industrie te leiden.","Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van PlayStation 4. In de afgelopen jaren leidde Hulst de succesvolle gameseries Killzone en krijgt nu de taak om s werelds grootste gamebedrijf door de veranderingen in de game-industrie te leiden.","['PlayStation. Voorheen produceerde', 'Horizon. Hij krijgt', 'een tumultueuze tijd']","['PlayStation 4. In de afgelopen jaren leidde', 'krijgt nu', 'de veranderingen']",9,20,1,"[0.5116279069767442, 0.8421052631578947, 0.85]",0.73
seq3-0,xl,"De liberaal-conservatieve Nieuw-Vlaamse Alliantie (N-VA) blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de regionale verkiezingen, die vandaag tegelijk met de Europese en landelijke verkiezingen plaatsvonden.","De liberaal-conservatieve <extra_id_0> blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de <extra_id_1> die vandaag tegelijk <extra_id_2> en landelijke verkiezingen plaatsvonden.","De liberaal-conservatieve N-VA blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de verkiezingen die vandaag tegelijk met de gemeente- en landelijke verkiezingen plaatsvonden.","['Nieuw-Vlaamse Alliantie (N-VA)', 'regionale verkiezingen,', 'met de Europese']","['N-VA', 'verkiezingen', 'met de gemeente-']",8,20,1,"[0.8666666666666667, 0.4782608695652174, 0.5]",0.61
seq4-0,xl,"De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia Rotterdam. ,,De jongste deelnemer ooit, van dertien jaar oud, is samen met haar vader eerste geworden.","De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar <extra_id_0> 11.500 euro opgehaald voor het Ronald McDonald Huis <extra_id_1> deelnemer ooit, van <extra_id_2> is samen met haar vader eerste geworden.","De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar werd 11.500 euro opgehaald voor het Ronald McDonald Huis De jongste deelnemer ooit, van Duitsland, is samen met haar vader eerste geworden.","['is er ruim', 'Sophia Rotterdam. ,,De jongste', 'dertien jaar oud,']","['werd', 'De jongste', 'Duitsland,']",10,20,1,"[0.8, 0.6666666666666666, 0.7647058823529411]",0.74
seq5-0,xl,"Lieke Martens kon met een overwinning afscheid van het thuispubliek. Maar ze laat een kwetsbaar team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.","Lieke Martens kon met een <extra_id_0> van het thuispubliek. Maar ze <extra_id_1> team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.","Lieke Martens kon met een 8-0 zege rekenen op de steun van het thuispubliek. Maar ze liet een team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.","['overwinning afscheid', 'laat een kwetsbaar']","['8-0 zege rekenen op de steun', 'liet een']",5,20,1,"[0.7857142857142857, 0.6666666666666666]",0.73
seq6-0,xl,NRC bespreekt deze weken de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,<extra_id_0> de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,praat de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,['NRC bespreekt deze weken'],['praat'],4,20,1,[0.875],0.88
seq7-0,xl,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet alsnog mee.,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. <extra_id_0> Farage met een verrassing: <extra_id_1> mee.,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Nu komt Farage met een verrassing: hij doet mee.,"['Maandag kwam Nigel', 'hij doet alsnog']","['Nu komt', 'hij doet']",6,20,1,"[0.8333333333333334, 0.4666666666666667]",0.65
seq8-0,xl,"Wie noodgedwongen zzper wordt, heeft het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","Wie <extra_id_0> het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","Wie is de baas? Veel zelfstandigen doen het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","['noodgedwongen zzper wordt', 'heeft']",['is de baas? Veel zelfstandigen doen'],4,20,1,[0.8285714285714286],0.83
seq9-0,xl,Amsterdammers mogen donderdag behalve voor het Europees Parlement ook stemmen over groen in hun stad.,Amsterdammers mogen donderdag <extra_id_0> Europees Parlement ook stemmen over groen in hun stad.,Amsterdammers mogen donderdag in het Europees Parlement ook stemmen over groen in hun stad.,['behalve voor het'],['in het'],3,20,1,[0.75],0.75
