Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Vier boeken zoeken antwoorden Over de toekomst van welk land gn de verkiezingen eigenlijk.  Vier boeken zoeken het antwoord,Vier boeken zoeken antwoorden Over de toekomst van welk land gn <extra_id_0> eigenlijk. Vier boeken <extra_id_1>,"['de verkiezingen', 'zoeken het antwoord']",5,25.0,1
"Populisten in Zweden beschuldigen sociaal-democraten van racisme  onterecht volgens historici De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben.  Historici maken gehakt van de claims","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht <extra_id_0> extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een <extra_id_1> juist <extra_id_2> die nazistische wortels hebben. Historici maken gehakt van de claims","['volgens historici De', 'campagnefilm dat het', 'de Sociaaldemocraten zijn']",9,25.0,1
Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met snelle en gratis busritten van Leiden naar Den Haag.  De provincie is vol goede moed; de passagier 'moet het nog zien',Gratis busvervoer ontlokt op <extra_id_0> gejuich Zuid-Holland experimenteert een jaar met snelle en gratis busritten van Leiden <extra_id_1> Haag. De provincie is vol goede moed; de <extra_id_2> nog zien',"['A44 geen daverend', 'naar Den', ""passagier 'moet het""]",8,25.0,1
"Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven.  Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag de Dienst Terugkeer en Vertrek de kerk niet in, is het idee","Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven. Beeld Arie Kieviet <extra_id_0> kerkdienst gaande is, mag <extra_id_1> Terugkeer <extra_id_2> kerk niet <extra_id_3> idee","['Zolang er een', 'de Dienst', 'en Vertrek de', 'in, is het']",11,25.0,1
"bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het stikstofbeleid van het kabinet.  Op het Malieveld zijn ze deze keer niet welkom, op het naastgelegen park Koekamp wel","bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het <extra_id_0> kabinet. Op het Malieveld <extra_id_1> niet welkom, <extra_id_2> park Koekamp wel","['stikstofbeleid van het', 'zijn ze deze keer', 'op het naastgelegen']",10,25.0,1
"Smartfoto's De beste camera, zeggen fotografen, is de camera die je bij je hebt.  En dat is steeds vaker een iPhone","Smartfoto's De beste camera, zeggen fotografen, is de camera die je <extra_id_0> hebt. En dat <extra_id_1> een iPhone","['bij je', 'is steeds vaker']",5,25.0,1
Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan verbetering.  We willen de verbouwing combineren met energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan <extra_id_0> willen de <extra_id_1> energiebesparende maatregelen,"['verbetering. We', 'verbouwing combineren met']",5,25.0,1
"Maffia zet rabbijn in Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als een man van wie je vermoedt dat hij een huurmoordenaar is, in Las Vegas tegen je zegt dat 'we een stukje gaan rijden', dan weet je wel hoe laat het is.  En inderdaad, na een paar onnavolgbare dialogen is het zover, waarna de hitman tevreden kan constateren dat 'de menselijke schedel de allerbeste geluidsdemper is'","Maffia <extra_id_0> Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als een man van wie je vermoedt dat hij <extra_id_1> is, in Las Vegas tegen je zegt <extra_id_2> stukje gaan rijden', dan weet je wel hoe laat het is. En inderdaad, na een paar <extra_id_3> het zover, waarna de hitman tevreden kan <extra_id_4> menselijke <extra_id_5> geluidsdemper is'","['zet rabbijn in', 'een huurmoordenaar', ""dat 'we een"", 'onnavolgbare dialogen is', ""constateren dat 'de"", 'schedel de allerbeste']",17,25.0,1
"Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over domme vragen, vrouwelijke wetenschappers die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek.  Michail Saltykov-Sjtsjedrin Pegasus,  21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar weinig in het Nederlands vertaald","Het sluitstuk van <extra_id_0> de levenslessen van Pieter <extra_id_1> over domme <extra_id_2> die correspondeerden met Darwin en het sluitstuk van de <extra_id_3> Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar weinig in het Nederlands vertaald","['de Berber-bibliotheek en', 'Winsemius Pieter Winsemius', 'vragen, vrouwelijke wetenschappers', 'Berber-bibliotheek. Michail Saltykov-Sjtsjedrin']",12,25.0,1
"Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, 100 meter (m) De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden","Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, 100 meter <extra_id_0> al dat er geschiedenis <extra_id_1>","['(m) De Jamaicaan beloofde', 'geschreven zal worden']",7,25.0,1
