Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de <extra_id_0> om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de reden om deze politieke nieuwsbrief per mail te ontvangen.,['gemeenteraadsverkiezingen. Schrijf je in'],['reden'],4,25,23,[0.9],0.9
seq1-0,xl,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op <extra_id_0>,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op pad. →,['zoek naar antwoorden. Vandaag:'],['→'],4,25,22,[1.0],1.0
seq2-0,xl,van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor <extra_id_0> deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor de nieuwsbrief om deze (di-do-za) als nieuwsbrief te ontvangen.,['De Haagse Stemming om'],['de nieuwsbrief om'],4,25,20,[0.6666666666666666],0.67
seq3-0,xl,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> <extra_id_0> moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Motie: moordaanslag<BR> Plaats:,['Aantal gewonden: 0<BR> Methode:'],['Motie:'],4,25,20,[0.8709677419354839],0.87
seq4-0,xl,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,Pieter Steinz heeft de spierziekte ALS <extra_id_0> verloop van zijn ziekte met de boeken die hij (her)leest. <extra_id_1>,Pieter Steinz heeft de spierziekte ALS Hij volgt het verloop van zijn ziekte met de boeken die hij (her)leest.,"['en verbindt het', 'Deze week:']","['Hij volgt het', '']",5,25,18,"[0.6, 1.0]",0.8
seq5-0,xl,"/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. <extra_id_0> use, <extra_id_1> without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. No commercial use, broadcast or broadcasting without specific prior agreement The Picture Desk","['Not for cover', 'advertising or fictional works']","['No commercial', 'broadcast or broadcasting']",7,25,17,"[0.7692307692307693, 0.8]",0.78
seq6-0,xl,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover <extra_id_0> uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de voorzitter zich uitsprak. Vandaag:,['de rechter zich onlangs'],['de voorzitter zich'],4,25,16,[0.6086956521739131],0.61
seq7-0,xl,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer <extra_id_0>,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer informatie over verzekeringen,['over reageren op NRC.nl.'],['verzekeringen'],4,25,15,[0.6666666666666666],0.67
seq8-0,xl,dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren <extra_id_0> Schrijf je in om <extra_id_1> per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren Schrijf je in om de updates per mail te ontvangen.,"['van Haga.', 'deze politieke nieuwsbrief']","['', 'de updates']",5,25,14,"[1.0, 0.7692307692307693]",0.88
seq9-0,xl,Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,<extra_id_0> de kleine verhalen waar de <extra_id_1> gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,Wat zijn de kleine verhalen waar de wereld in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,"['Wat zijn', 'moderne mens in']","['Wat zijn', 'wereld in']",5,25,13,"[0.0, 0.6]",0.3
seq10-0,xl,"dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor de nieuwsbrief, ontvangt deze nog vroeger.",dagen zijn er Tweede <extra_id_0> Stemming houdt je elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor <extra_id_1> nog vroeger.,"dagen zijn er Tweede Kamerdebatten. Stemming houdt je elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor Stemming, begint nog vroeger.","['Kamerverkiezingen. De Haagse', 'de nieuwsbrief', 'ontvangt deze']","['Kamerdebatten.', 'Stemming, begint']",7,25,13,"[0.6785714285714286, 0.75]",0.71
