Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse <extra_id_0> we midden in de piek <extra_id_1> zitten is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse dinsdag. Omdat we midden in de piek zitten is dat goed nieuws voor hooikoortspatinten.,"['week. Aangezien', 'van het hooikoortsseizoen']","['dinsdag. Omdat', '']",5,20,1,"[1.0, 1.0]",1.0
seq1-0,large,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. <extra_id_0> een vaste volgorde, groot bij groot, soort bij soort, <extra_id_1> sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in <extra_id_2> het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. <extra_id_3> tot leven.","Was aan de lijn is een levend kunstwerk. In een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de plooi maakt het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Alles komt tot leven.","['De was heeft', 'sok bij', 'de wind heeft', 'Wasgoed heeft lust']","['In', 'sok bij', 'de plooi maakt', 'Alles komt']",11,20,1,"[1.0, 0.0, 0.6428571428571429, 0.8333333333333334]",0.62
seq2-0,large,"Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere wereld is dagelijkse realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan <extra_id_0> Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere <extra_id_1> realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een nieuwe bestemming. Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere oorlog is realiteit.","['een andere betekenis.', 'wereld is dagelijkse']","['een nieuwe bestemming.', 'oorlog is']",6,20,1,"[0.45454545454545453, 0.75]",0.6
seq3-0,large,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij <extra_id_0> soort, sok bij <extra_id_1> bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij vorm, klein bij soort, sok bij vorm en grijs bij kleur.","['groot', 'soort bij', 'sok', 'kleur']","['vorm, klein bij', 'vorm en grijs']",5,20,1,"[0.9333333333333333, 0.6923076923076923]",0.81
seq4-0,large,"Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","Vanaf deze zomer kan er gesurft <extra_id_0> gracht, in hartje Rotterdam. Al kwam Rif010 niet <extra_id_1> of stoot tot stand.","Vanaf deze zomer kan er gesurft i gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","['worden in een', 'zonder slag']","['i', 'zonder slag']",5,20,1,"[0.9230769230769231, 0.0]",0.46
seq5-0,large,"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is <extra_id_0>","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is inmiddels overleden.",['op 89-jarige leeftijd overleden.'],['overleden.'],4,20,1,[0.6875],0.69
seq6-0,large,"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","OpenAI, het <extra_id_0> een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","OpenAI, het levert een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","['bedrijf achter ChatGPT', 'schort']",['levert'],4,20,1,[0.8181818181818182],0.82
seq7-0,large,"Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen <extra_id_0> hand leggen op een papieren koning Charles <extra_id_1> Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen we de hand leggen op een papieren koning Charles van het Verenigd Koninkrijk.","['Britten de', 'III van het']","['we de', 'van het']",5,20,1,"[0.6, 0.36363636363636365]",0.48
seq8-0,large,"Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.","Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de <extra_id_0> hebben, <extra_id_1> naar andere manieren om hun <extra_id_2> krikken.","Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de buis hebben, zoeken ze naar andere manieren om hun geld op te krikken.","['Nederlandse markt veroverd', 'zoeken ze', 'inkomsten op te']","['buis', 'zoeken ze', 'geld op te']",8,20,1,"[0.9615384615384616, 0.0, 0.6]",0.52
seq9-0,large,"De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.","De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider <extra_id_0> weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard <extra_id_1> deze week <extra_id_2> de kandidaat-bewindslieden.","De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Sander Dekker weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard van der Laan deze week met de gesprekken met de kandidaat-bewindslieden.","['Geert Wilders dinsdag', 'van Zwol nog', 'met het ontvangen van']","['Sander Dekker', 'van der Laan', 'met de gesprekken met']",10,20,1,"[0.8095238095238095, 0.6666666666666666, 0.6190476190476191]",0.7
