Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,Vier boeken zoeken antwoorden Over de toekomst van welk land gn de verkiezingen eigenlijk.  Vier boeken zoeken het antwoord,Vier boeken zoeken antwoorden Over de <extra_id_0> land gn de verkiezingen eigenlijk. Vier boeken <extra_id_1>,Vier boeken zoeken antwoorden Over de vraag naar land gn de verkiezingen eigenlijk. Vier boeken zoeken antwoorden,"['toekomst van welk', 'zoeken het antwoord']","['vraag naar', 'antwoorden']",6,30,1,"[0.8823529411764706, 0.6842105263157895]",0.78
seq1-0,small,"Populisten in Zweden beschuldigen sociaal-democraten van racisme  onterecht volgens historici De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben.  Historici maken gehakt van de claims","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht <extra_id_0> De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de <extra_id_1> nazistische wortels <extra_id_2> gehakt <extra_id_3>","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de politieke en nazistische wortels van gehakt is.","['volgens historici', 'Sociaaldemocraten zijn die', 'hebben. Historici maken', 'van de claims']","['', 'politieke en', 'van', 'is.']",11,30,1,"[1.0, 0.7692307692307693, 0.9130434782608695, 0.9230769230769231]",0.9
seq2-0,small,Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met snelle en gratis busritten van Leiden naar Den Haag.  De provincie is vol goede moed; de passagier 'moet het nog zien',Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met <extra_id_0> busritten van Leiden naar Den Haag. <extra_id_1> goede moed; de passagier <extra_id_2> zien',Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met de busritten van Leiden naar Den Haag. 'Het is goede moed; de passagier moeten zien',"['snelle en gratis', 'De provincie is vol', '""\'moet het nog""']","['de', ""'Het is"", 'moeten']",10,30,1,"[0.9375, 0.8421052631578947, 0.6]",0.79
seq3-0,small,"Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven.  Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag de Dienst Terugkeer en Vertrek de kerk niet in, is het idee",Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie <extra_id_0> ze weten <extra_id_1> hier mogen blijven. Beeld Arie Kieviet Zolang er een kerkdienst gaande <extra_id_2> Dienst Terugkeer en Vertrek de kerk niet <extra_id_3>,"Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie ze weten dat ze hier mogen blijven. Beeld Arie Kieviet Zolang er een kerkdienst gaande gebeurt, is de Dienst Terugkeer en Vertrek de kerk niet","['in Nederland', 'maar', 'niet of ze', 'is', 'mag de', 'in', 'is het idee']","['', 'dat ze', 'gebeurt, is de', '']",13,30,1,"[1.0, 0.8333333333333334, 0.6428571428571429, 1.0]",0.87
seq4-0,small,"bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het stikstofbeleid van het kabinet.  Op het Malieveld zijn ze deze keer niet welkom, op het naastgelegen park Koekamp wel",bellen <extra_id_0> smit En weer trekken de boze boeren op naar <extra_id_1> te demonstreren tegen het stikstofbeleid van het kabinet. Op het Malieveld zijn ze deze keer <extra_id_2> het naastgelegen <extra_id_3>,bellen smit En weer trekken de boze boeren op naar het veld om te demonstreren tegen het stikstofbeleid van het kabinet. Op het Malieveld zijn ze deze keer op het naastgelegen terrein.,"['metlandbouwverslaggever pieter hotse', 'Den Haag om', 'niet welkom', 'op', 'park Koekamp wel']","['', 'het veld om', 'op', 'terrein.']",12,30,1,"[1.0, 0.5454545454545454, 0.9090909090909091, 1.0]",0.86
seq5-0,small,"Smartfoto's De beste camera, zeggen fotografen, is de camera die je bij je hebt.  En dat is steeds vaker een iPhone","Smartfoto's De beste camera, zeggen <extra_id_0> camera die je bij je <extra_id_1> is steeds vaker een iPhone","Smartfoto's De beste camera, zeggen de camera die je bij je braucht. Een is steeds vaker een iPhone","['fotografen', 'is de', 'hebt. En dat']","['de', 'braucht. Een']",6,30,1,"[0.9, 0.8333333333333334]",0.87
seq6-0,small,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan verbetering.  We willen de verbouwing combineren met energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan <extra_id_0> de <extra_id_1> energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan de de beste energiebesparende maatregelen,"['verbetering. We willen', 'verbouwing combineren met']","['de', 'beste']",6,30,1,"[0.9545454545454546, 0.88]",0.92
seq7-0,small,"Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over domme vragen, vrouwelijke wetenschappers die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek.  Michail Saltykov-Sjtsjedrin Pegasus,  21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar weinig in het Nederlands vertaald","Het sluitstuk van de Berber-bibliotheek en de levenslessen <extra_id_0> Pieter <extra_id_1> vragen, vrouwelijke wetenschappers <extra_id_2> Darwin en het sluitstuk van de Berber-bibliotheek. Michail Saltykov-Sjtsjedrin Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin <extra_id_3> dusver maar weinig in <extra_id_4> vertaald","Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter van vragen, vrouwelijke wetenschappers Darwin en het sluitstuk van de Berber-bibliotheek. Michail Saltykov-Sjtsjedrin Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin Pegasus, 21,50 wordt tot dusver maar weinig in Russisch vertaald","['van Pieter Winsemius', 'Winsemius over domme', 'die correspondeerden met', '(1826-1889) was tot', 'het Nederlands']","['van', 'van', '', 'Pegasus, 21,50 wordt tot', 'Russisch']",14,30,1,"[0.85, 0.95, 1.0, 0.75, 1.0]",0.91
seq8-0,small,"Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, 100 meter (m) De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden","Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, <extra_id_0> De Jamaicaan <extra_id_1> er <extra_id_2> worden","Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, volleybal De Jamaicaan kan er worden","['100 meter (m)', 'beloofde al dat', 'geschiedenis geschreven zal']","['volleybal', 'kan', '']",9,30,1,"[0.9230769230769231, 0.9333333333333333, 1.0]",0.95
seq9-0,small,"Tijdens het snoeien van de tuin komt dr.  Alzheimer op bezoek Toine Heijmans 17 augustus 2018, 15:00 De vader van Toine Heijmans in Frankrijk, 1983","Tijdens het snoeien van <extra_id_0> dr. Alzheimer op bezoek <extra_id_1> augustus 2018, 15:00 De vader <extra_id_2> Heijmans in Frankrijk, 1983","Tijdens het snoeien van de vader van dr. Alzheimer op bezoek Datum: 14 augustus 2018, 15:00 De vader van Heijmans in Frankrijk, 1983","['de tuin komt', 'Toine Heijmans 17', 'van Toine']","['de vader van', 'Datum: 14', 'van']",8,30,1,"[0.75, 0.8235294117647058, 0.6666666666666666]",0.75
