Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,"Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne de drager van betekenis in Arrival, Denis Villeneuves nieuwe film over het eerste contact tussen mensen en buitenaardse wezens.  Met trage camerabewegingen en vervreemdende geluiddesigns creert de Canadese filmmaker een wereld die we nt niet kennen","Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne <extra_id_0> betekenis in Arrival, <extra_id_1> film over het eerste contact tussen mensen en buitenaardse wezens. Met trage camerabewegingen en vervreemdende geluiddesigns creert <extra_id_2> een wereld <extra_id_3> niet kennen","Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne van betekenis in Arrival, een film over het eerste contact tussen mensen en buitenaardse wezens. Met trage camerabewegingen en vervreemdende geluiddesigns creert Arrival een wereld waar we het niet kennen","['de drager van', 'Denis Villeneuves nieuwe', 'de Canadese filmmaker', 'die we nt']","['van', 'een', 'Arrival', 'waar we het']",12,25,1,"[0.7692307692307693, 0.875, 0.9047619047619048, 0.5454545454545454]",0.77
seq1-0,base,"18 november 2009 Jaargang 133, Nr.  47 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij zijn ideen voor filebestrijding gaat minister Eurlings uit van de impliciete vooronderstelling dat de automobilist gevoelig is voor de kilometerprijzen","18 november 2009 Jaargang 133, Nr. 47 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij <extra_id_0> filebestrijding gaat minister Eurlings uit <extra_id_1> dat de automobilist <extra_id_2> de kilometerprijzen","18 november 2009 Jaargang 133, Nr. 47 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij de filebestrijding gaat minister Eurlings uit dat de automobilist moet moeten letten op de kilometerprijzen","['zijn ideen voor', 'van de impliciete vooronderstelling', 'gevoelig is voor']","['de', '', 'moet moeten letten op']",10,25,1,"[0.8666666666666667, 1.0, 0.7619047619047619]",0.88
seq2-0,base,"Kunst & Cultuur Televisie: Vrouw op Mars Meisjes van de sigarenfabriek Fidan Ekiz presenteert Vrouw op Mars  BNNVARA Fidan Ekiz heeft haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland.  In De pen & Het zwaard was ze al tout court televisiejournalist, persvrijheid in zes landen onderzoekend (waaronder uiteraard Turkije)","Kunst <extra_id_0> Vrouw op Mars Meisjes van de sigarenfabriek Fidan Ekiz presenteert <extra_id_1> BNNVARA <extra_id_2> haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland. In De pen & Het zwaard was ze al tout court televisiejournalist, persvrijheid in <extra_id_3> (waaronder uiteraard Turkije)","Kunst Vrouw op Mars Meisjes van de sigarenfabriek Fidan Ekiz presenteert in BNNVARA haar nieuwe collectie en wordt haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland. In De pen & Het zwaard was ze al tout court televisiejournalist, persvrijheid in Nederland (waaronder uiteraard Turkije)","['& Cultuur Televisie:', 'Vrouw op Mars', 'Fidan Ekiz heeft', 'zes landen onderzoekend']","['', 'in', 'haar nieuwe collectie en wordt', 'Nederland']",12,25,1,"[1.0, 1.0, 0.8333333333333334, 0.7391304347826086]",0.89
seq3-0,base,"Braziliaanse klassenstrijd om de fiets So Paulo  Wie fietst, die deugt niet.  Met die woorden becommentarieerde Francisco da Costa Porto (74) de geplande aanleg van een fietspad door zijn straat Honduras, in de chique Jardins (tuinwijk) van So Paulo, in de Braziliaanse pers: Dat weten we vandaag de dag toch","Braziliaanse klassenstrijd om de fiets So Paulo Wie fietst, <extra_id_0> Met die woorden becommentarieerde Francisco da Costa Porto (74) de geplande aanleg van een fietspad door zijn straat Honduras, <extra_id_1> Jardins (tuinwijk) van So Paulo, <extra_id_2> pers: Dat weten <extra_id_3> dag toch","Braziliaanse klassenstrijd om de fiets So Paulo Wie fietst, komt. Met die woorden becommentarieerde Francisco da Costa Porto (74) de geplande aanleg van een fietspad door zijn straat Honduras, in de Jardins (tuinwijk) van So Paulo, en riep de pers: Dat weten we elke dag toch","['die deugt niet.', 'in de chique', 'in de Braziliaanse', 'we vandaag de']","['komt.', 'in de', 'en riep de', 'we elke']",12,25,1,"[0.8666666666666667, 0.5833333333333334, 0.7222222222222222, 0.6923076923076923]",0.72
seq4-0,base,"Door regelmatig mee te doen aan de jaarlijkse volksafspraak op 4 mei om 20. 00 uur op de Dam in Amsterdam ontdekte ik dat verschillende mensen, generaties en nationaliteiten hun eigen volk en eigen doden herdenken",Door regelmatig mee te doen aan de jaarlijkse volksafspraak op 4 mei om <extra_id_0> op de Dam in Amsterdam ontdekte ik <extra_id_1> generaties en nationaliteiten hun <extra_id_2> eigen doden herdenken,Door regelmatig mee te doen aan de jaarlijkse volksafspraak op 4 mei om 19.30 uur op de Dam in Amsterdam ontdekte ik dat generaties en nationaliteiten hun eigen geschiedenis en hun eigen doden herdenken,"['20. 00 uur', 'dat verschillende mensen,', 'eigen volk en']","['19.30 uur', 'dat', 'eigen geschiedenis en hun']",9,25,1,"[0.4, 0.88, 0.64]",0.64
seq5-0,base,Duitserworst en andere verhalen Laatst was ik even in Frankrijk in het dorpje waar ik altijd met mijn ouders op vakantie was.  Na veertig jaar terug,Duitserworst en andere verhalen Laatst was ik even in Frankrijk in het dorpje <extra_id_0> met mijn ouders op <extra_id_1> veertig jaar terug,Duitserworst en andere verhalen Laatst was ik even in Frankrijk in het dorpje van Toulouse met mijn ouders op vakantie veertig jaar terug,"['waar ik altijd', 'vakantie was. Na']","['van Toulouse', 'vakantie']",6,25,1,"[0.7857142857142857, 0.5]",0.64
seq6-0,base,"De doodsangst van Bill Gates Dat gaat me toch een revolutie worden, die digitale snelweg.  De rijkste man ter wereld schreef er een boek over","De <extra_id_0> Gates Dat gaat me toch een revolutie worden, die digitale snelweg. De rijkste <extra_id_1> schreef er een boek over","De rijkste Gates Dat gaat me toch een revolutie worden, die digitale snelweg. De rijkste Gates schreef er een boek over","['doodsangst van Bill', 'man ter wereld']","['rijkste', 'Gates']",6,25,1,"[0.8947368421052632, 0.7857142857142857]",0.84
seq7-0,base,"Serene onrust Serenity & Anxiety.  Onder dat alomvattende motto bracht het Holland Festival in 2009 veel goede voorstellingen uit Japan, India, Vietnam, Amerika, Zuid-Afrika, Frankrijk, Duitsland en uit Nederland","Serene onrust Serenity & Anxiety. <extra_id_0> motto bracht het Holland Festival <extra_id_1> voorstellingen uit Japan, India, Vietnam, Amerika, Zuid-Afrika, Frankrijk, Duitsland en uit Nederland","Serene onrust Serenity & Anxiety. Onder dit motto bracht het Holland Festival in totaal 20 voorstellingen uit Japan, India, Vietnam, Amerika, Zuid-Afrika, Frankrijk, Duitsland en uit Nederland","['Onder dat alomvattende', 'in 2009 veel goede']","['Onder dit', 'in totaal 20']",7,25,1,"[0.6363636363636364, 0.7222222222222222]",0.68
seq8-0,base,"Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hoves bewerking van vijf histories van Shakespeare, Hendrik V, drie delen van Hendrik VI en Richard III, keert een half jaar na de premire terug in Amsterdam.  De marathon (vier uur) gaat over de schijngestalten van leiderschap","Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hoves bewerking van vijf histories <extra_id_0> V, drie delen van Hendrik VI en Richard III, keert een half jaar na de <extra_id_1> Amsterdam. De marathon <extra_id_2> over <extra_id_3> leiderschap","Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hoves bewerking van vijf histories van Hendrik V, drie delen van Hendrik VI en Richard III, keert een half jaar na de oorlog terug in Amsterdam. De marathon van over en leiderschap","['van Shakespeare', 'Hendrik', 'premire terug in', '(vier uur) gaat', 'de schijngestalten van']","['van Hendrik', 'oorlog terug in', 'van', 'en']",12,25,1,"[0.6666666666666666, 0.8666666666666667, 0.9375, 0.9333333333333333]",0.85
seq9-0,base,"Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen.  Merkel richt met deze benaming duidelijk geen oorlogsverklaring aan IS, zoals Franois Hollande dat deed na de aanslagen in Parijs",Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen. Merkel richt met deze benaming duidelijk geen oorlogsverklaring aan <extra_id_0> Hollande <extra_id_1> de <extra_id_2>,Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen. Merkel richt met deze benaming duidelijk geen oorlogsverklaring aan Hollande gaat de oorlog aan. (ANP),"['IS', 'zoals Franois', 'dat deed na', 'aanslagen in Parijs']","['', 'gaat', '(ANP)']",9,25,1,"[1.0, 0.8461538461538461, 1.0]",0.95
