Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg),Title
seq0-0,small,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale <extra_id_0> Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten <extra_id_1> publiek actief meedoen,Binnale Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten het publiek actief meedoen,"['van Veneti 2017', 'ze het']","['', 'het']",5,25,1,"[1.0, 0.5]",0.75,nrc
seq1-0,small,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok <extra_id_0> Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes <extra_id_1> fietsen op <extra_id_2> die <extra_id_3>","Beelden detoneren in barok stijl. Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en fietsen op de velden die zich hebben gedragen.","['plezierbos Oude Warande', 'en kinderen leren', 'de rechte paden', 'het park doorkruisen']","['stijl.', 'en', 'de velden', 'gedragen.']",12,25,1,"[0.9565217391304348, 0.8823529411764706, 0.5333333333333333, 0.8]",0.79,nrc
seq2-0,small,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ",'Bompakketje' Namibi was veiligheidstest Een <extra_id_0> onderweg was naar Duitsland <extra_id_1> gevonden op een vliegveld <extra_id_2> was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het,'Bompakketje' Namibi was veiligheidstest Een vliegtuig onderweg was naar Duitsland Het vliegtuig werd gevonden op een vliegveld Er was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het,"['verdacht pakketje dat', 'en woensdag werd', 'in Namibi,']","['vliegtuig', 'Het vliegtuig werd', 'Er']",8,25,1,"[0.9047619047619048, 0.5, 1.0]",0.8,nrc
seq3-0,small,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische president <extra_id_0> de moslimfundamentalistische organisatie Hamas <extra_id_1> uitnodigen voor <extra_id_2>,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische president de moslimfundamentalistische organisatie Hamas zich uitnodigen voor,"['Poetin gisteren aangekondigd', 'te zullen', 'besprekingen in Moskou']","['', 'zich', '']",8,25,1,"[1.0, 0.8888888888888888, 1.0]",0.96,nrc
seq4-0,small,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de <extra_id_0> in een reeks terroristische <extra_id_1> Staat pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_2> steden,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de enige terroriste in een reeks terroristische aanslagen. Staat pleegden alleen al in de afgelopen 12 maanden veertien miljoen steden,"['laatst getroffen stad', 'aanslagen. Sympathisanten van Islamtische', 'aanslagen in Europese']","['enige terroriste', 'aanslagen.', 'miljoen']",10,25,1,"[0.7142857142857143, 0.7560975609756098, 0.8571428571428571]",0.78,nrc
seq5-0,small,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met <extra_id_0> bomaanslag in Noorwegen wordt in verband <extra_id_1> en publiceerde op internet <extra_id_2> de islam. Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de bomaanslag in Noorwegen wordt in verband met de islam en publiceerde op internet een artikel over de islam. Dat melden Noorse media,"['de schietpartij en', 'gebracht met rechtsextremisme', 'veelvuldig kritisch over']","['de', 'met de islam', 'een artikel over']",9,25,1,"[0.8888888888888888, 0.7586206896551724, 0.5416666666666666]",0.73,nrc
seq6-0,small,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige <extra_id_0> Den Haag is gisteravond <extra_id_1> het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank van <extra_id_2> en overleed daar,Een 29-jarige man uit Den Haag is gisteravond in het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank van de politie en overleed daar,"['arrestant uit', 'op weg naar', 'de politieauto lag']","['man uit', 'in', 'de politie']",8,25,1,"[0.5384615384615384, 0.9090909090909091, 0.4444444444444444]",0.63,nrc
seq7-0,small,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie <extra_id_0> op de omwentelingen in de sector. Samenwerking moet <extra_id_1> inhaalslag,Zelfrijdende autos De Duitse auto-industrie is gebaseerd op de omwentelingen in de sector. Samenwerking moet de inhaalslag,"['reageerde traag', 'leiden tot een']","['is gebaseerd', 'de']",5,25,1,"[0.7333333333333333, 0.8571428571428571]",0.8,nrc
seq8-0,small,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog <extra_id_0> tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit <extra_id_1> zullen bijdragen <extra_id_2> van het concern","Wegener: nog meer tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar zullen bijdragen aan de plannen van het concern","['geen winst met', 'jaar nog niet', 'aan de resultaten']","['meer', 'jaar', 'aan de plannen']",9,25,1,"[0.8571428571428571, 0.6923076923076923, 0.4117647058823529]",0.65,nrc
seq9-0,small,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde",Vangnet Nederland De sociale zekerheid in <extra_id_0> kostbare verworvenheid. Letterlijk n <extra_id_1> uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid <extra_id_2>,Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid,"['Nederland is een', 'figuurlijk', 'zo blijkt', '2001 organiseerde']","['Nederland is een', '', '']",8,25,1,"[0.0, 1.0, 1.0]",0.67,nrc
