Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,.  Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel <extra_id_0> we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel vragen we elke week aan een Nederlander. Vandaag:,['verdien je? Dat vragen'],['vragen'],4,30.0,19,[0.7272727272727273],0.73
seq1-0,base,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor de AD sportnieuwsbrief <extra_id_0> dagelijks een overzicht van <extra_id_1>,Meld je aan voor de AD sportnieuwsbrief Hier dagelijks een overzicht van de...,"['en ontvang', 'het belangrijkste sportnieuws']","['Hier', 'de...']",5,30.0,16,"[1.0, 0.9655172413793104]",0.98
seq2-0,base,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,<extra_id_0> verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,['Fotograaf Nico Brons en'],['en'],4,30.0,16,[0.9130434782608695],0.91
seq3-0,base,"Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer <extra_id_0> loon vraagt <extra_id_1> om verder <extra_id_2> geven hn beste <extra_id_3>","Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je loon vraagt om verder leiding geven hn beste advies. - Deel 1","['je om meer', 'en wat helpt', 'te komen. Zij', 'tips. Vandaag:']","['je', '', 'leiding', '1']",11,30.0,14,"[0.8, 1.0, 0.8461538461538461, 1.0]",0.91
seq4-0,base,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste land van de wereld maken.,David en Arjan van 365dagensuccesvol.nl hebben n <extra_id_0> gelukkigste land van de <extra_id_1>,David en Arjan van 365dagensuccesvol.nl hebben n het gelukkigste land van de wereld.,"['doel: Nederland het', 'wereld maken.']","['het', 'wereld.']",5,30.0,14,"[0.8421052631578947, 0.46153846153846156]",0.65
seq5-0,base,"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De Nations League, <extra_id_0> competitie voor landenteams, is de derde competitieronde ingegaan. Dit <extra_id_1> in League A en League <extra_id_2> en volgende week. Ook vermelden we hier komende week alle uitslagen, <extra_id_3> n <extra_id_4> de belangrijkste oefeninterlands.","De Nations League, de competitie voor landenteams, is de derde competitieronde ingegaan. Dit gebeurt in League A en League B. Bekijk hier de resultaten van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, en n de belangrijkste oefeninterlands.","['de nieuwe Europese', 'is het programma', 'B van deze', 'de stand', 'het programma van']","['de', 'gebeurt', 'B. Bekijk hier de resultaten van deze', 'en', '']",14,30.0,14,"[0.8888888888888888, 0.875, 0.7297297297297297, 0.75, 1.0]",0.85
seq6-0,base,"Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, <extra_id_0> kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende <extra_id_1> en <extra_id_2>","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de club kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende dagen en dagen...","['maar de voetbalwereld', 'zomer alle geruchten', 'voltooide transfers bij.']","['maar de club', 'dagen', 'dagen...']",9,30.0,13,"[0.5714285714285714, 0.8, 0.8333333333333334]",0.73
seq7-0,base,"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden <extra_id_0> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de <extra_id_1> te vergroten en er doorheen <extra_id_2>","De beeldredactie ziet dagelijks duizenden foto’s. Hier worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de foto’s om te vergroten en er doorheen","['nieuwsfotos. In deze rubriek', 'beelden om deze', 'te bladeren. 1']","['foto’s. Hier', 'foto’s om', '']",10,30.0,12,"[0.7142857142857143, 0.8, 1.0]",0.84
seq8-0,base,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",Wijsheid komt met de jaren. <extra_id_0> Prinsen (77) een eind op <extra_id_1> hij uw vragen.,Wijsheid komt met de jaren. Van Prinsen (77) een eind op Daar stelt hij uw vragen.,"['Omdat acteur Joost', 'weg is', 'beantwoordt']","['Van', 'Daar stelt']",6,30.0,12,"[0.9444444444444444, 0.9]",0.92
seq9-0,base,"De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, maar veel clubs hebben <extra_id_0> al binnen. In dit overzicht houden <extra_id_1> en uitgaande transfers van de eredivisieclubs <extra_id_2>","De transfermarkt draait op volle toeren, maar veel clubs hebben de transfers al binnen. In dit overzicht houden we de in- en uitgaande transfers van de eredivisieclubs bij.","['al meerdere aanwinsten', 'we alle inkomende', 'van deze zomer bij.']","['de transfers', 'we de in-', 'bij.']",10,30.0,12,"[0.7727272727272727, 0.5882352941176471, 0.7894736842105263]",0.72
