Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,.  Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we <extra_id_0> aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we t aan een Nederlander. Vandaag:,['elke week'],['t'],2,19,[1.0],1.0
seq1-0,small,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor <extra_id_0> sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor d sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,['de AD'],['d'],2,16,[0.8],0.8
seq2-0,small,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter <extra_id_0> Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter en Vandaag:,['het nieuws.'],['en'],2,16,[0.8181818181818182],0.82
seq3-0,small,"Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Tip van de BaasWie <extra_id_0> baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven <extra_id_1> Vandaag:","Tip van de BaasWie t baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven van de Vandaag:","['beter dan de', 'hn beste tips.']","['t', 'van de']",6,14,"[0.9166666666666666, 0.8571428571428571]",0.89
seq4-0,small,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste land van de wereld maken.,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste <extra_id_0> de wereld maken.,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste het de wereld maken.,['land van'],['het'],2,14,[1.0],1.0
seq5-0,small,"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in <extra_id_0> League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma <extra_id_1>","De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in de Nations League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma","['League A en', 'van de belangrijkste oefeninterlands.']","['de Nations', '']",7,14,"[0.9090909090909091, 1.0]",0.95
seq6-0,small,"Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld <extra_id_0> het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld e het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.",['kijkt al volop naar'],['e'],5,13,[1.0],1.0
seq7-0,small,"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze <extra_id_0> doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze op doorheen te bladeren. 1",['te vergroten en er'],['op'],5,12,[0.9444444444444444],0.94
seq8-0,small,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt met de <extra_id_0> Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt met de t Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",['jaren. Omdat acteur'],['t'],3,12,[0.9473684210526315],0.95
seq9-0,small,"De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, <extra_id_0> al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, aanwinsten al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.",['maar veel clubs hebben'],['aanwinsten'],5,12,[0.7727272727272727],0.77
