Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is <extra_id_0> hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is het seizoen een van de beste hooikoortspatinten.,['dat goed nieuws voor'],['het seizoen een van de beste'],4,15,1,[0.75],0.75
seq1-0,small,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. De was heeft <extra_id_0> groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een <extra_id_1> wind heeft het drukdrukdruk, een overall spartelt of <extra_id_2> gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. De was heeft kracht tot leven. De was is groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een lijn van wind heeft het drukdrukdruk, een overall spartelt of wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","['een vaste volgorde,', 'jurk in de', 'hij wordt']","['kracht tot leven. De was is', 'lijn van', 'wordt']",8,15,1,"[0.8888888888888888, 0.9, 0.4444444444444444]",0.74
seq2-0,small,"Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere wereld is dagelijkse realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de <extra_id_0> verdere wereld <extra_id_1> realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de eerste verdere wereld is een realiteit.","['oorlog en de', 'is dagelijkse']","['eerste', 'is een']",5,15,1,"[0.8333333333333334, 0.6923076923076923]",0.76
seq3-0,small,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft <extra_id_0> bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","['een vaste volgorde', 'groot']",['groot'],4,15,1,[0.8888888888888888],0.89
seq4-0,small,"Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder <extra_id_0> tot stand.","Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder problemen tot stand.",['slag of stoot'],['problemen'],3,15,1,[0.9230769230769231],0.92
seq5-0,small,"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse <extra_id_0> 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse koning van het 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.",['seksclub in een'],['koning van het'],3,15,1,[0.7333333333333333],0.73
seq6-0,small,"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan <extra_id_0> actrice Scarlett Johansson doet denken.","OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de actrice Scarlett Johansson doet denken.",['de stem van'],['de'],3,15,1,[0.8181818181818182],0.82
seq7-0,small,"Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de <extra_id_0> papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de koning papieren koning Charles III van het Verenigd Koninkrijk.",['hand leggen op een'],['koning'],4,15,1,[0.8888888888888888],0.89
seq8-0,small,"Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.","Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. <extra_id_0> een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere <extra_id_1> inkomsten op te krikken.","Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Omdat ze een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere mogelijkheden om inkomsten op te krikken.","['Nu de diensten', 'manieren om hun']","['Omdat ze', 'mogelijkheden om']",6,15,1,"[0.8571428571428571, 0.75]",0.8
seq9-0,small,"De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.",De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. <extra_id_0> rest horen <extra_id_1> begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.,De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. De rest horen Dat begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.,"['Goed nieuws', 'de', 'jullie later. Naar verwachting']","['De', 'Dat']",7,15,1,"[0.9090909090909091, 1.0]",0.95
