Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de gemeenteraadsverkiezingen. <extra_id_0> deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de gemeenteraadsverkiezingen. Klik hier om deze politieke nieuwsbrief per mail te ontvangen.,['Schrijf je in om'],['Klik hier om'],4,30.0,23,[0.6875],0.69
seq1-0,small,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen <extra_id_0> Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,['met bedrijven en overheidsdiensten?'],[''],4,30.0,22,[1.0],1.0
seq2-0,small,van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf <extra_id_0> De Haagse Stemming om deze <extra_id_1> nieuwsbrief te ontvangen.,van de formatie. Schrijf een review door De Haagse Stemming om deze nieuwe nieuwsbrief te ontvangen.,"['je in voor', '(di-do-za) als']","['een review door', 'nieuwe']",5,30.0,20,"[0.5333333333333333, 0.9285714285714286]",0.73
seq3-0,small,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal <extra_id_0> gewonden: <extra_id_1> moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden en gewonden: 1 moordaanslag<BR> Plaats:,"['doden: 1<BR> Aantal', '0<BR> Methode:']","['doden en', '1']",5,30.0,20,"[0.631578947368421, 1.0]",0.82
seq4-0,small,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn <extra_id_0> boeken die hij <extra_id_1>,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij schrijft.,"['ziekte met de', '(her)leest. Deze week:']","['ziekte met de', 'schrijft.']",6,30.0,18,"[0.0, 0.8636363636363636]",0.43
seq5-0,small,"/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","<extra_id_0> Collection ] <extra_id_1> related to cinema, television and <extra_id_2> cover use, advertising or fictional works without specific prior agreement The Picture Desk","[ Collection ] Fictional works related to cinema, television and other cover use, advertising or fictional works without specific prior agreement The Picture Desk","['/ The Kobal', 'Editorial use only', 'personalities. Not for']","['[', 'Fictional works', 'other']",9,30.0,17,"[1.0, 0.7222222222222222, 0.8181818181818182]",0.85
seq6-0,small,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het <extra_id_0> de rechter <extra_id_1> Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het dossier van de rechter Vandaag:,"['bedrijfsleven waarover', 'zich onlangs uitsprak.']","['dossier van', '']",5,30.0,16,"[0.7727272727272727, 1.0]",0.89
seq7-0,small,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,? Onderaan dit artikel kunnen abonnees op die <extra_id_0> vind je <extra_id_1> reageren op NRC.nl.,? Onderaan dit artikel kunnen abonnees op die onderwerpen vind je moeten reageren op NRC.nl.,"['vraag reageren. Hier', 'meer over']","['onderwerpen', 'moeten']",5,30.0,15,"[0.8, 0.6666666666666666]",0.73
seq8-0,small,dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om <extra_id_0> per <extra_id_1>,dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om te kijken per email.,"['deze politieke nieuwsbrief', 'mail te ontvangen.']","['te kijken', 'email.']",6,30.0,14,"[0.7692307692307693, 0.7777777777777778]",0.77
seq9-0,small,Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,Wat zijn de kleine verhalen waar de moderne mens <extra_id_0> vertelt <extra_id_1> zon moderne mythe. Vandaag:,Wat zijn de kleine verhalen waar de moderne mens het vertelt over de zon moderne mythe. Vandaag:,"['in gelooft? Wekelijks', 'Arjen van Veelen']","['het', 'over de']",6,30.0,13,"[0.9047619047619048, 0.8125]",0.86
seq10-0,small,"dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor de nieuwsbrief, ontvangt deze nog vroeger.","dagen zijn er Tweede Kamerverkiezingen. De Haagse <extra_id_0> elke ochtend op de hoogte van de campagne. Wie <extra_id_1> de nieuwsbrief, ontvangt deze <extra_id_2>","dagen zijn er Tweede Kamerverkiezingen. De Haagse Kamer staat elke ochtend op de hoogte van de campagne. Wie nodig is voor de nieuwsbrief, ontvangt deze nieuwsbrief.","['Stemming houdt je', 'zich inschrijft voor', 'nog vroeger.']","['Kamer staat', 'nodig is voor', 'nieuwsbrief.']",8,30.0,13,"[0.8235294117647058, 0.65, 0.75]",0.74
seq11-0,small,. Olga Zuiderhoek en Peter Faber spelen spelletjes in een geraffineerde dialoog van Paul Haenen vol cabaret-effecten en moderne relatiepraat.,. Olga Zuiderhoek en Peter Faber spelen spelletjes in een geraffineerde <extra_id_0> Haenen vol <extra_id_1> relatiepraat.,. Olga Zuiderhoek en Peter Faber spelen spelletjes in een geraffineerde relatie. Haenen vol relatiepraat.,"['dialoog van Paul', 'cabaret-effecten en moderne']","['relatie.', '']",6,30.0,13,"[0.875, 1.0]",0.94
seq12-0,small,. Ben jij ook op zoek naar een baan en wil je jezelf graag pitchen? Of heb jij misschien de ideale baan voor,<extra_id_0> ook op zoek naar een baan en wil je jezelf graag <extra_id_1> misschien de ideale baan voor,je ook op zoek naar een baan en wil je jezelf graag zien? Dan is dit misschien de ideale baan voor,"['. Ben jij', 'pitchen? Of heb jij']","['je', 'zien? Dan is dit']",7,30.0,12,"[0.8888888888888888, 0.631578947368421]",0.76
seq13-0,small,. Vrolijke revue met de grootste hits van Irving Berlin in een lichtvoetig biografisch kader en Jon van Eerd als bezienswaardig middelpunt.,. Vrolijke <extra_id_0> grootste hits van Irving Berlin in een lichtvoetig biografisch kader <extra_id_1> als bezienswaardig middelpunt.,. Vrolijke beelden zijn de grootste hits van Irving Berlin in een lichtvoetig biografisch kader en als bezienswaardig middelpunt.,"['revue met de', 'en Jon van Eerd']","['beelden zijn de', 'en']",7,30.0,11,"[0.6, 0.8666666666666667]",0.73
seq14-0,small,dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke dag op de hoogte van de campagne. Inschrijven voor de nieuwsbrief kan ook.,dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke <extra_id_0> hoogte van de campagne. Inschrijven voor <extra_id_1>,dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke dag op de hoogte van de campagne. Inschrijven voor de Tweede Kamerverkiezingen,"['dag op de', 'de nieuwsbrief kan ook.']","['dag op de', 'Kamerverkiezingen']",7,30.0,11,"[0.0, 0.8260869565217391]",0.41
