Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de <extra_id_0> gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de ze gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,['website en het'],['ze'],3,28,[0.9285714285714286],0.93
seq1-0,large,) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten <extra_id_0> Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (12921) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),['(13850) Omzetcijfers (13455)'],['(12921)'],3,18,[0.8571428571428571],0.86
seq2-0,large,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) <extra_id_0> Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Industrie (14159) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['Verenigde Staten (13860)'],['Industrie (14159)'],3,14,[0.6666666666666666],0.67
seq3-0,large,) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale <extra_id_0> (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale Handelsmarkt (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),['economie (27514) Multinationals'],['Handelsmarkt'],3,13,[0.8709677419354839],0.87
seq4-0,large,) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten <extra_id_0> Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (14179) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['(13860) Omzetcijfers (13485)'],['(14179)'],3,11,[0.8571428571428571],0.86
seq5-0,large, In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In <extra_id_0> wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In deze week: wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,['De Vonk vertelt'],['deze week:'],3,11,[0.7333333333333333],0.73
seq6-0,large,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen <extra_id_0> Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen (13860) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),['(16518) Aandelen (14590)'],['(13860)'],3,10,[0.7916666666666666],0.79
seq7-0,large,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks <extra_id_0> beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks een beslissend moment in zijn of haar loopbaan. Deze week:,['iemand over een'],['een'],3,8,[0.8],0.8
seq8-0,large,) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde <extra_id_0> (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde markt (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),['Staten (13862) Omzetcijfers'],['markt'],3,8,[0.9259259259259259],0.93
seq9-0,large,) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),<extra_id_0> (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),Industrie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),[') Internationale economie'],['Industrie'],3,8,[0.8],0.8
