Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.,Miljoenen Afghanen leven onder de armoedegrens. <extra_id_0> weinig hulp omdat de <extra_id_1> drastisch beperkten. Vermindering van de internationale hulp zal dezelfde <extra_id_2> we hopen te steunen alleen <extra_id_3> lijden.,"['Buitenlandse donoren bieden', 'Taliban vrouwenrechten', 'Afghaanse vrouwen die', 'maar meer laten']",11,30.0,1
Defensie voert de druk op om te dienen bij de krijgsmacht. Jongeren reageren verdeeld.,Defensie voert de druk op om te dienen bij de <extra_id_0>,['krijgsmacht. Jongeren reageren verdeeld.'],4,30.0,1
"Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.","Netbeheerder Tennet heeft met de aanleg van <extra_id_0> onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, <extra_id_1> donderdag.","['een stroomkabel mogelijk', 'concludeerde de provincie Overijssel']",7,30.0,1
Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote luidsprekers bij de grens weer aan en zullen nieuwsuitzendingen en popmuziek de grens over schallen.,Noord-Korea is weer begonnen met het <extra_id_0> ballonnen <extra_id_1> Zuid-Korea. In en rond <extra_id_2> de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote <extra_id_3> grens weer aan en zullen nieuwsuitzendingen en <extra_id_4> over schallen.,"['versturen van', 'met afval naar', 'Seoul en in', 'luidsprekers bij de', 'popmuziek de grens']",14,30.0,1
"Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.","Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds <extra_id_0> ontdekt <extra_id_1> uit <extra_id_2>","['meer soorten', 'die zulke metalen', 'de grond opnemen.']",8,30.0,1
De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant <extra_id_0> weken verslag. <extra_id_1> van Rossem buigt <extra_id_2> vwo-examen geschiedenis.,"['doet de komende', 'Historicus Maarten', 'zich over het']",8,30.0,1
"Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste <extra_id_0> land zijn, en ik kijk door de lens <extra_id_1> van <extra_id_2> allerlei lenzen <extra_id_3>","['plekken van het', 'van de camera', 'een professional, die', 'tevoorschijn kan toveren.']",12,30.0,1
"Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","<extra_id_0> voor het eerst in zijn <extra_id_1> gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev <extra_id_2> de <extra_id_3> in finales door.","['Carlos Alcaraz heeft', 'carrire Roland Garros', 'en trok daarmee', 'ongeslagen reeks']",11,30.0,1
Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten?,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De <extra_id_0> zijde is <extra_id_1> betekent deze actie voor de ongeveer 120 gijzelaars <extra_id_2>,"['prijs aan Palestijnse', 'echter ongekend hoog. Wat', 'die nog vastzitten?']",10,30.0,1
"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.","Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land <extra_id_0> op <extra_id_1> zo gaat <extra_id_2> beetje door, totdat er <extra_id_3> zin volgt.","['om trots', 'te zijn. En', 'het nog een', 'onverwacht een lange']",11,30.0,1
