Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige <extra_id_0> we midden in de piek van <extra_id_1> is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige zondag. Nu zitten we midden in de piek van de winter is dat goed nieuws voor hooikoortspatinten.,"['en frisse week. Aangezien', 'het hooikoortsseizoen zitten']","['zondag. Nu zitten', 'de winter']",7,25,1,"[0.84, 0.7857142857142857]",0.81
seq1-0,base,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. De was heeft een <extra_id_0> bij groot, soort bij <extra_id_1> kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij <extra_id_2> laken speelt <extra_id_3> lust tot leven.","Was aan de lijn is een levend kunstwerk. De was heeft een groot bij groot, soort bij soort, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij gaat liggen, een laken speelt en zo komt de lust tot leven.","['vaste volgorde', 'groot', 'soort', 'sok bij sok,', 'wordt gekieteld', 'een', 'spookje. Wasgoed heeft']","['groot', 'soort,', 'gaat liggen, een', 'en zo komt de']",13,25,1,"[0.8571428571428571, 0.6666666666666666, 1.0, 0.9230769230769231]",0.86
seq2-0,base,"Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere wereld is dagelijkse realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij <extra_id_0> aan, de <extra_id_1> de verdere <extra_id_2> realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij gaan de situatie aan, de passie en de verdere ontwikkeling van de realiteit.","['ontkomen er niet', 'oorlog en', 'wereld is dagelijkse']","['gaan de situatie', 'passie en', 'ontwikkeling van de']",8,25,1,"[0.875, 0.6666666666666666, 0.9]",0.81
seq3-0,base,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij <extra_id_0> sok, <extra_id_1>","Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok, soort.","['soort', 'sok bij', 'kleur bij kleur.']","['soort,', 'soort.']",6,25,1,"[0.16666666666666666, 0.7142857142857143]",0.44
seq4-0,base,"Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","<extra_id_0> kan er gesurft <extra_id_1> gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","Nu kan er gesurft worden op de gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","['Vanaf deze zomer', 'worden in een']","['Nu', 'worden op de']",6,25,1,"[1.0, 0.3076923076923077]",0.65
seq5-0,base,"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub <extra_id_0> 17e-eeuws grachtenpand, is <extra_id_1> overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is inmiddels overleden.","['in een', 'op 89-jarige leeftijd']","['in een', 'inmiddels']",5,25,1,"[0.0, 0.9047619047619048]",0.45
seq6-0,base,"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem <extra_id_0> Scarlett <extra_id_1>","OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van Scarlett Johansson ligt.","['van actrice', 'Johansson doet denken.']","['van', 'ligt.']",5,25,1,"[0.7272727272727273, 0.9090909090909091]",0.82
seq7-0,base,"Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen <extra_id_0> koning Charles <extra_id_1> Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op koning Charles XIV van het Verenigd Koninkrijk.","['op een papieren', 'III van het']","['op', 'XIV van het']",6,25,1,"[0.8666666666666667, 0.18181818181818182]",0.52
seq8-0,base,"Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.","<extra_id_0> steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar <extra_id_1> hun <extra_id_2> krikken.","zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar nieuwe mogelijkheden om hun budget op te krikken.","['Film- en serieliefhebbers zijn', 'andere manieren om', 'inkomsten op te']","['zijn', 'nieuwe mogelijkheden om', 'budget op te']",10,25,1,"[0.8666666666666667, 0.5217391304347826, 0.5333333333333333]",0.64
seq9-0,base,"De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.","De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider <extra_id_0> weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting <extra_id_1> van <extra_id_2> week met het <extra_id_3> kandidaat-bewindslieden.","De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Pieter van der Wiel weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint het kabinet van volgende week met het plaatsen van kandidaat-bewindslieden.","['Geert Wilders dinsdag', 'begint formateur Richard', 'Zwol nog deze', 'ontvangen van de']","['Pieter van der Wiel', 'begint het kabinet', 'volgende', 'plaatsen van']",12,25,1,"[0.7142857142857143, 0.625, 0.6923076923076923, 0.5625]",0.65
