Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de <extra_id_0> om deze politieke nieuwsbrief per mail te ontvangen.,['gemeenteraadsverkiezingen. Schrijf je in'],4,25.0,23
Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op <extra_id_0>,['zoek naar antwoorden. Vandaag:'],4,25.0,22
van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor <extra_id_0> deze (di-do-za) als nieuwsbrief te ontvangen.,['De Haagse Stemming om'],4,25.0,20
<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> <extra_id_0> moordaanslag<BR> Plaats:,['Aantal gewonden: 0<BR> Methode:'],4,25.0,20
Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,Pieter Steinz heeft de spierziekte ALS <extra_id_0> verloop van zijn ziekte met de boeken die hij (her)leest. <extra_id_1>,"['en verbindt het', 'Deze week:']",5,25.0,18
"/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. <extra_id_0> use, <extra_id_1> without specific prior agreement The Picture Desk","['Not for cover', 'advertising or fictional works']",7,25.0,17
Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover <extra_id_0> uitsprak. Vandaag:,['de rechter zich onlangs'],4,25.0,16
? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer <extra_id_0>,['over reageren op NRC.nl.'],4,25.0,15
dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren <extra_id_0> Schrijf je in om <extra_id_1> per mail te ontvangen.,"['van Haga.', 'deze politieke nieuwsbrief']",5,25.0,14
Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,<extra_id_0> de kleine verhalen waar de <extra_id_1> gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,"['Wat zijn', 'moderne mens in']",5,25.0,13
"dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor de nieuwsbrief, ontvangt deze nog vroeger.",dagen zijn er Tweede <extra_id_0> Stemming houdt je elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor <extra_id_1> nog vroeger.,"['Kamerverkiezingen. De Haagse', 'de nieuwsbrief, ontvangt deze']",7,25.0,13
