Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,"Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne de drager van betekenis in Arrival, Denis Villeneuves nieuwe film over het eerste contact tussen mensen en buitenaardse wezens.  Met trage camerabewegingen en vervreemdende geluiddesigns creert de Canadese filmmaker een wereld die we nt niet kennen","Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne <extra_id_0> betekenis in Arrival, <extra_id_1> film over het eerste contact tussen mensen en buitenaardse wezens. Met trage camerabewegingen en vervreemdende geluiddesigns creert <extra_id_2> een wereld <extra_id_3> niet kennen","Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne van betekenis in Arrival, de film over het eerste contact tussen mensen en buitenaardse wezens. Met trage camerabewegingen en vervreemdende geluiddesigns creert Arrival een wereld die we nog niet kennen","['de drager van', 'Denis Villeneuves nieuwe', 'de Canadese filmmaker', 'die we nt']","['van', 'de', 'Arrival', 'die we nog']",12,25,1,"[0.7692307692307693, 0.9583333333333334, 0.9047619047619048, 0.2]",0.71
seq1-0,large,"18 november 2009 Jaargang 133, Nr.  47 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij zijn ideen voor filebestrijding gaat minister Eurlings uit van de impliciete vooronderstelling dat de automobilist gevoelig is voor de kilometerprijzen","18 november 2009 Jaargang 133, Nr. 47 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij <extra_id_0> filebestrijding gaat minister Eurlings uit <extra_id_1> dat de automobilist <extra_id_2> de kilometerprijzen","18 november 2009 Jaargang 133, Nr. 47 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij de filebestrijding gaat minister Eurlings uit van het feit dat de automobilist moet worden getroffen door de kilometerprijzen","['zijn ideen voor', 'van de impliciete vooronderstelling', 'gevoelig is voor']","['de', 'van het feit', 'moet worden getroffen door']",10,25,1,"[0.8666666666666667, 0.7428571428571429, 0.6923076923076923]",0.77
seq2-0,large,"Kunst & Cultuur Televisie: Vrouw op Mars Meisjes van de sigarenfabriek Fidan Ekiz presenteert Vrouw op Mars  BNNVARA Fidan Ekiz heeft haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland.  In De pen & Het zwaard was ze al tout court televisiejournalist, persvrijheid in zes landen onderzoekend (waaronder uiteraard Turkije)","Kunst <extra_id_0> Vrouw op Mars Meisjes van de sigarenfabriek Fidan Ekiz presenteert <extra_id_1> BNNVARA <extra_id_2> haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland. In De pen & Het zwaard was ze al tout court televisiejournalist, persvrijheid in <extra_id_3> (waaronder uiteraard Turkije)","Kunst Vrouw op Mars Meisjes van de sigarenfabriek Fidan Ekiz presenteert op BNNVARA Ze heeft haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland. In De pen & Het zwaard was ze al tout court televisiejournalist, persvrijheid in oorlogsgebieden (waaronder uiteraard Turkije)","['& Cultuur Televisie:', 'Vrouw op Mars', 'Fidan Ekiz heeft', 'zes landen onderzoekend']","['', 'op', 'Ze heeft', 'oorlogsgebieden']",12,25,1,"[1.0, 0.8461538461538461, 0.625, 0.782608695652174]",0.81
seq3-0,large,"Braziliaanse klassenstrijd om de fiets So Paulo  Wie fietst, die deugt niet.  Met die woorden becommentarieerde Francisco da Costa Porto (74) de geplande aanleg van een fietspad door zijn straat Honduras, in de chique Jardins (tuinwijk) van So Paulo, in de Braziliaanse pers: Dat weten we vandaag de dag toch","Braziliaanse klassenstrijd om de fiets So Paulo Wie fietst, <extra_id_0> Met die woorden becommentarieerde Francisco da Costa Porto (74) de geplande aanleg van een fietspad door zijn straat Honduras, <extra_id_1> Jardins (tuinwijk) van So Paulo, <extra_id_2> pers: Dat weten <extra_id_3> dag toch","Braziliaanse klassenstrijd om de fiets So Paulo Wie fietst, die rijdt. Met die woorden becommentarieerde Francisco da Costa Porto (74) de geplande aanleg van een fietspad door zijn straat Honduras, in de Jardins (tuinwijk) van So Paulo, tegen de pers: Dat weten we vandaag de dag toch","['die deugt niet.', 'in de chique', 'in de Braziliaanse', 'we vandaag de']","['die rijdt.', 'in de', 'tegen de', 'we vandaag de']",12,25,1,"[0.6, 0.5833333333333334, 0.8888888888888888, 0.0]",0.52
seq4-0,large,"Door regelmatig mee te doen aan de jaarlijkse volksafspraak op 4 mei om 20. 00 uur op de Dam in Amsterdam ontdekte ik dat verschillende mensen, generaties en nationaliteiten hun eigen volk en eigen doden herdenken",Door regelmatig mee te doen aan de jaarlijkse volksafspraak op 4 mei om <extra_id_0> op de Dam in Amsterdam ontdekte ik <extra_id_1> generaties en nationaliteiten hun <extra_id_2> eigen doden herdenken,Door regelmatig mee te doen aan de jaarlijkse volksafspraak op 4 mei om 15.30 uur op de Dam in Amsterdam ontdekte ik hoe generaties en nationaliteiten hun verlies aan eigen doden herdenken,"['20. 00 uur', 'dat verschillende mensen,', 'eigen volk en']","['15.30 uur', 'hoe', 'verlies aan']",9,25,1,"[0.4, 0.92, 0.8461538461538461]",0.72
seq5-0,large,Duitserworst en andere verhalen Laatst was ik even in Frankrijk in het dorpje waar ik altijd met mijn ouders op vakantie was.  Na veertig jaar terug,Duitserworst en andere verhalen Laatst was ik even in Frankrijk in het dorpje <extra_id_0> met mijn ouders op <extra_id_1> veertig jaar terug,Duitserworst en andere verhalen Laatst was ik even in Frankrijk in het dorpje Moulins met mijn ouders op vakantie. Dat was veertig jaar terug,"['waar ik altijd', 'vakantie was. Na']","['Moulins', 'vakantie. Dat was']",6,25,1,"[0.8571428571428571, 0.35294117647058826]",0.61
seq6-0,large,"De doodsangst van Bill Gates Dat gaat me toch een revolutie worden, die digitale snelweg.  De rijkste man ter wereld schreef er een boek over","De <extra_id_0> Gates Dat gaat me toch een revolutie worden, die digitale snelweg. De rijkste <extra_id_1> schreef er een boek over","De rijkste man van de wereld, Bill Gates Dat gaat me toch een revolutie worden, die digitale snelweg. De rijkste man van de wereld schreef er een boek over","['doodsangst van Bill', 'man ter wereld']","['rijkste man van de wereld, Bill', 'man van de wereld']",6,25,1,"[0.6774193548387096, 0.35294117647058826]",0.52
seq7-0,large,"Serene onrust Serenity & Anxiety.  Onder dat alomvattende motto bracht het Holland Festival in 2009 veel goede voorstellingen uit Japan, India, Vietnam, Amerika, Zuid-Afrika, Frankrijk, Duitsland en uit Nederland","Serene onrust Serenity & Anxiety. <extra_id_0> motto bracht het Holland Festival <extra_id_1> voorstellingen uit Japan, India, Vietnam, Amerika, Zuid-Afrika, Frankrijk, Duitsland en uit Nederland","Serene onrust Serenity & Anxiety. Onder dit motto bracht het Holland Festival in 2017 voorstellingen uit Japan, India, Vietnam, Amerika, Zuid-Afrika, Frankrijk, Duitsland en uit Nederland","['Onder dat alomvattende', 'in 2009 veel goede']","['Onder dit', 'in 2017']",7,25,1,"[0.6363636363636364, 0.7222222222222222]",0.68
seq8-0,large,"Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hoves bewerking van vijf histories van Shakespeare, Hendrik V, drie delen van Hendrik VI en Richard III, keert een half jaar na de premire terug in Amsterdam.  De marathon (vier uur) gaat over de schijngestalten van leiderschap","Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hoves bewerking van vijf histories <extra_id_0> V, drie delen van Hendrik VI en Richard III, keert een half jaar na de <extra_id_1> Amsterdam. De marathon <extra_id_2> over <extra_id_3> leiderschap","Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hoves bewerking van vijf histories Hendrik V, drie delen van Hendrik VI en Richard III, keert een half jaar na de voorstelling terug naar Amsterdam. De marathon is over persoonlijk leiderschap","['van Shakespeare', 'Hendrik', 'premire terug in', '(vier uur) gaat', 'de schijngestalten van']","['Hendrik', 'voorstelling terug naar', 'is', 'persoonlijk']",12,25,1,"[0.8666666666666667, 0.8695652173913043, 0.9375, 0.8666666666666667]",0.89
seq9-0,large,"Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen.  Merkel richt met deze benaming duidelijk geen oorlogsverklaring aan IS, zoals Franois Hollande dat deed na de aanslagen in Parijs",Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen. Merkel richt met deze benaming duidelijk geen oorlogsverklaring aan <extra_id_0> Hollande <extra_id_1> de <extra_id_2>,Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen. Merkel richt met deze benaming duidelijk geen oorlogsverklaring aan Hollande gaat de oorlog aan.,"['IS', 'zoals Franois', 'dat deed na', 'aanslagen in Parijs']","['', 'gaat', 'aan.']",9,25,1,"[1.0, 0.8461538461538461, 0.8181818181818182]",0.89
