Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de <extra_id_0> grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en <extra_id_1>","In de gaten voor de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en jongeren.","['rubriek Aan de', 'grensbeleid. Deze week:']","['gaten voor de', 'jongeren.']",6,25.0,24,"[0.7142857142857143, 0.8260869565217391]",0.77
seq1-0,small,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe <extra_id_0> de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe termen aan de hand van neologismen. Deze week:,['inzichten over Nederland aan'],['termen aan'],4,25.0,17,[0.6785714285714286],0.68
seq2-0,small, altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan <extra_id_0> Hier <extra_id_1> van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan Hier een overzicht van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,"['of wil bespreken.', 'doet ze verslag']","['', 'een overzicht']",6,25.0,14,"[1.0, 0.7333333333333333]",0.87
seq3-0,small,"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke <extra_id_0> zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de <extra_id_1> een toespraak op een theaterfestival, de VVD-leider stond steeds weer <extra_id_2> Met <extra_id_3> Groene daarom <extra_id_4> jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke problemen kwamen te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de CDA-leider was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer op de Met de Groene daarom al een jaar.","['opwinding wist te', 'VPRO was of', 'in het nieuws.', 'hem opent De', 'het nieuwe politieke']","['problemen kwamen te', 'CDA-leider was of', 'op de', 'de', 'al een']",15,25.0,12,"[0.7368421052631579, 0.5882352941176471, 0.8571428571428571, 0.9166666666666666, 0.85]",0.79
seq4-0,small,Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft vanuit Washington over het <extra_id_0> In aflevering,Groene-redacteur Casper Thomas schrijft vanuit Washington over het verhaal. In aflevering,['Amerika van Donald Trump.'],['verhaal.'],4,25.0,11,[0.76],0.76
seq5-0,small,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende <extra_id_0> het <extra_id_1>,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende beelden van het publiek.,"['cultuur van', 'nieuwe kunstseizoen. Tip']","['beelden van', 'publiek.']",5,25.0,11,"[0.6363636363636364, 0.8333333333333334]",0.73
seq6-0,small,. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,. Onze <extra_id_0> gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,. Onze podcasts zijn gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,['podcast is elke vrijdagochtend'],['podcasts zijn'],4,25.0,10,[0.6],0.6
seq7-0,small,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. Hoe hield ze zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. <extra_id_0> zich staande onder <extra_id_1> Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. De crisis voelt zich staande onder de coronacrisis. Deel,"['Hoe hield ze', 'het bewind van Ceauescu?']","['De crisis voelt', 'de coronacrisis.']",7,25.0,10,"[0.7333333333333333, 0.7916666666666666]",0.76
seq8-0,small,"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, <extra_id_0> moment in de geschiedenis <extra_id_1> meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, maar blijft op dit moment in de geschiedenis niet meer blijven toekijken. Deze week:","['want op dit', 'kun je niet']","['maar blijft op dit', 'niet']",6,25.0,9,"[0.5, 0.6363636363636364]",0.57
seq9-0,small,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen <extra_id_0> over <extra_id_1> internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen naar over internationale pers. In aflevering,"['van denkers', 'corona in de']","['naar', '']",5,25.0,9,"[0.8181818181818182, 1.0]",0.91
seq10-0,small,"Terwijl de pest op de deur klopte, vertelden de Florentijnse jongeren van Giovanni Boccaccio elkaar sterke verhalen over verliefdheid, waanzin en bedrog om de verveling van hun quarantaine te doorbreken. Nu, zevenhonderd jaar later, kunnen we die traditie voortzetten. Verteller nummer","Terwijl de pest op de deur klopte, vertelden de Florentijnse jongeren van Giovanni Boccaccio elkaar sterke verhalen <extra_id_0> en bedrog om de verveling <extra_id_1> doorbreken. <extra_id_2> later, kunnen we die traditie voortzetten. Verteller nummer","Terwijl de pest op de deur klopte, vertelden de Florentijnse jongeren van Giovanni Boccaccio elkaar sterke verhalen over de angst en bedrog om de verveling te doorbreken. Nog later, kunnen we die traditie voortzetten. Verteller nummer","['over verliefdheid', 'waanzin', 'van hun quarantaine te', 'Nu', 'zevenhonderd jaar']","['over de angst', 'te', 'Nog']",10,25.0,8,"[0.6470588235294118, 1.0, 1.0]",0.88
seq11-0,small,Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit Washington over <extra_id_0> Trump. In aflevering,Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit Washington over Donald Trump. In aflevering,['het Amerika van Donald'],['Donald'],4,25.0,8,[0.7272727272727273],0.73
