Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad <extra_id_0> cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad Deze website gebruikt cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,['FD.nl maakt gebruik van'],['Deze website gebruikt'],4,20.0,28,[0.6086956521739131],0.61
seq1-0,small,) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt <extra_id_0> (11233),) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (11233),['(12921) EU (11642) Jaarverslag'],[''],4,20.0,18,[1.0],1.0
seq2-0,small,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) <extra_id_0> (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) Fonds (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['Internationale economie (27514) Multinationals'],['Fonds'],4,20.0,14,[0.9347826086956522],0.93
seq3-0,small,) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers <extra_id_0> (11791) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (1379) Fondsvoorspellingen (11791) Jaarverslag (11240),['(13486) Arbeidsmarkt (12979) EU'],['(1379) Fondsvoorspellingen'],4,20.0,13,[0.7741935483870968],0.77
seq4-0,small,) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen <extra_id_0> Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen ervan - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['(16522) Aandelen (14591) Verenigde'],['ervan - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen - Samenwerkingen'],4,20.0,11,[0.9688149688149689],0.97
seq5-0,small, In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn <extra_id_0> Deze week:,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn leven. Deze week:,['of haar loopbaan.'],['leven.'],3,20.0,11,[0.8235294117647058],0.82
seq6-0,small,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale economie <extra_id_0> (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale economie (1368) Economie (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),['(27514) Multinationals (18118) Investeringen'],['(1368) Economie'],4,20.0,10,[0.8409090909090909],0.84
seq7-0,small,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In <extra_id_0> wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In de eerste plaats vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,['De Vonk vertelt'],['de eerste plaats vertelt'],3,20.0,8,[0.5833333333333334],0.58
seq8-0,small,) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) <extra_id_0> EU (11889) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Duitsland (135) EU (11889) Jaarverslag (11247),['Omzetcijfers (13595) Arbeidsmarkt (13011)'],['Duitsland (135)'],4,20.0,8,[0.8048780487804879],0.8
seq9-0,small,) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen <extra_id_0> Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (8814) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),['(14707) Verenigde Staten (13862)'],['(8814)'],4,20.0,8,[0.90625],0.91
