Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire <extra_id_0> Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die <extra_id_1> waarom zwijgen <extra_id_2> Vijf <extra_id_3>,Met een spectaculaire actie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die in beslag zijn genomen en waarom zwijgen de Vijf,"['reddingsoperatie wist het', 'nog vastzitten? En', 'de meeste wereldleiders?', 'vragen beantwoord.']","['actie wist het', 'in beslag zijn genomen en', 'de', '']",11,25,1,"[0.52, 0.68, 0.9166666666666666, 1.0]",0.78
seq1-0,large,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. <extra_id_0> deze actie <extra_id_1> 120 gijzelaars <extra_id_2> En waarom zwijgen de meeste <extra_id_3> beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Na deze actie zijn er 120 gijzelaars vrijgelaten. En waarom zwijgen de meeste Palestijnen? De vraag is beantwoord.,"['Wat betekent', 'voor de ongeveer', 'die nog vastzitten?', 'wereldleiders? Vijf vragen']","['Na', 'zijn er', 'vrijgelaten.', 'Palestijnen? De vraag is']",11,25,1,"[0.9166666666666666, 0.8125, 0.7368421052631579, 0.7307692307692307]",0.8
seq2-0,large,"Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van PlayStation. Voorheen produceerde Hulst de succesvolle gameseries Killzone en Horizon. Hij krijgt de taak om s werelds grootste gamebedrijf door een tumultueuze tijd in de game-industrie te leiden.","Op 1 juni begint de Nederlander Hermen <extra_id_0> van Sony Interactive Entertainment, de maker van PlayStation. <extra_id_1> Hulst de <extra_id_2> en Horizon. Hij <extra_id_3> om s werelds grootste gamebedrijf door een tumultueuze tijd in de game-industrie te leiden.","Op 1 juni begint de Nederlander Hermen Hulst als CEO van Sony Interactive Entertainment, de maker van PlayStation. Eerder maakte Hulst de games Xbox en Horizon. Hij is van plan om s werelds grootste gamebedrijf door een tumultueuze tijd in de game-industrie te leiden.","['Hulst als ceo', 'Voorheen produceerde', 'succesvolle gameseries Killzone', 'krijgt de taak']","['Hulst als CEO', 'Eerder maakte', 'games Xbox', 'is van plan']",11,25,1,"[0.23076923076923078, 0.8, 0.7741935483870968, 0.7857142857142857]",0.65
seq3-0,large,"De liberaal-conservatieve Nieuw-Vlaamse Alliantie (N-VA) blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de regionale verkiezingen, die vandaag tegelijk met de Europese en landelijke verkiezingen plaatsvonden.","De liberaal-conservatieve <extra_id_0> blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de <extra_id_1> regionale verkiezingen, <extra_id_2> met de Europese en landelijke verkiezingen plaatsvonden.","De liberaal-conservatieve partij blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de resultaten van de regionale verkiezingen, die samen met de Europese en landelijke verkiezingen plaatsvonden.","['Nieuw-Vlaamse Alliantie (N-VA)', 'getelde stemmen van de', 'die vandaag tegelijk']","['partij', 'resultaten van de', 'die samen']",10,25,1,"[0.9, 0.45454545454545453, 0.7]",0.68
seq4-0,large,"De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia Rotterdam. ,,De jongste deelnemer ooit, van dertien jaar oud, is samen met haar vader eerste geworden.","De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert <extra_id_0> Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia <extra_id_1> deelnemer <extra_id_2> jaar oud, is samen <extra_id_3> eerste geworden.","De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia Een deelnemer slechts acht jaar oud, is samen met zijn zoon eerste geworden.","['van de organisatie.', 'Rotterdam. ,,De jongste', 'ooit', 'van dertien', 'met haar vader']","['', 'Een', 'slechts acht', 'met zijn zoon']",12,25,1,"[1.0, 0.9130434782608695, 0.9166666666666666, 0.8461538461538461]",0.92
seq5-0,large,"Lieke Martens kon met een overwinning afscheid van het thuispubliek. Maar ze laat een kwetsbaar team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.",Lieke Martens kon met een <extra_id_0> het thuispubliek. Maar ze laat een kwetsbaar <extra_id_1> vooralsnog kan inschatten waartoe het in staat is.,Lieke Martens kon met een glimlach op het thuispubliek. Maar ze laat een kwetsbaar team zien dat vooralsnog kan inschatten waartoe het in staat is.,"['overwinning afscheid van', 'team achter', 'waarvan niemand']","['glimlach op', 'team zien dat']",7,25,1,"[0.7916666666666666, 0.6153846153846154]",0.7
seq6-0,large,NRC bespreekt deze weken de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,NRC bespreekt deze weken de eindexamens <extra_id_0> Internist Jos Kooter <extra_id_1> vmbo gl- en tl-examen natuur- en scheikunde.,NRC bespreekt deze weken de eindexamens Internist Jos Kooter geeft een overzicht van de vmbo gl- en tl-examen natuur- en scheikunde.,"['na met deskundigen.', 'over het']","['', 'geeft een overzicht van de']",5,25,1,"[1.0, 0.8076923076923077]",0.9
seq7-0,large,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet alsnog mee.,De <extra_id_0> Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Maandag kwam Nigel <extra_id_1> verrassing: hij doet <extra_id_2>,De liberale Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet mee.,"['Conservatieve Britse premier', 'Farage met een', 'alsnog mee.']","['liberale', 'Farage met een', 'mee.']",8,25,1,"[0.8571428571428571, 0.0, 0.6363636363636364]",0.5
seq8-0,large,"Wie noodgedwongen zzper wordt, heeft het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","Wie noodgedwongen zzper <extra_id_0> minder <extra_id_1> zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","Wie noodgedwongen zzper zijn, zijn minder dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","['wordt', 'heeft het', 'goed dan']","['zijn, zijn', 'dan']",5,25,1,"[1.0, 1.0]",1.0
seq9-0,large,Amsterdammers mogen donderdag behalve voor het Europees Parlement ook stemmen over groen in hun stad.,Amsterdammers mogen donderdag behalve voor het Europees <extra_id_0> groen in hun stad.,Amsterdammers mogen donderdag behalve voor het Europees Parlament ook meer groen in hun stad.,['Parlement ook stemmen over'],['Parlament ook meer'],4,25,1,[0.34615384615384615],0.35
seq10-0,large,Drie docenten van de zeevaartschool op Terschelling verloren hun baan na onderzoek over grensoverschrijdend gedrag. Dat onderzoek bleek niet te deugen  maar de sociale verhoudingen op het eiland staan nu wel op scherp.,Drie docenten <extra_id_0> zeevaartschool op Terschelling verloren hun baan na onderzoek over grensoverschrijdend gedrag. Dat onderzoek bleek niet te deugen maar de sociale verhoudingen <extra_id_1> staan <extra_id_2> scherp.,Drie docenten van een zeevaartschool op Terschelling verloren hun baan na onderzoek over grensoverschrijdend gedrag. Dat onderzoek bleek niet te deugen maar de sociale verhoudingen in de school staan nog steeds scherp.,"['van de', 'op het eiland', 'nu wel op']","['van een', 'in de school', 'nog steeds']",8,25,1,"[0.2857142857142857, 0.7692307692307693, 0.8]",0.62
