,text,text_count,link,paywall
2,Met een spectaculaire reddingsoperatie wist het Israëlische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,1,Hoe vang je een planetoïde? China heeft grootse plannen op dat gebied - NRC,ja 
6,Met een spectaculaire reddingsoperatie wist het Israëlische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,1,https://www.nrc.nl/nieuws/2024/05/24/follow-this-oprichter-mark-van-baal-exxon-wil-critici-permanent-monddood-maken-a4199931,ja 
7,"Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van PlayStation. Voorheen produceerde Hulst de succesvolle gameseries Killzone en Horizon. Hij krijgt de taak om ’s werelds grootste gamebedrijf door een tumultueuze tijd in de game-industrie te leiden.",1,Borstvoeding geven is niet meer gewoon - NRC,ja 
9,"De liberaal-conservatieve Nieuw-Vlaamse Alliantie (N-VA) blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de regionale verkiezingen, die vandaag tegelijk met de Europese en landelijke verkiezingen plaatsvonden.",1,https://www.nrc.nl/nieuws/2024/05/31/trump-zaak-een-historisch-vonnis-met-ongewisse-gevolgen-a4200560,ja 
14,"De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia Rotterdam. ,,De jongste deelnemer ooit, van dertien jaar oud, is samen met haar vader eerste geworden.”",1,https://www.nrc.nl/nieuws/2024/05/29/zelfstandigen-uit-noodzaak-hebben-het-minder-goed-dan-zzpers-die-bewust-voor-het-ondernemerschap-kiezen-a4200400,ja 
18,"Lieke Martens kon met een overwinning afscheid van het thuispubliek. Maar ze laat een kwetsbaar team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.",1,Waarom Billie Eilish de trend van ‘sped up’ en ‘slowed’ volgt - NRC,ja 
19,NRC bespreekt deze weken de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,1,https://www.nrc.nl/nieuws/2024/06/02/lessen-voor-trump-bij-presidentiele-seksschandalen-duurt-eerlijkheid-het-langst-a4200718,ja 
21,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet alsnog mee.,1,"De laatste twee jaar voordat het pleegmeisje uit Vlaardingen in het ziekenhuis belandde, lezen als een handboek voor wat mis kan gaan in de pleegzorg - NRC",ja 
24,"Wie noodgedwongen zzp’er wordt, heeft het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.",1,Favoriete Swiatek opnieuw de beste op Roland Garros - NRC,ja 
28,Amsterdammers mogen donderdag behalve voor het Europees Parlement ook stemmen over groen in hun stad.,1,https://www.nrc.nl/nieuws/2024/06/03/driftback-griekenland-staat-terecht-voor-het-achterlaten-van-asielzoekers-in-stuurloze-opblaasbare-boten-a4350519,ja 
31,Drie docenten van de zeevaartschool op Terschelling verloren hun baan na onderzoek over grensoverschrijdend gedrag. Dat onderzoek bleek niet te deugen – maar de sociale verhoudingen op het eiland staan nu wel op scherp.,1,https://www.nrc.nl/nieuws/2024/06/03/claudia-sheinbaum-stevent-af-op-overweldigende-overwinning-bij-presidentsverkiezingen-mexico-a4200770,ja 
35,"Netbeheerder Tennet heeft met de aanleg van een stroomkabel ‘mogelijk onomkeerbare’ schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag. In Twente is te zien hoe klimaatdoelen botsen met de natuuropgave.",1,"Blijdschap in Israël na bevrijding gijzelaars, maar woede elders over hoge tol aan Palestijnse slachtoffers - NRC",ja 
48,"Omdat grote banken nauwelijks met elkaar hoeven concurreren om spaarders, ontvangen klanten te lage rentes, concludeert ACM. De toezichthouder stelt onder meer het opzetten van een onafhankelijke vergelijkingssite voor.",1,Studie- en schoolboeken worden duurder door hogere btw - NRC,ja 
50,"Een kaalslag dreigt onder installateurs van zonnepanelen in Nederland. Niet alleen zijn de energieprijzen gezakt, ook de lucratieve salderingsregeling heeft haar langste tijd gehad.",1,https://www.nrc.nl/nieuws/2024/05/24/mannen-e-mailen-over-hun-pak-is-dat-nuttig-werk-a4199505,ja 
51,"In Wenen is een nieuw museum geopend dat gewijd is aan het Wiener Aktionismus, dat in de jaren zestig Oostenrijk opschudde met voorstellingen vol bloed en uitwerpselen. Had het beter vergeten kunnen worden?",1,Op Oerol vragen de robots waarom de mens überhaupt nog zijn bed uitkomt - NRC,ja 
58,Is dit fascisme? Het is de vraag die telkens terugkomt. Baudets opmerking over homeopathische verdunning: is dit fascisme? De bestorming van het Capitool: is dit fascisme? Poetins strijd tegen -lhbti-activisten: is dit fascisme?,1,https://nrc.nl/nieuws/2024/05/27/china-dreigt-met-wraakmaatregelen-door-europees-staatssteunonderzoek-a4200086,ja 
63,"De discotheek is aan het verdwijnen in Italië. Van de ruim zevenduizend danspaleizen die eind jaren 90 in het land stonden, is nog maar de helft over. De rest is vervallen, verlaten of omgebouwd tot supermarkt of kantoor.",1,https://www.nrc.nl/nieuws/2024/05/29/britse-post-komt-in-buitenlandse-handen-tsjechische-miljardair-wil-royal-mail-overnemen-a4200417,ja 
