Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer <extra_id_0> nog vastzitten? <extra_id_1> de <extra_id_2> vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer acht miljoen mensen die nog vastzitten? In de reacties worden vragen beantwoord.,"['120 gijzelaars die', 'En waarom zwijgen', 'meeste wereldleiders? Vijf']","['acht miljoen mensen die', 'In', 'reacties worden']",9,20,1,"[0.6086956521739131, 0.9411764705882353, 0.7692307692307693]",0.77
seq1-0,small,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten? En waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse <extra_id_0> ongekend hoog. <extra_id_1> actie voor de ongeveer 120 gijzelaars die <extra_id_2> waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse legers is ongekend hoog. Een actie voor de ongeveer 120 gijzelaars die zich hebben bereikt. Maar waarom zwijgen de meeste wereldleiders? Vijf vragen beantwoord.,"['zijde is echter', 'Wat betekent deze', 'nog vastzitten? En']","['legers is', 'Een', 'zich hebben bereikt. Maar']",9,20,1,"[0.8, 0.8823529411764706, 0.88]",0.85
seq2-0,small,"Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van PlayStation. Voorheen produceerde Hulst de succesvolle gameseries Killzone en Horizon. Hij krijgt de taak om s werelds grootste gamebedrijf door een tumultueuze tijd in de game-industrie te leiden.","Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van <extra_id_0> Hulst de succesvolle gameseries Killzone en <extra_id_1> de taak om s werelds grootste gamebedrijf door <extra_id_2> in de game-industrie te leiden.","Op 1 juni begint de Nederlander Hermen Hulst als ceo van Sony Interactive Entertainment, de maker van de nieuwe Hulst de succesvolle gameseries Killzone en stelt de taak om s werelds grootste gamebedrijf door de jaren heen in de game-industrie te leiden.","['PlayStation. Voorheen produceerde', 'Horizon. Hij krijgt', 'een tumultueuze tijd']","['de nieuwe', 'stelt', 'de jaren heen']",9,20,1,"[0.8787878787878788, 0.9473684210526315, 0.8]",0.88
seq3-0,small,"De liberaal-conservatieve Nieuw-Vlaamse Alliantie (N-VA) blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de regionale verkiezingen, die vandaag tegelijk met de Europese en landelijke verkiezingen plaatsvonden.","De liberaal-conservatieve <extra_id_0> blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de <extra_id_1> die vandaag tegelijk <extra_id_2> en landelijke verkiezingen plaatsvonden.","De liberaal-conservatieve partij blijft de grootste partij in het Vlaams Parlement (25,2 procent). Dat melden Belgische media op basis van de helft van de getelde stemmen van de Vlaamse regering die vandaag tegelijk in de Vlaamse en landelijke verkiezingen plaatsvonden.","['Nieuw-Vlaamse Alliantie (N-VA)', 'regionale verkiezingen,', 'met de Europese']","['partij', 'Vlaamse regering', 'in de Vlaamse']",8,20,1,"[0.9, 0.6956521739130435, 0.6]",0.73
seq4-0,small,"De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er ruim 11.500 euro opgehaald voor het Ronald McDonald Huis Sophia Rotterdam. ,,De jongste deelnemer ooit, van dertien jaar oud, is samen met haar vader eerste geworden.","De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar <extra_id_0> 11.500 euro opgehaald voor het Ronald McDonald Huis <extra_id_1> deelnemer ooit, van <extra_id_2> is samen met haar vader eerste geworden.","De elfde editie van de Willem IV Rally was een groot succes. Dat meldt Arne Verwoert van de organisatie. Dit jaar is er 11.500 euro opgehaald voor het Ronald McDonald Huis De deelnemer ooit, van is samen met haar vader eerste geworden.","['is er ruim', 'Sophia Rotterdam. ,,De jongste', 'dertien jaar oud,']","['is er', 'De', '']",10,20,1,"[0.5, 0.9333333333333333, 1.0]",0.81
seq5-0,small,"Lieke Martens kon met een overwinning afscheid van het thuispubliek. Maar ze laat een kwetsbaar team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.","Lieke Martens kon met een <extra_id_0> van het thuispubliek. Maar ze <extra_id_1> team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.","Lieke Martens kon met een goede selectie van het thuispubliek. Maar ze hebben een team achter, waarvan niemand vooralsnog kan inschatten waartoe het in staat is.","['overwinning afscheid', 'laat een kwetsbaar']","['goede selectie', 'hebben een']",5,20,1,"[0.85, 0.7777777777777778]",0.81
seq6-0,small,NRC bespreekt deze weken de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,<extra_id_0> de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,en de eindexamens na met deskundigen. Internist Jos Kooter over het vmbo gl- en tl-examen natuur- en scheikunde.,['NRC bespreekt deze weken'],['en'],4,20,1,[0.9166666666666666],0.92
seq7-0,small,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. Maandag kwam Nigel Farage met een verrassing: hij doet alsnog mee.,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. <extra_id_0> Farage met een verrassing: <extra_id_1> mee.,De Conservatieve Britse premier Sunak schreef twee weken geleden onverwachts verkiezingen uit. De campagnestrijd met Labour ging meteen volop van start. De Farage met een verrassing: 'Ik neem mee.,"['Maandag kwam Nigel', 'hij doet alsnog']","['De', ""'Ik neem""]",6,20,1,"[0.9444444444444444, 0.8666666666666667]",0.91
seq8-0,small,"Wie noodgedwongen zzper wordt, heeft het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","Wie <extra_id_0> het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","Wie werkt het minder goed dan zelfstandigen die daar bewust voor kiezen, blijkt uit onderzoek van Rabobank.","['noodgedwongen zzper wordt', 'heeft']",['werkt'],4,20,1,[0.84],0.84
seq9-0,small,Amsterdammers mogen donderdag behalve voor het Europees Parlement ook stemmen over groen in hun stad.,Amsterdammers mogen donderdag <extra_id_0> Europees Parlement ook stemmen over groen in hun stad.,Amsterdammers mogen donderdag in het Europees Parlement ook stemmen over groen in hun stad.,['behalve voor het'],['in het'],3,20,1,[0.75],0.75
