Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,.  Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel <extra_id_0> we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel geld betalen we elke week aan een Nederlander. Vandaag:,['verdien je? Dat vragen'],['geld betalen'],4,30,19,[0.6363636363636364],0.64
seq1-0,large,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor de AD sportnieuwsbrief <extra_id_0> dagelijks een overzicht van <extra_id_1>,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van,"['en ontvang', 'het belangrijkste sportnieuws']","['en ontvang', '']",5,30,16,"[0.0, 1.0]",0.5
seq2-0,large,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,<extra_id_0> verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,['Fotograaf Nico Brons en'],['en'],4,30,16,[0.9130434782608695],0.91
seq3-0,large,"Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer <extra_id_0> loon vraagt <extra_id_1> om verder <extra_id_2> geven hn beste <extra_id_3>","Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om loon vraagt en hoe je om verder te geven hn beste tips.","['je om meer', 'en wat helpt', 'te komen. Zij', 'tips. Vandaag:']","['je om', 'en hoe je', 'te', 'tips.']",11,30,14,"[0.5, 0.5833333333333334, 0.8461538461538461, 0.6428571428571429]",0.64
seq4-0,large,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste land van de wereld maken.,David en Arjan van 365dagensuccesvol.nl hebben n <extra_id_0> gelukkigste land van de <extra_id_1>,David en Arjan van 365dagensuccesvol.nl hebben n het gelukkigste land van de wereld.,"['doel: Nederland het', 'wereld maken.']","['het', 'wereld.']",5,30,14,"[0.8421052631578947, 0.46153846153846156]",0.65
seq5-0,large,"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De Nations League, <extra_id_0> competitie voor landenteams, is de derde competitieronde ingegaan. Dit <extra_id_1> in League A en League <extra_id_2> en volgende week. Ook vermelden we hier komende week alle uitslagen, <extra_id_3> n <extra_id_4> de belangrijkste oefeninterlands.","De Nations League, de competitie voor landenteams, is de derde competitieronde ingegaan. Dit gebeurt in League A en League B deze en volgende week. Ook vermelden we hier komende week alle uitslagen, standen en n de belangrijkste oefeninterlands.","['de nieuwe Europese', 'is het programma', 'B van deze', 'de stand', 'het programma van']","['de', 'gebeurt', 'B deze', 'standen en', '']",14,30,14,"[0.8888888888888888, 0.875, 0.4, 0.8, 1.0]",0.79
seq6-0,large,"Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, <extra_id_0> kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende <extra_id_1> en <extra_id_2>","Het seizoen 2017-2018 is nog niet eens afgelopen, maar Ajax kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende week en","['maar de voetbalwereld', 'zomer alle geruchten', 'voltooide transfers bij.']","['maar Ajax', 'week', '']",9,30,13,"[0.7142857142857143, 0.9, 1.0]",0.87
seq7-0,large,"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden <extra_id_0> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de <extra_id_1> te vergroten en er doorheen <extra_id_2>","De beeldredactie ziet dagelijks duizenden foto’s en worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de foto’s om te vergroten en er doorheen te","['nieuwsfotos. In deze rubriek', 'beelden om deze', 'te bladeren. 1']","['foto’s en', 'foto’s om', 'te']",10,30,12,"[0.7857142857142857, 0.8, 0.8571428571428571]",0.81
seq8-0,large,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",Wijsheid komt met de jaren. <extra_id_0> Prinsen (77) een eind op <extra_id_1> hij uw vragen.,Wijsheid komt met de jaren. Als u Prinsen (77) een eind op beantwoordt hij uw vragen.,"['Omdat acteur Joost', 'weg is', 'beantwoordt']","['Als u', 'beantwoordt']",6,30,12,"[0.8888888888888888, 0.9090909090909091]",0.9
seq9-0,large,"De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, maar veel clubs hebben <extra_id_0> al binnen. In dit overzicht houden <extra_id_1> en uitgaande transfers van de eredivisieclubs <extra_id_2>","De transfermarkt draait op volle toeren, maar veel clubs hebben de spelers al binnen. In dit overzicht houden we rekening met inkomende en uitgaande transfers van de eredivisieclubs","['al meerdere aanwinsten', 'we alle inkomende', 'van deze zomer bij.']","['de spelers', 'we rekening met inkomende', '']",10,30,12,"[0.7727272727272727, 0.44, 1.0]",0.74
