,text,text_count,link,paywall
0,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. „Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.”,1,Sietske betaalde 44 euro voor ontspanning in de sauna: ‘Maar ik was ook een traumaatje rijker’ | Geldflaters | AD.nl,ja
1,Defensie voert de druk op om te dienen bij de krijgsmacht. Jongeren reageren verdeeld.,1,https://www.ad.nl/politiek/rechtsstaat-langdurig-verwaarloosd-oordeelt-de-staatscommissie-aanzienlijke-groep-burgers-in-de-knel~a6db0929/,ja
4,"Netbeheerder Tennet heeft met de aanleg van een stroomkabel ‘mogelijk onomkeerbare’ schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.",1,"Hij is als enige over op camping, maar Henk weigert vertrek: ‘Hij vervuilt en z’n verzorging is nul’ | Instagram | AD.nl",ja
5,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote luidsprekers bij de grens weer aan en zullen nieuwsuitzendingen en popmuziek de grens over schallen.,1,Oranje-international Matthijs de Ligt stapt vlak voor EK in huwelijksbootje | Oranje | AD.nl,ja
10,"Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.",1,Juwelenroof bij Bulgari in Rome: inbrekers gaan door riool en gat in muur en maken 500.000 euro buit | Buitenland | AD.nl,ja
12,De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,1,Musicalactrice Bettina Holwerda zat op haar 24ste tegen burn-out aan: ‘Viel bijna flauw voor volle zaal’ | Hemd van het Lijf | AD.nl,ja 
15,"Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren.",1,Campinghoudster ’t Oekeltje: ‘Het lijkt wel persoonlijk zoals Zundert mij tegenwerkt’ | Zundert | AD.nl,ja
16,"Carlos Alcaraz heeft voor het eerst in zijn carrière Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.",1,https://www.ad.nl/economie/dnb-somber-huizenprijzen-stijgen-tot-en-met-2026-jaarlijks-minstens-4-procent-begrotingstekort-loopt-fors-op~abb8fec6/,ja
17,Met een spectaculaire reddingsoperatie wist het Israëlische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten?,1,"Wonen in een comfortabele villa? Nee, voor de meeste eilanders was het lange tijd armoe troef | Voorne aan Zee | AD.nl",ja 
22,"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. „Nederland is een prachtig land./ Een land om trots op te zijn.” En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.",1,Drie aanhoudingen na crash met gestolen motor op Veluweplein in Den Haag | 112 nieuws Den Haag | AD.nl,ja
23,"En nog zijn PVV, VVD, NSC en BBB het niet eens over de verdeling van de ministersposten. Zo maken de vier partijen het het aanstaande kabinet wel heel lastig. Want als de nieuwe premier niet op de volgende Europese top van 27 juni verschijnt, staat hij al meteen 1-0 achter, schrijft politiek verslaggever Hans van Soest in dit commentaar.",1,https://www.ad.nl/binnenland/verslaafden-maken-drugshol-van-wc-gebouw-en-weigeren-parkbezoekers-binnen-te-laten-weg-hier-bezet~a1ff1fb8/,ja
26,Zo’n 22.000 kinderen worden jaarlijks voor korte of langere periode opgevangen door pleegouders. Een uitgebreide screening moet ervoor zorgen dat ze geschikt zijn om deze zorg te dragen. Hoe kon het in Vlaardingen dan toch zo misgaan?,1,https://www.ad.nl/economie/lezersvragen-over-btw-verhoging-beantwoord-waarom-btw-op-sport-omhoog-gaat-is-een-raadsel~a4166211/,ja
27,"Garry Conille, nog geen twee weken geleden als tijdelijke premier van Haïti aangesteld, is zaterdag in het ziekenhuis in Port-au-Prince opgenomen.",1,https://www.ad.nl/economie/jorg-was-directeur-bij-het-familiebedrijf-maar-stopte-om-te-doen-wat-hij-eigenlijk-zijn-hele-leven-al-wil~ad3f6822/,ja
29,Inbrekers hebben afgelopen nacht voor ongeveer een half miljoen euro aan juwelen buitgemaakt bij de luxe juwelier Bulgari in Rome.,1,"Oostenrijk zet zich schrap voor nieuwe onweersbuien, stembureaus onbereikbaar door overstromingen | Buitenland | AD.nl",ja
34,De van televisie bekende Henriëtte Momma is eind vorige maand op 90-jarige leeftijd overleden. Miljoenen Nederlanders leerden haar de afgelopen jaren kennen als de liefdevolle en zorgzame moeder van de autistische kunstenaar Kees Momma.,1,Heeft de gijzelnemer zich verstopt in de gangkast? | Beau van Erven Dorens | AD.nl,ja
42,"Naar aanleiding van de grote hoeveelheid pfas in eieren rond de fabriek van Chemours in Dordrecht, start het RIVM een nieuw onderzoek. Het rijksinstituut wil weten of nog meer eieren van hobbykippen schadelijke hoeveelheden van de chemische stoffen bevatten.",1,https://www.ad.nl/economie/vs-doet-onderzoek-naar-nvidia-microsoft-en-openai-vanwege-mogelijk-te-grote-marktdominantie~a00c20b6/,ja
46,Voor deze rubriek sturen lezers foto’s in van hun ouders. Deze keer stuurde Peter Boomsma (1960) een door F.C.D. Popken gemaakte foto in van zijn ouders Hennie Boomsma-Wieten (1932-1999) en Jelle Boomsma (1927-2010).,1,"Geen doorgewinterde criminelen, maar mannen met ‘gewone’ banen staan voor rechter om huiselijk geweld | De beste verhalen uit Rotterdam en omgeving | AD.nl",ja
47,De Luxemburgse Vicky Krieps is een van de meest gewilde actrices van Europa. Ze is gespecialiseerd in personages die „alleen hun blik hebben” en zo mannen een spiegel voorhouden.,1,"Streams samenwerking Roxy Dekker en Bankzitters door het dak, bijna Spotify-record | Show | AD.nl",ja
49,"Het Nederlandse poststelsel moet op de schop omdat PostNL wettelijke normen structureel niet haalt, volgens de minister.",1,Bewoners zorgcentrum horen één dag van tevoren dat huis sluit: ‘Is te betreuren dat ze zo laat zijn ingelicht’ | Amersfoort | AD.nl,ja
52,Is dit fascisme? Het is de vraag die telkens terugkomt. Baudets opmerking over homeopathische verdunning: is dit fascisme? De bestorming van het Capitool: is dit fascisme? Poetins strijd tegen -lhbti-activisten: is dit fascisme?,1,Waarom er zoveel doden vielen bij de bevrijding van vier Israëlische gijzelaars: ‘Deze actie moest lukken’ | Buitenland | AD.nl,ja
54,"China plant een golf aan nieuwe ruimtemissies naar planetoïden. Voor de wetenschap en om grondstoffen te winnen. Maar hoe leg je daar aan? Met borende pootjes, lasso’s of toch weer een harpoen?",1,https://www.ad.nl/westland/jumbo-ondernemer-gaat-ook-bij-tweede-vestiging-verbod-op-tabaksverkoop-omzeilen-stuitend~a3c6f021/,ja
55,Vier grote zonnepanelenbedrijven van Booking.com-miljonair Kees Koolen zijn failliet. Dat heeft grote gevolgen voor duizenden klanten. Hoe heeft dit kunnen gebeuren?,1,https://www.ad.nl/economie/verschillende-generaties-op-de-werkvloer-denk-wel-eens-dat-ik-tussen-stel-dinos-terecht-ben-gekomen~a578d1be/,ja
60,"Door het eindeloos lange premierschap van Mark Rutte zaten tekenaars jarenlang aan de politicus vast. Wat hebben zij over Rutte als tekenobject te zeggen, nu hij bijna vertrekt? ‘Vooruitstekende kin, spleetoogjes: je zet hem relatief makkelijk neer’.",1,Nieuwe interim-premier van Haïti kort na benoeming in het ziekenhuis opgenomen | Buitenland | AD.nl,ja
67,"Voor zijn kinderboekje over klimaatverandering kreeg lector Kees Klomp de Over Hoop Prijs. „Scholen kúnnen het niet weghouden bij kinderen, het onderwerp is overal.”",1,https://www.ad.nl/binnenland/een-op-de-drie-jonge-verdachten-heeft-hersenschade-maar-in-de-rechtbank-komt-dat-zelden-aan-bod~ab9ad52d/,nee
72,PSV heeft als verrassing vrijdag voor de ingang van het Philips Stadion een bronzen beeld onthuld om de jarenlange samenwerking met Guus Meeuwis passend af te sluiten. Volgende week begint de zanger aan zijn laatste reeks Groots-concerten.,1,"Keniaanse sloppenwijk radeloos na rampzalige overstroming, Amersfoortse komt in actie | Amersfoort | AD.nl",ja
75,In 2015 was het onmogelijk dat Barack Obama de hand van William Ruto zou schudden. Op zoek naar nieuwe partners in Afrika maken de Amerikanen de president van Kenia nu het hof.,1,https://www.ad.nl/economie/witgoedproducent-miele-schrapt-1300-banen-in-duitsland~aa36ed54/,ja
79,Ilya Sutskever vertrekt bij OpenAI. De mede-oprichter was lange tijd het geweten van het AI-bedrijf. Vorig jaar stond hij lijnrecht tegenover topman Sam Altman. Sutskevers afscheid overschaduwt alle opwinding over de nieuwe superchatbot van OpenAI.,1,https://www.ad.nl/binnenland/geen-27-maar-12-euro-voor-een-pak-shag-nederlanders-halen-net-over-de-grens-winkelkarren-vol-tabak~a763b60d/,ja
93,"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. „Nederland is een prachtig land./ Een land om trots op te zijn.” En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.",1,Ruim 11.500 euro opgehaald voor Ronald McDonald Huis: ‘Vader en dochter (13) winnen Willem IV Rally’ | Vijfheerenlanden | AD.nl,ja
98,"Stoelen, banken, pallets, fietsen – de barricades die zijn opgeworpen door de demonstranten die het universiteitsgebouw in de Amsterdamse binnenstad hebben bezet, blijken weinig partij voor de ME.",1,https://www.ad.nl/binnenland/babboe-terugroep-loopt-spaak-ze-spammen-me-al-jaren-maar-mijn-bakfiets-is-onbekend-bij-ze~a967def3/,ja
100,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.",1,Opgeluchte Primoz Roglic wint Criterium du Dauphiné op slechts acht tellen: ‘Ik kon ze steeds zien rijden’ | Wielrennen | AD.nl,ja
104,In 2015 was het onmogelijk dat Barack Obama de hand van William Ruto zou schudden.,1,https://ad.nl/commentaar/geruzie-over-de-poppetjes-in-de-formatie-begint-sneu-te-ogen~a922ef3c/,ja
105,"Nederlanders douchen steeds meer, liefst twee keer per dag, met warm water en veel sop. Volgens dermatologen is dat echt te veel voor onze huid.",1,Exotische spullen of op zoek naar familiegeschiedenis; het kan op de Pasar Malam in Leerdam | Vijfheerenlanden | AD.nl,ja
111,"Nog nooit kregen zo weinig baby’s borstvoeding. Er wordt te weinig ruimte voor gegeven, zeggen jonge moeders in Lelystad. „Ik doe het meestal in de auto, de ramen zijn geblindeerd.”",1,https://www.ad.nl/politiek/nederland-dreigt-mis-te-grijpen-op-brusselse-banenmarkt-ze-zijn-te-druk-met-zichzelf~adf39e41/,ja
113,"Zelden zo weinig gedubd over mijn stem als bij deze Europese verkiezingen; er moet een flink tegenwicht komen tegen Europees radicaal- en extreemrechts, en de fractie van de socialisten en democraten is daar, ook getalsmatig het best toe uitgerust.",1,Nooit meer Vamos a la playa: de ooit zo zinderende disco in Italië is op sterven na dood | Buitenland | AD.nl,ja
114,In Maastricht zijn drie studenten al zeven dagen in hongerstaking om het universiteitsbestuur te dwingen alle banden met Israël te verbreken. Hongerstaker Alex verloor al 6 kilo aan gewicht. ‘We zagen geen andere oplossing.’,1,‘Geluksvogel’ wint in anderhalf jaar 260 keer in het casino én in 5 loterijen: politie gelooft er niets van | Buitenland | AD.nl,ja
117,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden.,1,https://www.ad.nl/buitenland/de-ene-nederlander-kreeg-de-afgelopen-vijf-jaar-echt-iets-voor-elkaar-in-brussel-de-ander-helemaal-niks~a5be61fd/,ja
