Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is <extra_id_0> hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is er een aantal hooikoortspatinten.,['dat goed nieuws voor'],['er een aantal'],4,15,1,[0.85],0.85
seq1-0,xl,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. De was heeft <extra_id_0> groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een <extra_id_1> wind heeft het drukdrukdruk, een overall spartelt of <extra_id_2> gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. De was heeft lust tot leven. Klein bij klein, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een trui gaat rollen, een wind heeft het drukdrukdruk, een overall spartelt of wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","['een vaste volgorde,', 'jurk in de', 'hij wordt']","['lust tot leven. Klein bij klein,', 'trui gaat rollen, een', 'wordt']",8,15,1,"[0.8125, 0.7619047619047619, 0.4444444444444444]",0.67
seq2-0,xl,"Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere wereld is dagelijkse realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de <extra_id_0> verdere wereld <extra_id_1> realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de eerste verdere wereld is realiteit.","['oorlog en de', 'is dagelijkse']","['eerste', 'is']",5,15,1,"[0.8333333333333334, 0.8461538461538461]",0.84
seq3-0,xl,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft <extra_id_0> bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft zichzelf als onderwerp: klein bij groot, soort bij soort, sok bij sok, kleur bij kleur.","['een vaste volgorde', 'groot']",['zichzelf als onderwerp: klein'],4,15,1,[0.8275862068965517],0.83
seq4-0,xl,"Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder <extra_id_0> tot stand.","Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder enige subsidie tot stand.",['slag of stoot'],['enige subsidie'],3,15,1,[0.7857142857142857],0.79
seq5-0,xl,"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse <extra_id_0> 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse delicatessenwinkel in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.",['seksclub in een'],['delicatessenwinkel in een'],3,15,1,[0.64],0.64
seq6-0,xl,"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan <extra_id_0> actrice Scarlett Johansson doet denken.","OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.",['de stem van'],['de stem van'],3,15,1,[0.0],0.0
seq7-0,xl,"Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de <extra_id_0> papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de koning niet zien. Hij is nu de papieren koning Charles III van het Verenigd Koninkrijk.",['hand leggen op een'],['koning niet zien. Hij is nu de'],4,15,1,[0.7333333333333333],0.73
seq8-0,xl,"Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.","Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. <extra_id_0> een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere <extra_id_1> inkomsten op te krikken.","Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu deze diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.","['Nu de diensten', 'manieren om hun']","['Nu deze diensten', 'manieren om hun']",6,15,1,"[0.125, 0.0]",0.06
seq9-0,xl,"De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.",De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. <extra_id_0> rest horen <extra_id_1> begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.,De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. De rest horen we later. Volgens de verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.,"['Goed nieuws', 'de', 'jullie later. Naar verwachting']","['De', 'we later. Volgens de verwachting']",7,15,1,"[0.9090909090909091, 0.9375]",0.92
seq10-0,xl,"Ze zorgen al lange tijd voor grote problemen op verschillende plekken in Utrecht: drugsgebruikers op straat. Vorig jaar zorgden zon 120 verslaafden op het Lucasbolwerk voor overlast, maar nadat daar maatregelen werden genomen, verplaatste de groep zich naar Park Lepelenburg.","<extra_id_0> lange tijd voor grote problemen op verschillende plekken in Utrecht: drugsgebruikers op straat. Vorig jaar zorgden zon 120 verslaafden op het Lucasbolwerk voor overlast, maar nadat daar maatregelen werden genomen, verplaatste de groep <extra_id_1> Lepelenburg.","al lange tijd voor grote problemen op verschillende plekken in Utrecht: drugsgebruikers op straat. Vorig jaar zorgden zon 120 verslaafden op het Lucasbolwerk voor overlast, maar nadat daar maatregelen werden genomen, verplaatste de groep zich naar Lepelenburg.","['Ze zorgen al', 'zich naar Park']","['al', 'zich naar']",6,15,1,"[0.8333333333333334, 0.35714285714285715]",0.6
