Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands <extra_id_0> Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands publiek te zien. Bijna allemaal laten ze het publiek actief meedoen,['Binnalepaviljoen in te richten.'],['publiek te zien.'],4,20,1,[0.6451612903225806],0.65
seq1-0,small,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de <extra_id_0> een duik in de vennetjes <extra_id_1> fietsen op de rechte paden <extra_id_2> doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de muren van een duik in de vennetjes en fietsen op de rechte paden De Oude Warande doorkruisen","['grasvelden', 'honden nemen', 'en kinderen leren', 'die het park']","['muren van', 'en', 'De Oude Warande']",9,20,1,"[0.9, 0.8333333333333334, 0.7647058823529411]",0.83
seq2-0,small,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was <extra_id_0> werd gevonden <extra_id_1> in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was dat werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het","['naar Duitsland en woensdag', 'op een vliegveld']","['dat', 'op een vliegveld']",7,20,1,"[0.9230769230769231, 0.0]",0.46
seq3-0,small,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,<extra_id_0> Rusland op bezoek komen <extra_id_1> van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,in Rusland op bezoek komen In het land van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,"['Hamas mag in', '. Tot ontsteltenis']","['in', 'In het land']",6,20,1,"[0.8333333333333334, 0.7777777777777778]",0.81
seq4-0,small,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst <extra_id_0> een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 <extra_id_1> in <extra_id_2>,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst stad met een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden in Barcelona,"['getroffen stad in', 'maanden veertien aanslagen', 'Europese steden']","['stad met', 'maanden', 'Barcelona']",8,20,1,"[0.7647058823529411, 0.7307692307692307, 0.8666666666666667]",0.79
seq5-0,small,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de <extra_id_0> Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig <extra_id_1> islam. Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de moord op Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig artikelen over islam. Dat melden Noorse media,"['schietpartij en bomaanslag in', 'kritisch over de']","['moord op', 'artikelen over']",7,20,1,"[0.896551724137931, 0.625]",0.76
seq6-0,small,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden. De man werd <extra_id_0> geboeid op de achterbank van de <extra_id_1> overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden. De man werd gisteren geboeid op de achterbank van de politie. Hij overleed daar,"['onwel terwijl hij', 'politieauto lag en']","['gisteren', 'politie. Hij']",6,20,1,"[0.8235294117647058, 0.5555555555555556]",0.69
seq7-0,small,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet <extra_id_0>,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet beter wees.,['leiden tot een inhaalslag'],['wees.'],4,20,1,[0.88],0.88
seq8-0,small,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en <extra_id_0> jaar nog niet zullen <extra_id_1> resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en TV10 Gold dit jaar nog niet zullen stijgen. De resultaten van het concern","['The Music Factory dit', 'bijdragen aan de']","['TV10 Gold dit', 'stijgen. De']",7,20,1,"[0.6666666666666666, 0.625]",0.65
seq9-0,small,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze <extra_id_0> Stichting <extra_id_1> organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze week de Stichting Vangnet Nederland organiseerde","['krant samen met de', 'Sociale Zekerheid 2001']","['week de', 'Vangnet Nederland']",7,20,1,"[0.7222222222222222, 0.7727272727272727]",0.75
seq10-0,small,"De Achterpagina bezoekt bijzondere kleedkamers.  Vandaag het mooiste voetbalstadion van Nederland, De Kuip in Rotterdam, thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Vandaag het mooiste voetbalstadion van Nederland, <extra_id_0> thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. Vandaag het mooiste voetbalstadion van Nederland, de thuishaven van Feyenoord","['De Kuip in Rotterdam,']",['de'],4,20,1,[0.9523809523809523],0.95
