Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
.  Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel <extra_id_0> we elke week aan een Nederlander. Vandaag:,['verdien je? Dat vragen'],4,25.0,19
Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht <extra_id_0>,['van het belangrijkste sportnieuws'],4,25.0,16
Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks <extra_id_0> nieuws. Vandaag:,['een kijkje achter het'],4,25.0,16
"Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Tip van de <extra_id_0> de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en <extra_id_1> verder <extra_id_2> geven hn beste tips. Vandaag:","['BaasWie beter dan', 'wat helpt om', 'te komen. Zij']",9,25.0,14
David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste land van de wereld maken.,David en Arjan van <extra_id_0> Nederland het gelukkigste land van de wereld maken.,['365dagensuccesvol.nl hebben n doel:'],4,25.0,14
"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De Nations League, de nieuwe Europese competitie voor landenteams, <extra_id_0> competitieronde ingegaan. Dit is het programma in League A en League B van deze <extra_id_1> Ook vermelden <extra_id_2> week <extra_id_3> stand n het programma van de belangrijkste oefeninterlands.","['is de derde', 'en volgende week.', 'we hier komende', 'alle uitslagen, de']",12,25.0,14
"Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop <extra_id_0> seizoen. In onze TransferTalk houden we <extra_id_1> geruchten en voltooide <extra_id_2>","['naar het nieuwe', 'komende zomer alle', 'transfers bij.']",8,25.0,13
"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een <extra_id_0> beelden om deze te <extra_id_1> doorheen <extra_id_2>","['van de', 'vergroten en er', 'te bladeren. 1']",8,25.0,12
"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",Wijsheid komt met de jaren. Omdat <extra_id_0> (77) een eind op weg <extra_id_1> hij uw vragen.,"['acteur Joost Prinsen', 'is, beantwoordt']",5,25.0,12
"De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al <extra_id_0> overzicht houden we alle <extra_id_1> uitgaande transfers van <extra_id_2> deze zomer bij.","['binnen. In dit', 'inkomende en', 'de eredivisieclubs van']",8,25.0,12
