,text,text_count
0,"Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scène de drager van betekenis in Arrival, Denis Villeneuve’s nieuwe film over het eerste contact tussen mensen en buitenaardse wezens.  Met trage camerabewegingen en vervreemdende geluiddesigns creëert de Canadese filmmaker een wereld die we nét niet kennen",1
5,"18 november 2009 Jaargang 133, Nr.  47 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij zijn ideeën voor filebestrijding gaat minister Eurlings uit van de impliciete vooronderstelling dat de automobilist gevoelig is voor de kilometerprijzen",1
10,"Kunst & Cultuur Televisie: ‘Vrouw op Mars’ Meisjes van de sigarenfabriek Fidan Ekiz presenteert Vrouw op Mars © BNNVARA Fidan Ekiz heeft haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland.  In De pen & Het zwaard was ze al tout court televisiejournalist, persvrijheid in zes landen onderzoekend (waaronder uiteraard Turkije)",1
15,"Braziliaanse klassenstrijd om de fiets São Paulo – ‘Wie fietst, die deugt niet. ’ Met die woorden becommentarieerde Francisco da Costa Porto (74) de geplande aanleg van een fietspad door zijn straat Honduras, in de chique Jardins (‘tuinwijk’) van São Paulo, in de Braziliaanse pers: ‘Dat weten we vandaag de dag toch",1
34,"Door regelmatig mee te doen aan de jaarlijkse volksafspraak op 4 mei om 20. 00 uur op de Dam in Amsterdam ontdekte ik dat verschillende mensen, generaties en nationaliteiten hun eigen volk en eigen doden herdenken",1
36,Duitserworst en andere verhalen Laatst was ik even in Frankrijk in het dorpje waar ik altijd met mijn ouders op vakantie was.  Na veertig jaar terug,1
40,"De doodsangst van Bill Gates Dat gaat me toch een revolutie worden, die digitale snelweg.  De rijkste man ter wereld schreef er een boek over",1
45,"Serene onrust Serenity & Anxiety.  Onder dat alomvattende motto bracht het Holland Festival in 2009 veel goede voorstellingen uit Japan, India, Vietnam, Amerika, Zuid-Afrika, Frankrijk, Duitsland en uit Nederland",1
55,"Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hove’s bewerking van vijf histories van Shakespeare, Hendrik V, drie delen van Hendrik VI en Richard III, keert een half jaar na de première terug in Amsterdam.  De marathon (vier uur) gaat over de schijngestalten van leiderschap",1
62,"Een ‘beproeving’ noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen.  Merkel richt met deze benaming duidelijk geen ‘oorlogsverklaring’ aan IS, zoals François Hollande dat deed na de aanslagen in Parijs",1
70,Juist of niet juist Waarom moet je alles in de politiek kunnen uitleggen.  Als interviewer spreek ik met enige regelmaat politici,1
75,"Indonesische kinderen mogen niet buiten fietsen Jakarta - De cartoonheld op Abangs mosterdgele shirt staat strak gespannen om zijn buik en wanneer hij lacht, ontbloot hij zijn zwarte tandjes.  Hij is al vier, maar krijgt nog iedere nacht twee keer een fles poedermelk, lacht zijn moeder",1
81,Waarom ik gedaan heb wat ik heb gedaan is een zaak die niemand aangaat.  Het is mijn strikt persoonlijke verhaal,1
90,"‘mijn hart en mijn maag zitten in afrika, mijn verstand hier in nederland’ ‘DE EERSTE JAREN in Nederland zat ik nog met veel bitterheid en woede en behoefte aan wraak.  Het ironische is dat toen ik erover begon te schrijven de behoefte aan wraak verviel",1
100,"Een vierkant is een vierkant Geen schilderszwier, geen artistiek evenwicht.  Sol LeWitt toont dat ondoorgrondelijk abstract ook kan ontroeren",1
105,"Essay - Hoe de nieuwe media de waarheid ontwrichten door Katharine Viner door Ewald Engelen De consensus onder zelfbenoemde ‘kwaliteitsmedia’ is dat de uitdagers van de status-quo met hun leugens, hun minachting voor ‘feiten’, hun groffe politieke stijl en hun smakeloze retoriek hebben gebroken met de waarden van de Verlichting die het verschil tussen beschaafd en onbeschaafd, geschoold en ongeschoold, volwassen en pueriel, serieus en kolderiek, rationeel en emotioneel markeren.  En dus niet serieus hoeven te worden genomen",1
110,De stand van zaken vlak voor het Eerste-Kamerdebat over de nieuwe zorgwet «Hoogervorst toont zich arrogant» Het conflict tussen de huisartsen en minis ter Hoogervorst van Volksgezondheid gaat óók over het afgeven van privacy gegevens aan verzekeraars.  Een week voor het debat in de Eerste Kamer over de nieuwe Zorg verzekeringswet is het wantrouwen in de minister groter dan ooit,1
116,Rubriek TELEVISIE China Opvallend in de golf China-documentaires is dat vaker dan je zou denken mensen op straat voor de camera kritische geluiden laten horen; waar anderen boos over worden die dan een eind aan de opnamen proberen te maken.  Elke cameraploeg lijkt gevolgd met en door argusogen van de staat,1
120,Dichters & Denkers Marianne Vogel: Baard boven baard Heren en damesromans Docente Neerlandistiek Marianne Vogel betreurt in haar proefschrift de ongelijkwaardigheid van vrouwen en mannen in de Nederlandse literatuur.  Een stap verder op weg naar extreme politieke correctheid,1
135,"26 april 2000 Jaargang 124, Nr.  17 Ger Groot, 26 april 2000 Gijs Pothof, 26 april 2000 Paul Frentrop, 26 april 2000 Onderwijsgestapo De macht van de Onderwijsinspectie neemt weer toe",1
140,"‘Liever een luie lezer dan geen lezer’, liet hoogleraar moderne letterkunde Marita Mathijsen twee jaar geleden optekenen in de Volkskrant.  ‘Jongeren beleven geen plezier meer aan klassiekers uit de Nederlandse literatuur",1
