Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de <extra_id_0> om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn de mogelijkheden om deze politieke nieuwsbrief per mail te ontvangen.,['gemeenteraadsverkiezingen. Schrijf je in'],['mogelijkheden'],4,25.0,23,[0.825],0.82
seq1-0,base,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op <extra_id_0>,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op in.,['zoek naar antwoorden. Vandaag:'],['in.'],4,25.0,22,[0.9333333333333333],0.93
seq2-0,base,van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor <extra_id_0> deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor je deze (di-do-za) als nieuwsbrief te ontvangen.,['De Haagse Stemming om'],['je'],4,25.0,20,[0.9523809523809523],0.95
seq3-0,base,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> <extra_id_0> moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Naam: moordaanslag<BR> Plaats:,['Aantal gewonden: 0<BR> Methode:'],['Naam:'],4,25.0,20,[0.9032258064516129],0.9
seq4-0,base,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,Pieter Steinz heeft de spierziekte ALS <extra_id_0> verloop van zijn ziekte met de boeken die hij (her)leest. <extra_id_1>,Pieter Steinz heeft de spierziekte ALS Hij beschrijft het verloop van zijn ziekte met de boeken die hij (her)leest.,"['en verbindt het', 'Deze week:']","['Hij beschrijft het', '']",5,25.0,18,"[0.5555555555555556, 1.0]",0.78
seq5-0,base,"/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. <extra_id_0> use, <extra_id_1> without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. No use, including, without specific prior agreement The Picture Desk","['Not for cover', 'advertising or fictional works']","['No', 'including,']",7,25.0,17,"[0.8461538461538461, 0.8666666666666667]",0.86
seq6-0,base,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover <extra_id_0> uitsprak. Vandaag:,Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de krant uitsprak. Vandaag:,['de rechter zich onlangs'],['de krant'],4,25.0,16,[0.7391304347826086],0.74
seq7-0,base,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer <extra_id_0>,? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer informatie over:,['over reageren op NRC.nl.'],['over:'],4,25.0,15,[0.8333333333333334],0.83
seq8-0,base,dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren <extra_id_0> Schrijf je in om <extra_id_1> per mail te ontvangen.,dagen op het integriteitsonderzoek naar Wybren Schrijf je in om de resultaten per mail te ontvangen.,"['van Haga.', 'deze politieke nieuwsbrief']","['', 'de resultaten']",5,25.0,14,"[1.0, 0.7692307692307693]",0.88
seq9-0,base,Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,<extra_id_0> de kleine verhalen waar de <extra_id_1> gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,in de kleine verhalen waar de schrijver in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,"['Wat zijn', 'moderne mens in']","['in', 'schrijver in']",5,25.0,13,"[0.75, 0.6666666666666666]",0.71
