Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke <extra_id_0> opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,['van Zeil over'],[''],3,20,[1.0],1.0
seq1-0,base,"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben <extra_id_0> de rubriek Luie Luisteraar loodst Volkskrant.nl je elke <extra_id_1> nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke te zijn de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","['elkaar op. In', 'week door de']","['In', 'te zijn de']",6,19,"[0.8461538461538461, 0.5833333333333334]",0.71
seq2-0,base,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,<extra_id_0> Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,Vandaag: Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['| De Volkskrant'],['Vandaag:'],3,19,[0.8666666666666667],0.87
seq3-0,base,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door <extra_id_0> cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door (voor cabaretier) Jasper van Kuijk. Deze week:,['innovatie-expert (en'],['(voor'],2,18,[0.9],0.9
seq4-0,base,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert e Jasper van Kuijk. Deze week:,['(en cabaretier)'],['e'],2,18,[0.9333333333333333],0.93
seq5-0,base,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de <extra_id_0> aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de stelt aan de orde.,['Volkskrant die kwestie'],['stelt'],3,17,[0.8181818181818182],0.82
seq6-0,base,"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op <extra_id_0> week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op de week:",['een rijtje. Deze'],['de'],3,16,[0.9375],0.94
seq7-0,base,"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende <extra_id_0>","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende",['kunst. Deze week:'],[''],3,15,[1.0],1.0
seq8-0,base,"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor","Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse <extra_id_0> voor","Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse en voor",['alternatieven. Zoals'],['en'],2,15,[0.9],0.9
seq9-0,base,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, <extra_id_0> Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, deze week: Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:",['kok en illustrator'],['deze week:'],3,15,[0.8888888888888888],0.89
seq10-0,base,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> van Kuijk. Deze week:,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert e van Kuijk. Deze week:,['(en cabaretier) Jasper'],['e'],3,13,[0.9545454545454546],0.95
seq11-0,base,"- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag <extra_id_0> verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag een verrassend recept. Vandaag:",['in de Volkskrant een'],['een'],4,13,[0.85],0.85
seq12-0,base,"- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in <extra_id_0> recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de recept. Vandaag:",['de Volkskrant een verrassend'],['de'],4,13,[0.9285714285714286],0.93
seq13-0,base,Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in <extra_id_0> Deze week:,Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de het het het het het het het het het het het het het het het het het. Deze week:,['de beeldende kunst.'],['de het het het het het het het het het het het het het het het het het.'],3,13,[0.8591549295774648],0.86
seq14-0,base,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week een gerecht in de oven. Deze week:","Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week <extra_id_0> de oven. Deze week:","Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week in de oven. Deze week:",['een gerecht in'],['in'],3,13,[0.8571428571428571],0.86
seq15-0,base,"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van","Wat kwam er de laatste dagen weer voor moois bij in het <extra_id_0> kiezen hun favorieten, van","Wat kwam er de laatste dagen weer voor moois bij in het het kiezen hun favorieten, van",['cultuuraanbod? De Volkskrant-specialisten'],['het'],3,12,[0.9512195121951219],0.95
seq16-0,base,"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van","Wat kwam er de laatste <extra_id_0> moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van","Wat kwam er de laatste een moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van",['dagen weer voor'],['een'],3,12,[0.8666666666666667],0.87
seq17-0,base,Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en <extra_id_0> liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en het liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,['Sylvia Witteman hun'],['het'],3,12,[0.9473684210526315],0.95
seq18-0,base,e gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,e gefingeerd. Ook genterviewd worden over liefde en lust? <extra_id_0> korte toelichting naar lust@volkskrant.nl,e gefingeerd. Ook genterviewd worden over liefde en lust? Ook korte toelichting naar lust@volkskrant.nl,['Mail een'],['Ook'],2,12,[1.0],1.0
seq19-0,base,"juni terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","juni terug. Op de hoogte blijven? Ontvang <extra_id_0> abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","juni terug. Op de hoogte blijven? Ontvang t abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","['pushmeldingen via onze app,']",['t'],4,12,[1.0],1.0
seq20-0,base,"mei terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. <extra_id_0> Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.",['Op de hoogte blijven?'],[''],4,12,[1.0],1.0
seq21-0,base,"Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Berichten verspreiden zich razendsnel, of ze nu kloppen <extra_id_0> proberen de zin van de onzin te scheiden. Vandaag:","Berichten verspreiden zich razendsnel, of ze nu kloppen zich proberen de zin van de onzin te scheiden. Vandaag:",['of niet. Wij'],['zich'],3,12,[0.9166666666666666],0.92
