Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke <extra_id_0> opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke de opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,['van Zeil over'],['de'],3,20,[0.9230769230769231],0.92
seq1-0,large,"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben <extra_id_0> de rubriek Luie Luisteraar loodst Volkskrant.nl je elke <extra_id_1> nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","['elkaar op. In', 'week door de']","['In', 'week de']",6,19,"[0.8461538461538461, 0.4166666666666667]",0.63
seq2-0,large,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,<extra_id_0> Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,Vandaag: Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['| De Volkskrant'],['Vandaag:'],3,19,[0.8666666666666667],0.87
seq3-0,large,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door <extra_id_0> cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door (en cabaretier) Jasper van Kuijk. Deze week:,['innovatie-expert (en'],['(en'],2,18,[0.85],0.85
seq4-0,large,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert Dr. Jasper van Kuijk. Deze week:,['(en cabaretier)'],['Dr.'],2,18,[0.9333333333333333],0.93
seq5-0,large,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de <extra_id_0> aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de vrouw aan de orde.,['Volkskrant die kwestie'],['vrouw'],3,17,[0.9090909090909091],0.91
seq6-0,large,"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op <extra_id_0> week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op de week:",['een rijtje. Deze'],['de'],3,16,[0.9375],0.94
seq7-0,large,"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende <extra_id_0>","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunsten.",['kunst. Deze week:'],['kunsten.'],3,15,[0.6470588235294118],0.65
seq8-0,large,"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor","Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse <extra_id_0> voor","Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse en Spanische artikelen voor",['alternatieven. Zoals'],['en Spanische artikelen'],2,15,[0.8636363636363636],0.86
seq9-0,large,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, <extra_id_0> Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, en Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:",['kok en illustrator'],['en'],3,15,[0.8888888888888888],0.89
seq10-0,large,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> van Kuijk. Deze week:,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert Jan van Kuijk. Deze week:,['(en cabaretier) Jasper'],['Jan'],3,13,[0.9090909090909091],0.91
seq11-0,large,"- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag <extra_id_0> verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag hebben we verrassend recept. Vandaag:",['in de Volkskrant een'],['hebben we'],4,13,[0.8],0.8
seq12-0,large,"- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in <extra_id_0> recept. Vandaag:","- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de recept. Vandaag:",['de Volkskrant een verrassend'],['de'],4,13,[0.9285714285714286],0.93
seq13-0,large,Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in <extra_id_0> Deze week:,Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de hele week. Deze week:,['de beeldende kunst.'],['de hele week.'],3,13,[0.5263157894736842],0.53
seq14-0,large,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week een gerecht in de oven. Deze week:","Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week <extra_id_0> de oven. Deze week:","Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week een kok in de oven. Deze week:",['een gerecht in'],['een kok in'],3,13,[0.5],0.5
seq15-0,large,"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van","Wat kwam er de laatste dagen weer voor moois bij in het <extra_id_0> kiezen hun favorieten, van","Wat kwam er de laatste dagen weer voor moois bij in het te kiezen hun favorieten, van",['cultuuraanbod? De Volkskrant-specialisten'],['te'],3,12,[0.9512195121951219],0.95
seq16-0,large,"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van","Wat kwam er de laatste <extra_id_0> moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van","Wat kwam er de laatste en moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van",['dagen weer voor'],['en'],3,12,[0.8666666666666667],0.87
seq17-0,large,Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en <extra_id_0> liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en een liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,['Sylvia Witteman hun'],['een'],3,12,[0.8947368421052632],0.89
seq18-0,large,e gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,e gefingeerd. Ook genterviewd worden over liefde en lust? <extra_id_0> korte toelichting naar lust@volkskrant.nl,e gefingeerd. Ook genterviewd worden over liefde en lust? Neem de korte toelichting naar lust@volkskrant.nl,['Mail een'],['Neem de'],2,12,[0.75],0.75
seq19-0,large,"juni terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","juni terug. Op de hoogte blijven? Ontvang <extra_id_0> abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","juni terug. Op de hoogte blijven? Ontvang je een e-mail, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","['pushmeldingen via onze app,']","['je een e-mail,']",4,12,[0.7777777777777778],0.78
seq20-0,large,"mei terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. <extra_id_0> Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.",['Op de hoogte blijven?'],[''],4,12,[1.0],1.0
seq21-0,large,"Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Berichten verspreiden zich razendsnel, of ze nu kloppen <extra_id_0> proberen de zin van de onzin te scheiden. Vandaag:","Berichten verspreiden zich razendsnel, of ze nu kloppen en proberen de zin van de onzin te scheiden. Vandaag:",['of niet. Wij'],['en'],3,12,[0.9166666666666666],0.92
