Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de rubriek Aan de grens <extra_id_0> de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:",['bericht De Groene over'],4,24
In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe <extra_id_0> aan de hand van neologismen. Deze week:,['inzichten over Nederland'],3,17
 altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. Hier doet <extra_id_0> bevindingen en overwegingen bij de boeken die ze leest. Deze week:,['ze verslag van haar'],4,14
"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor <extra_id_0> te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider <extra_id_1> in <extra_id_2> hem opent De Groene daarom het nieuwe politieke jaar.","['politieke opwinding wist', 'stond steeds weer', 'het nieuws. Met']",9,12
Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft vanuit Washington over <extra_id_0> van Donald Trump. In aflevering,['het Amerika'],2,11
De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in <extra_id_0> cultuur van het nieuwe kunstseizoen. Tip,['het oog springende'],3,11
. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,<extra_id_0> podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,['. Onze'],2,10
Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. Hoe hield ze zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal <extra_id_0> zich staande onder het bewind van Ceauescu? Deel,['Roemeni. Hoe hield ze'],4,10
"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, want op <extra_id_0> de geschiedenis kun je niet meer blijven toekijken. Deze week:",['dit moment in'],3,9
De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren <extra_id_0> denkers over corona in de internationale pers. In aflevering,['en vertalen van'],3,9
