Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten <extra_id_0> van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen <extra_id_1> lijden.,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten negeren. De helft van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen gaan lijden.,"['drastisch beperkten. Vermindering', 'alleen maar meer laten']","['negeren. De helft', 'gaan']",7,20,1,"[0.7272727272727273, 0.8636363636363636]",0.8
seq1-0,large,Defensie voert de druk op om te dienen bij de krijgsmacht. Jongeren reageren verdeeld.,Defensie voert de druk op om te <extra_id_0> krijgsmacht. Jongeren reageren verdeeld.,Defensie voert de druk op om te werken aan een nieuwe krijgsmacht. Jongeren reageren verdeeld.,['dienen bij de'],['werken aan een nieuwe'],3,20,1,[0.6666666666666666],0.67
seq2-0,large,"Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.","Netbeheerder Tennet heeft met de aanleg van <extra_id_0> onomkeerbare schade aangebracht aan kwetsbare <extra_id_1> landgoed Twickel, concludeerde de provincie Overijssel donderdag.","Netbeheerder Tennet heeft met de aanleg van de kabel onomkeerbare schade aangebracht aan kwetsbare woningen op landgoed Twickel, concludeerde de provincie Overijssel donderdag.","['een stroomkabel mogelijk', 'natuur op']","['de kabel', 'woningen op']",5,20,1,"[0.7083333333333334, 0.6363636363636364]",0.67
seq3-0,large,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote luidsprekers bij de grens weer aan en zullen nieuwsuitzendingen en popmuziek de grens over schallen.,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In <extra_id_0> de grote luidsprekers bij de grens weer aan en <extra_id_1> popmuziek <extra_id_2> schallen.,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In Seoul gaan de grote luidsprekers bij de grens weer aan en gaat de popmuziek weer schallen.,"['reactie zet Zuid-Korea', 'zullen nieuwsuitzendingen en', 'de grens over']","['Seoul gaan', 'gaat de', 'weer']",9,20,1,"[0.9090909090909091, 0.8928571428571429, 0.7692307692307693]",0.86
seq4-0,large,"Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.",Voor de energietransitie zijn grote hoeveelheden <extra_id_0> nikkel. Planten kunnen <extra_id_1> Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.,Voor de energietransitie zijn grote hoeveelheden nodig van nikkel. Planten kunnen dat goed opnemen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.,"['metalen nodig', 'zoals', 'daarbij helpen.']","['nodig van', 'dat goed opnemen.']",5,20,1,"[0.9230769230769231, 0.9411764705882353]",0.93
seq5-0,large,De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,De eindexamens <extra_id_0> onderwijs zijn begonnen. De <extra_id_1> de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,De eindexamens voor het voortgezet onderwijs zijn begonnen. De Volkskrant doet hierover de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,"['in het voortgezet', 'Volkskrant doet']","['voor het voortgezet', 'Volkskrant doet hierover']",5,20,1,"[0.21052631578947367, 0.375]",0.29
seq6-0,large,"Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","Ik sta op zaterdagmiddag rond 13.00 uur <extra_id_0> de Amsterdamse Kalverstraat. Het moet een van <extra_id_1> van het land zijn, en ik kijk door de <extra_id_2> camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","Ik sta op zaterdagmiddag rond 13.00 uur in de Amsterdamse Kalverstraat. Het moet een van de donkerste dagen van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","['midden op', 'de drukste plekken', 'lens van de']","['in', 'de donkerste dagen', 'lens van de']",8,20,1,"[0.7777777777777778, 0.5, 0.0]",0.43
seq7-0,large,"Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","Carlos Alcaraz <extra_id_0> in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, <extra_id_1> 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","Carlos Alcaraz heeft in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 3-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","['heeft voor het eerst', '6-2', '7-5', '1-6,']","['heeft', '3-6,']",7,20,1,"[0.75, 0.75]",0.75
seq8-0,large,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten?,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend <extra_id_0> deze actie voor de ongeveer 120 <extra_id_1>,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Het is deze actie voor de ongeveer 120,"['hoog. Wat betekent', 'gijzelaars die nog vastzitten?']","['hoog. Het is', '']",7,20,1,"[0.5555555555555556, 1.0]",0.78
seq9-0,large,"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.","Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om <extra_id_0> zijn. En zo <extra_id_1> beetje door, totdat er onverwacht een lange zin volgt.","Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het een beetje door, totdat er onverwacht een lange zin volgt.","['trots op te', 'gaat het nog een']","['trots op te', 'gaat het een']",7,20,1,"[0.0, 0.25]",0.12
seq10-0,large,"En nog zijn PVV, VVD, NSC en BBB het niet eens over de verdeling van de ministersposten. Zo maken de vier partijen het het aanstaande kabinet wel heel lastig. Want als de nieuwe premier niet op de volgende Europese top van 27 juni verschijnt, staat hij al meteen 1-0 achter, schrijft politiek verslaggever Hans van Soest in dit commentaar.","En nog <extra_id_0> NSC en BBB het niet eens over de verdeling van de ministersposten. Zo maken de vier partijen het <extra_id_1> wel heel lastig. Want als de nieuwe premier niet op de volgende <extra_id_2> 27 juni verschijnt, staat hij <extra_id_3> achter, schrijft politiek verslaggever Hans van Soest in dit commentaar.","En nog zijn CDA, VVD, NSC en BBB het niet eens over de verdeling van de ministersposten. Zo maken de vier partijen het de nieuwe premier wel heel lastig. Want als de nieuwe premier niet op de volgende verkiezingsdag 27 juni verschijnt, staat hij er niet meer achter, schrijft politiek verslaggever Hans van Soest in dit commentaar.","['zijn PVV', 'VVD,', 'het aanstaande kabinet', 'Europese top van', 'al meteen 1-0']","['zijn CDA, VVD,', 'de nieuwe premier', 'verkiezingsdag', 'er niet meer']",12,20,1,"[0.5, 1.0, 0.8636363636363636, 0.8125]",0.79
seq11-0,large,Zon 22.000 kinderen worden jaarlijks voor korte of langere periode opgevangen door pleegouders. Een uitgebreide screening moet ervoor zorgen dat ze geschikt zijn om deze zorg te dragen. Hoe kon het in Vlaardingen dan toch zo misgaan?,Zon 22.000 kinderen worden jaarlijks voor korte of langere periode opgevangen door pleegouders. Een uitgebreide screening moet ervoor zorgen dat ze geschikt zijn om deze zorg te <extra_id_0> in <extra_id_1> zo misgaan?,Zon 22.000 kinderen worden jaarlijks voor korte of langere periode opgevangen door pleegouders. Een uitgebreide screening moet ervoor zorgen dat ze geschikt zijn om deze zorg te krijgen. Wat kan er in de praktijk zo misgaan?,"['dragen. Hoe kon het', 'Vlaardingen dan toch']","['krijgen. Wat kan er', 'de praktijk']",7,20,1,"[0.47368421052631576, 0.8]",0.64
seq12-0,large,"Garry Conille, nog geen twee weken geleden als tijdelijke premier van Hati aangesteld, is zaterdag in het ziekenhuis in Port-au-Prince opgenomen.","Garry Conille, nog geen twee weken geleden als tijdelijke premier van <extra_id_0> in het ziekenhuis in Port-au-Prince opgenomen.","Garry Conille, nog geen twee weken geleden als tijdelijke premier van de situatie ontslagen, in het ziekenhuis in Port-au-Prince opgenomen.","['Hati aangesteld', 'is zaterdag']","['de situatie ontslagen,']",4,20,1,[0.7727272727272727],0.77
seq13-0,large,Inbrekers hebben afgelopen nacht voor ongeveer een half miljoen euro aan juwelen buitgemaakt bij de luxe juwelier Bulgari in Rome.,Inbrekers hebben afgelopen nacht voor ongeveer <extra_id_0> aan juwelen buitgemaakt bij de luxe juwelier Bulgari in Rome.,Inbrekers hebben afgelopen nacht voor ongeveer 60.000 euro aan juwelen buitgemaakt bij de luxe juwelier Bulgari in Rome.,['een half miljoen euro'],['60.000 euro'],4,20,1,[0.7619047619047619],0.76
seq14-0,large,De van televisie bekende Henritte Momma is eind vorige maand op 90-jarige leeftijd overleden. Miljoenen Nederlanders leerden haar de afgelopen jaren kennen als de liefdevolle en zorgzame moeder van de autistische kunstenaar Kees Momma.,De van televisie bekende Henritte Momma is eind vorige maand op 90-jarige leeftijd <extra_id_0> haar de afgelopen jaren kennen als de liefdevolle en zorgzame moeder van <extra_id_1> Kees Momma.,De van televisie bekende Henritte Momma is eind vorige maand op 90-jarige leeftijd overleden. We leren haar de afgelopen jaren kennen als de liefdevolle en zorgzame moeder van haar zoon Kees Momma.,"['overleden. Miljoenen Nederlanders leerden', 'de autistische kunstenaar']","['overleden. We leren', 'haar zoon']",7,20,1,"[0.5609756097560976, 0.88]",0.72
seq15-0,large,"Naar aanleiding van de grote hoeveelheid pfas in eieren rond de fabriek van Chemours in Dordrecht, start het RIVM een nieuw onderzoek. Het rijksinstituut wil weten of nog meer eieren van hobbykippen schadelijke hoeveelheden van de chemische stoffen bevatten.","Naar aanleiding van de grote hoeveelheid pfas in eieren rond de fabriek van Chemours in Dordrecht, start het RIVM een nieuw onderzoek. Het <extra_id_0> of nog meer <extra_id_1> hobbykippen schadelijke hoeveelheden <extra_id_2> stoffen bevatten.","Naar aanleiding van de grote hoeveelheid pfas in eieren rond de fabriek van Chemours in Dordrecht, start het RIVM een nieuw onderzoek. Het onderzoek moet uitwijzen of nog meer eieren van hobbykippen schadelijke hoeveelheden van deze stoffen bevatten.","['rijksinstituut wil weten', 'eieren van', 'van de chemische']","['onderzoek moet uitwijzen', 'eieren van', 'van deze']",8,20,1,"[0.7916666666666666, 0.0, 0.5625]",0.45
seq16-0,large,Voor deze rubriek sturen lezers fotos in van hun ouders. Deze keer stuurde Peter Boomsma (1960) een door F.C.D. Popken gemaakte foto in van zijn ouders Hennie Boomsma-Wieten (1932-1999) en Jelle Boomsma (1927-2010).,Voor deze rubriek sturen lezers fotos in van hun ouders. Deze keer stuurde Peter Boomsma (1960) <extra_id_0> Popken gemaakte foto in van zijn <extra_id_1> en Jelle Boomsma (1927-2010).,Voor deze rubriek sturen lezers fotos in van hun ouders. Deze keer stuurde Peter Boomsma (1960) een door Popken gemaakte foto in van zijn ouders Peter en Jelle Boomsma (1927-2010).,"['een door F.C.D.', 'ouders Hennie Boomsma-Wieten (1932-1999)']","['een door', 'ouders Peter']",7,20,1,"[0.4666666666666667, 0.75]",0.61
seq17-0,large,De Luxemburgse Vicky Krieps is een van de meest gewilde actrices van Europa. Ze is gespecialiseerd in personages die alleen hun blik hebben en zo mannen een spiegel voorhouden.,De Luxemburgse Vicky Krieps is <extra_id_0> meest <extra_id_1> Europa. Ze is gespecialiseerd in personages die alleen hun blik hebben en zo mannen een spiegel voorhouden.,De Luxemburgse Vicky Krieps is de meest bekende spiegelmodel van Europa. Ze is gespecialiseerd in personages die alleen hun blik hebben en zo mannen een spiegel voorhouden.,"['een van de', 'gewilde actrices van']","['de', 'bekende spiegelmodel van']",6,20,1,"[0.8, 0.625]",0.71
seq18-0,large,"Het Nederlandse poststelsel moet op de schop omdat PostNL wettelijke normen structureel niet haalt, volgens de minister.","Het Nederlandse poststelsel moet op de schop omdat <extra_id_0> structureel niet haalt, volgens de minister.","Het Nederlandse poststelsel moet op de schop omdat het de deadlines structureel niet haalt, volgens de minister.",['PostNL wettelijke normen'],['het de deadlines'],3,20,1,[0.75],0.75
seq19-0,large,Is dit fascisme? Het is de vraag die telkens terugkomt. Baudets opmerking over homeopathische verdunning: is dit fascisme? De bestorming van het Capitool: is dit fascisme? Poetins strijd tegen -lhbti-activisten: is dit fascisme?,Is <extra_id_0> is de vraag die telkens terugkomt. Baudets opmerking over homeopathische verdunning: is dit fascisme? De bestorming van <extra_id_1> fascisme? Poetins strijd tegen -lhbti-activisten: is dit fascisme?,Is dit fascisme? Dat is de vraag die telkens terugkomt. Baudets opmerking over homeopathische verdunning: is dit fascisme? De bestorming van de universiteit: is dit fascisme? Poetins strijd tegen -lhbti-activisten: is dit fascisme?,"['dit fascisme? Het', 'het Capitool: is dit']","['dit fascisme? Dat', 'de universiteit: is dit']",7,20,1,"[0.11764705882352941, 0.5217391304347826]",0.32
seq20-0,large,"China plant een golf aan nieuwe ruimtemissies naar planetoden. Voor de wetenschap en om grondstoffen te winnen. Maar hoe leg je daar aan? Met borende pootjes, lassos of toch weer een harpoen?",China plant een golf aan nieuwe ruimtemissies naar planetoden. Voor de wetenschap en <extra_id_0> winnen. Maar hoe leg je daar aan? Met borende <extra_id_1> toch weer een harpoen?,China plant een golf aan nieuwe ruimtemissies naar planetoden. Voor de wetenschap en voor de mensen die ermee winnen. Maar hoe leg je daar aan? Met borende messen of toch weer een harpoen?,"['om grondstoffen te', 'pootjes', 'lassos of']","['voor de mensen die ermee', 'messen of']",6,20,1,"[0.7916666666666666, 1.0]",0.9
seq21-0,large,Vier grote zonnepanelenbedrijven van Booking.com-miljonair Kees Koolen zijn failliet. Dat heeft grote gevolgen voor duizenden klanten. Hoe heeft dit kunnen gebeuren?,Vier grote zonnepanelenbedrijven van Booking.com-miljonair Kees Koolen zijn <extra_id_0> gevolgen voor duizenden klanten. Hoe heeft dit kunnen gebeuren?,Vier grote zonnepanelenbedrijven van Booking.com-miljonair Kees Koolen zijn failliet met gevolgen voor duizenden klanten. Hoe heeft dit kunnen gebeuren?,['failliet. Dat heeft grote'],['failliet met'],4,20,1,[0.56],0.56
seq22-0,large,"Door het eindeloos lange premierschap van Mark Rutte zaten tekenaars jarenlang aan de politicus vast. Wat hebben zij over Rutte als tekenobject te zeggen, nu hij bijna vertrekt? Vooruitstekende kin, spleetoogjes: je zet hem relatief makkelijk neer.","Door het eindeloos lange premierschap van Mark Rutte zaten tekenaars jarenlang aan de politicus vast. Wat hebben zij <extra_id_0> te zeggen, nu hij bijna vertrekt? Vooruitstekende kin, <extra_id_1> hem relatief makkelijk neer.","Door het eindeloos lange premierschap van Mark Rutte zaten tekenaars jarenlang aan de politicus vast. Wat hebben zij nu te zeggen, nu hij bijna vertrekt? Vooruitstekende kin, zet hem relatief makkelijk neer.","['over Rutte als tekenobject', 'spleetoogjes: je zet']","['nu', 'zet']",7,20,1,"[0.9615384615384616, 0.85]",0.91
seq23-0,large,"Voor zijn kinderboekje over klimaatverandering kreeg lector Kees Klomp de Over Hoop Prijs. Scholen knnen het niet weghouden bij kinderen, het onderwerp is overal.","Voor zijn kinderboekje over klimaatverandering kreeg lector Kees Klomp <extra_id_0> Prijs. <extra_id_1> het niet weghouden bij kinderen, het onderwerp is overal.","Voor zijn kinderboekje over klimaatverandering kreeg lector Kees Klomp de Prix Hugo de Prijs. Je kunt het niet weghouden bij kinderen, het onderwerp is overal.","['de Over Hoop', 'Scholen knnen']","['de Prix Hugo de', 'Je kunt']",5,20,1,"[0.6, 0.6923076923076923]",0.65
seq24-0,large,PSV heeft als verrassing vrijdag voor de ingang van het Philips Stadion een bronzen beeld onthuld om de jarenlange samenwerking met Guus Meeuwis passend af te sluiten. Volgende week begint de zanger aan zijn laatste reeks Groots-concerten.,PSV heeft als verrassing vrijdag voor de ingang van het Philips Stadion een bronzen beeld onthuld om de jarenlange samenwerking met Guus Meeuwis passend af te <extra_id_0> de zanger aan <extra_id_1> Groots-concerten.,PSV heeft als verrassing vrijdag voor de ingang van het Philips Stadion een bronzen beeld onthuld om de jarenlange samenwerking met Guus Meeuwis passend af te sluiten. De Eindhovenaren hebben de zanger aan het hoofd van de tribune gewijd voor de Groots-concerten.,"['sluiten. Volgende week begint', 'zijn laatste reeks']","['sluiten. De Eindhovenaren hebben', 'het hoofd van de tribune gewijd voor de']",7,20,1,"[0.53125, 0.8461538461538461]",0.69
seq25-0,large,In 2015 was het onmogelijk dat Barack Obama de hand van William Ruto zou schudden. Op zoek naar nieuwe partners in Afrika maken de Amerikanen de president van Kenia nu het hof.,In 2015 was het onmogelijk dat Barack Obama de hand van William Ruto zou schudden. Op <extra_id_0> partners in Afrika maken de Amerikanen <extra_id_1> Kenia nu het hof.,In 2015 was het onmogelijk dat Barack Obama de hand van William Ruto zou schudden. Op zoek naar partners in Afrika maken de Amerikanen in Kenia nu het hof.,"['zoek naar nieuwe', 'de president van']","['zoek naar', 'in']",6,20,1,"[0.4375, 0.875]",0.66
seq26-0,large,Ilya Sutskever vertrekt bij OpenAI. De mede-oprichter was lange tijd het geweten van het AI-bedrijf. Vorig jaar stond hij lijnrecht tegenover topman Sam Altman. Sutskevers afscheid overschaduwt alle opwinding over de nieuwe superchatbot van OpenAI.,<extra_id_0> bij OpenAI. De mede-oprichter was lange tijd het geweten van het AI-bedrijf. Vorig jaar stond hij lijnrecht tegenover topman <extra_id_1> overschaduwt alle opwinding over de nieuwe superchatbot van OpenAI.,zaken bij OpenAI. De mede-oprichter was lange tijd het geweten van het AI-bedrijf. Vorig jaar stond hij lijnrecht tegenover topman Andy Rubin. Dat overschaduwt alle opwinding over de nieuwe superchatbot van OpenAI.,"['Ilya Sutskever vertrekt', 'Sam Altman. Sutskevers afscheid']","['zaken', 'Andy Rubin. Dat']",7,20,1,"[0.8695652173913043, 0.8709677419354839]",0.87
seq27-0,large,"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.","Het hoofdlijnenakkoord van het kabinet-in-wording begint met <extra_id_0> een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een <extra_id_1>","Het hoofdlijnenakkoord van het kabinet-in-wording begint met Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een einde aankomt.","['een gedicht. Nederland is', 'lange zin volgt.']","['Nederland is', 'aankomt.']",7,20,1,"[0.52, 0.6875]",0.6
seq28-0,large,"Stoelen, banken, pallets, fietsen  de barricades die zijn opgeworpen door de demonstranten die het universiteitsgebouw in de Amsterdamse binnenstad hebben bezet, blijken weinig partij voor de ME.","Stoelen, banken, pallets, fietsen de barricades die zijn opgeworpen door de demonstranten die het <extra_id_0> Amsterdamse binnenstad hebben bezet, blijken weinig partij <extra_id_1> ME.","Stoelen, banken, pallets, fietsen de barricades die zijn opgeworpen door de demonstranten die het centrum van de Amsterdamse binnenstad hebben bezet, blijken weinig partij te zijn van het ME.","['universiteitsgebouw in de', 'voor de']","['centrum van de', 'te zijn van het']",5,20,1,"[0.72, 0.8666666666666667]",0.79
seq29-0,large,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De <extra_id_0> een vaste volgorde, groot bij groot, soort bij soort, sok bij <extra_id_1> kleur.","Was aan de lijn is een levend kunstwerk. De stoffen staan in een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","['was heeft', 'sok', 'kleur bij']","['stoffen staan in', 'sok, kleur bij']",5,20,1,"[0.875, 0.7857142857142857]",0.83
seq30-0,large,In 2015 was het onmogelijk dat Barack Obama de hand van William Ruto zou schudden.,In 2015 was het <extra_id_0> Obama de hand van William Ruto zou schudden.,In 2015 was het mogelijk dat Obama de hand van William Ruto zou schudden.,['onmogelijk dat Barack'],['mogelijk dat'],3,20,1,[0.42857142857142855],0.43
