Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg),Title
seq0-0,small,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.,Miljoenen Afghanen <extra_id_0> armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal <extra_id_1> die we <extra_id_2> alleen maar meer laten lijden.,Miljoenen Afghanen leiden tot armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal de rechten die we moeten alleen maar meer laten lijden.,"['leven onder de', 'dezelfde Afghaanse vrouwen', 'hopen te steunen']","['leiden tot', 'de rechten', 'moeten']",9,25,1,"[0.7142857142857143, 0.7692307692307693, 0.6875]",0.72,ad
seq1-0,small,Defensie voert de druk op om te dienen bij de krijgsmacht. Jongeren reageren verdeeld.,Defensie voert de druk <extra_id_0> bij de krijgsmacht. Jongeren reageren verdeeld.,Defensie voert de druk op bij de krijgsmacht. Jongeren reageren verdeeld.,['op om te dienen'],['op'],4,25,1,[0.8666666666666667],0.87,ad
seq2-0,small,"Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.","Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk <extra_id_0> aan kwetsbare natuur op landgoed Twickel, <extra_id_1> Overijssel donderdag.","Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk toegang aan kwetsbare natuur op landgoed Twickel, in Overijssel donderdag.","['onomkeerbare schade aangebracht', 'concludeerde de provincie']","['toegang', 'in']",6,25,1,"[0.8387096774193549, 0.92]",0.88,ad
seq3-0,small,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote luidsprekers bij de grens weer aan en zullen nieuwsuitzendingen en popmuziek de grens over schallen.,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden <extra_id_0> gevonden. <extra_id_1> Zuid-Korea de grote luidsprekers bij <extra_id_2> aan <extra_id_3> en popmuziek de grens over schallen.,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden nieuwe locaties gevonden. In Zuid-Korea de grote luidsprekers bij aan de muur waar muziek en popmuziek de grens over schallen.,"['zondagochtend tientallen ballonnen', 'In reactie zet', 'de grens weer', 'en zullen nieuwsuitzendingen']","['nieuwe locaties', 'In', '', 'de muur waar muziek']",12,25,1,"[0.8235294117647058, 0.8571428571428571, 1.0, 0.75]",0.86,ad
seq4-0,small,"Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.","Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten <extra_id_0> uit <extra_id_1>","Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten planten uit","['ontdekt die zulke metalen', 'de grond opnemen.']","['planten', '']",7,25,1,"[0.84, 1.0]",0.92,ad
seq5-0,small,De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,De eindexamens in het <extra_id_0> begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten <extra_id_1> zich over het vwo-examen geschiedenis.,De eindexamens in het vwo-examen zijn begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten vertelt zich over het vwo-examen geschiedenis.,"['voortgezet onderwijs zijn', 'van Rossem buigt']","['vwo-examen zijn', 'vertelt']",6,25,1,"[0.64, 0.8125]",0.73,ad
seq6-0,small,"Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse <extra_id_0> een van de drukste plekken van het land zijn, en ik kijk door de lens <extra_id_1> een professional, die allerlei <extra_id_2> toveren.","Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse die een van de drukste plekken van het land zijn, en ik kijk door de lens van een professional, die allerlei zaken toveren.","['Kalverstraat. Het moet', 'van de camera van', 'lenzen tevoorschijn kan']","['die', 'van', 'zaken']",10,25,1,"[0.9545454545454546, 0.8235294117647058, 0.8695652173913043]",0.88,ad
seq7-0,small,"Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won <extra_id_0> (3-6, 6-2, 7-5, 1-6, 2-6) <extra_id_1> en <extra_id_2> ongeslagen reeks in finales door.","Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de eerste (3-6, 6-2, 7-5, 1-6, 2-6) van de Roland Garros en gaat de ongeslagen reeks in finales door.","['de bloedstollende vijfsetter', 'van Alexander Zverev', 'trok daarmee de']","['de eerste', 'van de Roland Garros', 'gaat de']",9,25,1,"[0.7142857142857143, 0.65, 0.6666666666666666]",0.68,ad
seq8-0,small,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten?,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars <extra_id_0> prijs aan Palestijnse zijde is echter ongekend <extra_id_1> deze actie voor de ongeveer 120 gijzelaars die <extra_id_2>,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te winnen. De prijs aan Palestijnse zijde is echter ongekend Deze week is deze actie voor de ongeveer 120 gijzelaars die,"['te bevrijden. De', 'hoog. Wat betekent', 'nog vastzitten?']","['te winnen. De', 'Deze week is', '']",8,25,1,"[0.375, 0.7777777777777778, 1.0]",0.72,ad
seq9-0,small,"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.",Het hoofdlijnenakkoord van het <extra_id_0> een gedicht. <extra_id_1> prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje <extra_id_2> onverwacht een lange zin volgt.,Het hoofdlijnenakkoord van het verhaal is een gedicht. Een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje Als het onverwacht een lange zin volgt.,"['kabinet-in-wording begint met', 'Nederland is een', 'door', 'totdat er']","['verhaal is', 'Een', 'Als het']",9,25,1,"[0.8620689655172413, 0.875, 1.0]",0.91,ad
