Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
dagen zijn de gemeenteraadsverkiezingen. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,dagen zijn <extra_id_0> Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,['de gemeenteraadsverkiezingen.'],2,23
Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag <extra_id_0> naar antwoorden. Vandaag:,['op zoek'],2,22
van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als nieuwsbrief te ontvangen.,van de formatie. Schrijf je in voor De Haagse Stemming om deze (di-do-za) als <extra_id_0>,['nieuwsbrief te ontvangen.'],3,20
<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: 1<BR> Aantal gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,<BR> Land: Thailand<BR> Opgeist door: Niet opgeist<BR> Aantal doden: <extra_id_0> gewonden: 0<BR> Methode: moordaanslag<BR> Plaats:,['1<BR> Aantal'],2,20
Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met de boeken die hij (her)leest. Deze week:,Pieter Steinz heeft de spierziekte ALS en verbindt het verloop van zijn ziekte met <extra_id_0> hij (her)leest. Deze week:,['de boeken die'],3,18
"/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover use, advertising or fictional works without specific prior agreement The Picture Desk","/ The Kobal Collection ] Editorial use only related to cinema, television and personalities. Not for cover <extra_id_0> works without specific prior agreement The Picture Desk","['use, advertising or fictional']",4,17
Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,Deze rubriek belicht elke <extra_id_0> uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,['dinsdag kwesties'],2,16
? Onderaan dit artikel kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,? <extra_id_0> kunnen abonnees op die vraag reageren. Hier vind je meer over reageren op NRC.nl.,['Onderaan dit artikel'],3,15
dagen op het integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,<extra_id_0> integriteitsonderzoek naar Wybren van Haga. Schrijf je in om deze politieke nieuwsbrief per mail te ontvangen.,['dagen op het'],3,14
Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon moderne mythe. Vandaag:,Wat zijn de kleine verhalen waar de moderne mens in gelooft? Wekelijks vertelt Arjen van Veelen zon <extra_id_0>,['moderne mythe. Vandaag:'],3,13
"dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor de nieuwsbrief, ontvangt deze nog vroeger.","dagen zijn er Tweede Kamerverkiezingen. De <extra_id_0> elke ochtend op de hoogte van de campagne. Wie zich inschrijft voor de nieuwsbrief, ontvangt deze nog vroeger.",['Haagse Stemming houdt je'],4,13
. Olga Zuiderhoek en Peter Faber spelen spelletjes in een geraffineerde dialoog van Paul Haenen vol cabaret-effecten en moderne relatiepraat.,. Olga Zuiderhoek en Peter Faber spelen spelletjes in een geraffineerde dialoog van Paul Haenen <extra_id_0> moderne relatiepraat.,['vol cabaret-effecten en'],3,13
"Photo- & Copyrights  PICS UNITED P.O. Box 1235 - 5602 BE EINDHOVEN (THE NETHERLANDS) Phone +31 (0)40 296 28 00 Fax +31 (0) 40 248 47 43 http://www.pics-united.com e-mail : info@pics-united.com (If you would like to raise any issues regarding any aspects of products / service of PICS UNITED) or e-mail : sales@pics-united.com ATTENTIE: Publicatie ook bij aanbieding door derden is slechts toegestaan na verkregen toestemming van Pics United. VOLLEDIGE NAAMSVERMELDING IS VERPLICHT! ( PICS UNITED/Naam Fotograaf, zie veld 4 van de bestandsinfo 'credits') ATTENTION:  Pics United. Reproduction/publication of this photo by any parties is only permitted after authorisation is sought and obtained from PICS UNITED- THE NETHERLANDS The image is copyright to PICS UNITED or its associate photographers. Full name must be printed with the photo! ( PICS UNITED/Name Photographer, see field 4 of the File Info, 'credits"") You may not publish, reproduce on either an electronic bulletin board, corporate intranet or the Internet, licence, sell or otherwise distribute the image(s) without a Licence to do so from PICS UNITED. PICS UNITED","Photo- <extra_id_0> UNITED P.O. Box 1235 - 5602 BE EINDHOVEN (THE NETHERLANDS) Phone +31 (0)40 296 28 00 Fax +31 (0) 40 248 47 43 http://www.pics-united.com <extra_id_1> (If you would like to raise any issues regarding any aspects of products / service of PICS UNITED) or e-mail : sales@pics-united.com <extra_id_2> bij aanbieding door derden is slechts toegestaan na verkregen toestemming van Pics United. VOLLEDIGE NAAMSVERMELDING IS VERPLICHT! ( PICS UNITED/Naam Fotograaf, zie veld 4 van <extra_id_3> Pics United. Reproduction/publication of this photo by any <extra_id_4> permitted after authorisation is sought and obtained from <extra_id_5> NETHERLANDS The image is <extra_id_6> UNITED or its associate photographers. Full name must be printed with the photo! ( PICS UNITED/Name Photographer, see field 4 of the File Info, 'credits"") You may not publish, reproduce on either an electronic bulletin board, corporate intranet or the Internet, licence, sell or otherwise distribute the image(s) without <extra_id_7> so from PICS UNITED. PICS UNITED","['& Copyrights PICS', 'e-mail : info@pics-united.com', 'ATTENTIE: Publicatie ook', ""de bestandsinfo 'credits') ATTENTION:"", 'parties is only', 'PICS UNITED- THE', 'copyright to PICS', 'a Licence to do']",26,12
. Ben jij ook op zoek naar een baan en wil je jezelf graag pitchen? Of heb jij misschien de ideale baan voor,. Ben jij ook op zoek naar een baan en wil je jezelf graag pitchen? Of heb jij misschien <extra_id_0> voor,['de ideale baan'],3,12
. Vrolijke revue met de grootste hits van Irving Berlin in een lichtvoetig biografisch kader en Jon van Eerd als bezienswaardig middelpunt.,. Vrolijke revue met de grootste <extra_id_0> Berlin in een lichtvoetig biografisch kader en Jon van Eerd als bezienswaardig middelpunt.,['hits van Irving'],3,11
dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke dag op de hoogte van de campagne. Inschrijven voor de nieuwsbrief kan ook.,dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke dag op de hoogte van <extra_id_0> de nieuwsbrief kan ook.,['de campagne. Inschrijven voor'],4,11
". Pijnlijke grappen in het rookkamertje van een ziekenhuis, door Rik Hoogendoorn en Bruun Kuijt (Echte Mannen).",. Pijnlijke grappen in het rookkamertje van een <extra_id_0> Hoogendoorn en Bruun Kuijt (Echte Mannen).,"['ziekenhuis, door Rik']",3,11
". Vera Mann schittert in een eenpersoonsmusical over de verongelukte prinses, al hadden de liedjes puntiger gekund.",". Vera Mann schittert in een eenpersoonsmusical <extra_id_0> prinses, al hadden de liedjes puntiger gekund.",['over de verongelukte'],3,11
"van de Olympische Spelen, net als op alle andere wedstrijddagen, een live fotoblog bij waarin we de mooiste foto's uit Londen selecteren.","van de Olympische Spelen, net als op alle andere wedstrijddagen, een live fotoblog bij waarin <extra_id_0> foto's uit Londen selecteren.",['we de mooiste'],3,11
- NRC Kunst op reis Waar leefden kunstenaars? Op reis naar de plekken waar zij hun stempel drukten. Deze week,- NRC Kunst <extra_id_0> leefden kunstenaars? Op reis naar de plekken waar zij hun stempel drukten. Deze week,['op reis Waar'],3,11
Deze rubriek belicht elke woensdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Deze week:,Deze rubriek belicht elke woensdag <extra_id_0> bedrijfsleven waarover de rechter zich onlangs uitsprak. Deze week:,['kwesties uit het'],3,11
. Dat blijkt uit cijfers die het Centraal Bureau voor de Statistiek (CBS) vandaag heeft gepubliceerd.,. Dat <extra_id_0> cijfers die het Centraal Bureau voor de Statistiek (CBS) vandaag heeft gepubliceerd.,['blijkt uit'],2,10
"De hele maand mei woont en werkt Arnon Grunberg in het Stedelijk Museum Amsterdam, met een groep kunstenaars. Hij schrijft daar dagelijks over.","De hele <extra_id_0> en werkt Arnon Grunberg in het Stedelijk Museum Amsterdam, met een groep kunstenaars. Hij schrijft daar dagelijks over.",['maand mei woont'],3,10
"Pieter Steinz heeft ALS, een zeldzame neurologische ziekte waarbij je in toenemend tempo verlamd raakt. In deze serie verbindt hij het verloop van zijn ziekte met de boeken die hij (her)leest. Vandaag:","Pieter Steinz heeft ALS, een <extra_id_0> je in toenemend tempo verlamd raakt. In deze serie verbindt hij het verloop van zijn ziekte met de boeken die hij (her)leest. Vandaag:",['zeldzame neurologische ziekte waarbij'],5,10
Redacteur Merlijn Kerkhof (28) laat iedere dinsdag zien wat de schoonheid van klassieke muziek is. Vandaag:,Redacteur Merlijn Kerkhof (28) laat iedere dinsdag zien wat de schoonheid van klassieke <extra_id_0> Vandaag:,['muziek is.'],2,10
Tijdens de zomermaanden gaat de Achterpagina op zoek naar zinnige en onzinnige vakantiefabels. Vandaag:,Tijdens de zomermaanden gaat de Achterpagina op zoek <extra_id_0> en onzinnige vakantiefabels. Vandaag:,['naar zinnige'],2,10
". Justin Sullivan/Getty Images/AFP == FOR NEWSPAPERS, INTERNET, TELCOS & TELEVISION USE ONLY == AFP",". Justin Sullivan/Getty Images/AFP == FOR NEWSPAPERS, INTERNET, TELCOS & TELEVISION <extra_id_0> == AFP",['USE ONLY'],2,10
dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke ochtend op de hoogte van de campagne. Inschrijven voor de nieuwsbrief kan ook.,dagen zijn er Tweede Kamerverkiezingen. De Haagse Stemming houdt je elke ochtend op de hoogte van de campagne. Inschrijven voor de <extra_id_0>,['nieuwsbrief kan ook.'],4,10
1. e2-e4 c7-c5 2. Pg1-f3 Pb8-c6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 d7-d6 6. Lc1-g5 e7-e6 7. Dd1-d2,1. e2-e4 c7-c5 2. Pg1-f3 Pb8-c6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. <extra_id_0> Lc1-g5 e7-e6 7. Dd1-d2,['Pb1-c3 d7-d6 6.'],3,10
". Indrukwekkend spelende Anne-Wil Blankers tiranniseert haar zeven dochters in grimmig, erotisch geladen drama van het Nationale Toneel.",". Indrukwekkend spelende Anne-Wil Blankers tiranniseert haar zeven dochters in grimmig, <extra_id_0> van het Nationale Toneel.",['erotisch geladen drama'],3,10
". Hans Liberg verbindt muziek uit alle tijden en windstreken aan een spervuur van grappen, en speelt ook op verzoek.",". Hans Liberg verbindt muziek uit alle <extra_id_0> aan een spervuur van grappen, en speelt ook op verzoek.",['tijden en windstreken'],3,10
- NRC De laatste bladzijde In deze rubriek elk weekeinde een necrologie van iemand die recent is overleden.,- NRC De laatste bladzijde In deze rubriek elk weekeinde een necrologie van <extra_id_0> is overleden.,['iemand die recent'],3,10
". Die ene leraar die je interesse wekte, de eerste baas die je de kneepjes van het vak bijbracht of de wijsgeer die je inspireerde met zijn boeken. Elke carrire kent wel zon leermeester (m/v). Voor",". Die ene leraar die je interesse wekte, de eerste baas die je de kneepjes van het vak bijbracht of de wijsgeer <extra_id_0> zijn boeken. Elke carrire kent wel zon leermeester (m/v). Voor",['die je inspireerde met'],5,10
". Veelzijdige cabaret-solo van Lenette van Dongen over de keus tussen vrije expressie en de dwang van de discipline, trefzeker opgedist in confrences, verhalen en liedjes.",". Veelzijdige cabaret-solo van Lenette van Dongen over de keus tussen vrije expressie en de dwang van <extra_id_0> in confrences, verhalen en liedjes.","['de discipline, trefzeker opgedist']",4,10
