Unnamed: 0,Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg),Title
0.0,seq0-0,small,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 <extra_id_0> het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 om het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten ze het publiek actief meedoen,['Vijf kunstenaars hopen'],['om'],3,15.0,1,[0.9545454545454546],0.95,nrc
1.0,seq1-0,small,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op <extra_id_0> nemen een duik in de vennetjes en kinderen leren fietsen op de rechte <extra_id_1> doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de velden, kinderen nemen een duik in de vennetjes en kinderen leren fietsen op de rechte weg. De Oude Warande doorkruisen","['de grasvelden', 'honden', 'paden die het park']","['de velden, kinderen', 'weg. De Oude Warande']",7,15.0,1,"[0.6842105263157895, 0.85]",0.77,nrc
2.0,seq2-0,small,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de <extra_id_0> luchthaven <extra_id_1> Het","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de Duitse luchthaven te vinden. Het","['veiligheid van de', 'te testen.']","['Duitse', 'te vinden.']",5,15.0,1,"[0.8823529411764706, 0.4]",0.64,nrc
3.0,seq3-0,small,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische <extra_id_0> de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische regering de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,['president Poetin gisteren aangekondigd'],['regering'],4,15.0,1,[0.8157894736842105],0.82,nrc
4.0,seq4-0,small,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto <extra_id_0> is de laatst getroffen stad in een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_1> steden,Helft van de daders aanslagen heeft crimineel verleden Foto Reuters De stad is de laatst getroffen stad in een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien terroristische steden,"['Emilio Morenatti/AP Barcelona', 'aanslagen in Europese']","['Reuters De stad', 'terroristische']",6,15.0,1,"[0.8620689655172413, 0.9047619047619048]",0.88,nrc
5.0,seq5-0,small,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband <extra_id_0> en publiceerde op internet veelvuldig kritisch over de islam. Dat <extra_id_1>,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband met de islam en publiceerde op internet veelvuldig kritisch over de islam. Dat is...,"['gebracht met rechtsextremisme', 'melden Noorse media']","['met de islam', 'is...']",6,15.0,1,"[0.7586206896551724, 0.9473684210526315]",0.85,nrc
6.0,seq6-0,small,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den <extra_id_0> gisteravond op weg naar het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank <extra_id_1> lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank van de politie lag en overleed daar,"['Haag is', 'van de politieauto']","['Haag is', 'van de politie']",5,15.0,1,"[0.0, 0.2222222222222222]",0.11,nrc
7.0,seq7-0,small,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende <extra_id_0> auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet leiden tot een inhaalslag,Zelfrijdende voertuigen in de auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet leiden tot een inhaalslag,['autos De Duitse'],['voertuigen in de'],3,15.0,1,[0.875],0.88,nrc
8.0,seq8-0,small,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf <extra_id_0> verwacht dat de nieuwe <extra_id_1> en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener verwacht dat de nieuwe zenders The Walking Dead en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","['Wegener Arcade', 'televisiezenders TV10 Gold']","['Wegener', 'zenders The Walking Dead']",5,15.0,1,"[0.5, 0.8076923076923077]",0.65,nrc
9.0,seq9-0,small,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde",Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n <extra_id_0> blijkt uit de inzendingen voor de essayprijs- vraag die deze <extra_id_1> de Stichting Sociale Zekerheid 2001 organiseerde,Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n anders. Dit blijkt uit de inzendingen voor de essayprijs- vraag die deze week de Stichting Sociale Zekerheid 2001 organiseerde,"['figuurlijk', 'zo', 'krant samen met']","['anders. Dit', 'week']",5,15.0,1,"[1.0, 1.0]",1.0,nrc
