Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als <extra_id_0> Wieteke van Zeil over opmerkelijke <extra_id_1> de beeldende kunst. Deze week:,"['je het doorhebt.*', 'en veelbetekenende bijzaken in']",7,30.0,20
"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen <extra_id_0> bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie <extra_id_1> je elke week door de nieuwste releases <extra_id_2> drie platen <extra_id_3> mag missen. Deze week:","['de nieuwe', 'Luisteraar loodst Volkskrant.nl', 'en selecteert de', 'die je niet']",11,30.0,19
| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,| De Volkskrant Wat <extra_id_0> eten vanavond? Iedere dag in de Volkskrant een verrassend <extra_id_1>,"['zullen we eens', 'recept. Vandaag:']",5,30.0,19
Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper <extra_id_0>,['van Kuijk. Deze week:'],4,30.0,18
Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in <extra_id_0> door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,['het hedendaags ontwerp gefileerd'],4,30.0,18
Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw <extra_id_0> een reeks interviews stelt de Volkskrant die <extra_id_1> orde.,"['te zijn? In', 'kwestie aan de']",6,30.0,17
"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","Volkskrant.nl zet elke zondag de leukste, <extra_id_0> informatieve apps voor <extra_id_1> een rijtje. Deze week:","['handigste en meest', 'u op']",5,30.0,16
"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:",Wekelijks nemen de cultuurspecialisten <extra_id_0> stelling in de wereld <extra_id_1> theater of beeldende kunst. Deze week:,"['van de Volkskrant', 'van film, muziek,']",6,30.0,15
"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor","Ook zon hekel aan onnodig Engels? <extra_id_0> bruikbare, Nederlandse alternatieven. Zoals voor",['Help ons dan aan'],4,30.0,15
"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een <extra_id_0> restjes op <extra_id_1> week:","['recept om de', 'te maken. Deze']",6,30.0,15
| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,| De Volkskrant <extra_id_0> hedendaags ontwerp <extra_id_1> (en cabaretier) Jasper van Kuijk. Deze week:,"['Denkfouten in', 'gefileerd door innovatie-expert']",5,30.0,13
"- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","- Koken & Eten - Voor nieuws, <extra_id_0> Wat zullen we eens eten vanavond? <extra_id_1> de <extra_id_2> verrassend recept. Vandaag:","['achtergronden en columns', 'Iedere dag in', 'Volkskrant een']",8,30.0,13
"- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:",<extra_id_0> & Eten - <extra_id_1> en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de Volkskrant een <extra_id_2>,"['- Koken', 'Voor nieuws, achtergronden', 'verrassend recept. Vandaag:']",8,30.0,13
Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je ziet het pas goed van dichtbij. Wieteke van Zeil <extra_id_0> veelbetekenende bijzaken <extra_id_1> kunst. Deze week:,"['over opmerkelijke en', 'in de beeldende']",6,30.0,13
"Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week een gerecht in de oven. Deze week:","Kookboekenmaker, kok en illustrator Yvette van <extra_id_0> elke week een gerecht <extra_id_1> Deze week:","['Boven maakt', 'in de oven.']",5,30.0,13
"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van",Wat kwam er de laatste dagen weer <extra_id_0> in het cultuuraanbod? De Volkskrant-specialisten kiezen <extra_id_1>,"['voor moois bij', 'hun favorieten, van']",6,30.0,12
"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van",Wat kwam er de laatste dagen weer voor moois bij in <extra_id_0> V-specialisten kiezen <extra_id_1>,"['het cultuuraanbod? De', 'hun favorieten, van']",6,30.0,12
Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en <extra_id_0> liefde voor Nederlandse woorden die je niet vaak genoeg <extra_id_1> week:,"['Sylvia Witteman hun', 'meer hoort. Deze']",6,30.0,12
e gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,e <extra_id_0> over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,['gefingeerd. Ook genterviewd worden'],4,30.0,12
"juni terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","juni terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze <extra_id_0> lees <extra_id_1> virus <extra_id_2>","['nieuwsbrieven, en', 'alles over het', 'in dit dossier.']",8,30.0,12
"mei terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je <extra_id_0> en lees alles <extra_id_1> in <extra_id_2>","['op onze nieuwsbrieven,', 'over het virus', 'dit dossier.']",8,30.0,12
