Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. <extra_id_0> ze het <extra_id_1>,"['Bijna allemaal laten', 'publiek actief meedoen']",6,30.0,1
"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude <extra_id_0> dagen wordt <extra_id_1> een park net buiten Tilburg, <extra_id_2> Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren <extra_id_3> rechte paden <extra_id_4> park doorkruisen","['Warande Op zonnige', 'de Oude Warande,', 'overspoeld door dagjesmensen.', 'fietsen op de', 'die het']",14,30.0,1
"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was <extra_id_0> dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was <extra_id_1> om de veiligheid van <extra_id_2> testen. Het","['veiligheidstest Een verdacht pakketje', 'een nepbom bedoeld', 'de luchthaven te']",10,30.0,1
Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag <extra_id_0> bezoek komen . Tot ontsteltenis van Isral <extra_id_1> president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen <extra_id_2> Moskou,"['in Rusland op', 'heeft de Russische', 'voor besprekingen in']",9,30.0,1
Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de <extra_id_0> crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een <extra_id_1> Sympathisanten <extra_id_2> pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_3> steden,"['daders aanslagen heeft', 'reeks terroristische aanslagen.', 'van Islamtische Staat', 'aanslagen in Europese']",12,30.0,1
De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft <extra_id_0> met de schietpartij en bomaanslag in Noorwegen <extra_id_1> gebracht met rechtsextremisme <extra_id_2> op internet veelvuldig <extra_id_3> islam. Dat melden Noorse media,"['opgepakt in verband', 'wordt in verband', 'en publiceerde', 'kritisch over de']",11,30.0,1
Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau <extra_id_0> werd onwel terwijl hij geboeid op <extra_id_1> de politieauto <extra_id_2> daar,"['overleden. De man', 'de achterbank van', 'lag en overleed']",9,30.0,1
Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de <extra_id_0> sector. Samenwerking <extra_id_1> een inhaalslag,"['omwentelingen in de', 'moet leiden tot']",6,30.0,1
"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de <extra_id_0> en The Music Factory dit jaar nog niet zullen <extra_id_1> resultaten <extra_id_2>","['nieuwe televisiezenders TV10 Gold', 'bijdragen aan de', 'van het concern']",10,30.0,1
"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de <extra_id_0> deze krant <extra_id_1> Sociale <extra_id_2>","['essayprijs- vraag die', 'samen met de Stichting', 'Zekerheid 2001 organiseerde']",10,30.0,1
"De Achterpagina bezoekt bijzondere kleedkamers.  Vandaag het mooiste voetbalstadion van Nederland, De Kuip in Rotterdam, thuishaven van Feyenoord","De Achterpagina bezoekt bijzondere kleedkamers. <extra_id_0> mooiste voetbalstadion van Nederland, De <extra_id_1> thuishaven van Feyenoord","['Vandaag het', 'Kuip in Rotterdam,']",5,30.0,1
Van koffie tot herone Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot herone: in drie minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij.  Het begint braaf in de Verenigde Staten: in 1912 klaagt de Amerikaanse overheid Coca Cola aan voor het toevoegen van cafene aan hun dranken,Van <extra_id_0> Screenshot '100 Years Of Drugs In America: From Coffee To Heroin' Van koffie tot <extra_id_1> minuten zet dit filmpje de verslavingen van Amerikanen in de afgelopen 100 jaar op een rij. Het <extra_id_2> de <extra_id_3> 1912 klaagt de Amerikaanse overheid Coca Cola aan <extra_id_4> van cafene <extra_id_5>,"['koffie tot herone', 'herone: in drie', 'begint braaf in', 'Verenigde Staten: in', 'voor het toevoegen', 'aan hun dranken']",18,30.0,1
"Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans.  Immers, je cyclus bepaalt niet wie je bent","Identiteit Laat biologie niet je identiteit bepalen, schrijft Sophie Rutenfrans. <extra_id_0> bepaalt <extra_id_1> je bent","['Immers, je cyclus', 'niet wie']",5,30.0,1
"Een paar weken geleden, op n van de eerste zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets.  Vertrekkend vanaf het waterfietsstation tegenover het Amricain, passeerden wij de duiven die onder de brug bij de Leidsegracht zaten te broeden","Een paar weken geleden, op n <extra_id_0> zomerdagen, maakten mijn dochter en ik een tochtje door de stad op een waterfiets. Vertrekkend vanaf het <extra_id_1> Amricain, passeerden wij de duiven die <extra_id_2> de Leidsegracht <extra_id_3>","['van de eerste', 'waterfietsstation tegenover het', 'onder de brug bij', 'zaten te broeden']",13,30.0,1
KPN laat Duitse markt schieten KPN verdient miljarden met de verkoop van het Duitse dochterbedrijf E-Plus.  De koper Telefnica moet de strijd nu aangaan met grote Duitse concurrenten,KPN <extra_id_0> schieten KPN verdient <extra_id_1> de verkoop <extra_id_2> dochterbedrijf E-Plus. De koper Telefnica moet de strijd nu aangaan met grote Duitse concurrenten,"['laat Duitse markt', 'miljarden met', 'van het Duitse']",8,30.0,1
Opnieuw strijd om Eksit  al is de poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek Eksit van journalist Kees Vermeer.  De Sex Pistols op 14 december 1977 tijdens een historisch en volledig uitverkocht optreden in Eksit,Opnieuw strijd om Eksit <extra_id_0> poptempel al 34 jaar dicht Over het fameuze Rotterdamse jongerencentrum (1970-1981) is een historiografische controverse ontbrand door het boek <extra_id_1> Kees Vermeer. De Sex Pistols op 14 december <extra_id_2> een <extra_id_3> uitverkocht <extra_id_4>,"['al is de', 'Eksit van journalist', '1977 tijdens', 'historisch en volledig', 'optreden in Eksit']",14,30.0,1
Aidsvoorlichting voor vrachtwagenchauffeurs; Verhalenbundel van allochtone schrijvers Het land in mij.  Nieuwe verhalen van jonge schrijvers op de grens van twee werelden,Aidsvoorlichting <extra_id_0> allochtone schrijvers Het land in mij. <extra_id_1> jonge schrijvers op de grens van twee werelden,"['voor vrachtwagenchauffeurs; Verhalenbundel van', 'Nieuwe verhalen van']",7,30.0,1
"Een paar dagen nadat de dappere Amerikanen Spencer Stone, Anthony Sadler en Alek Skarlatos, en de Brit Chris Norman in de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon trein die op het Centraal Station op het punt stond te vertrekken.  Worden de passagiers daar nu ook elektronisch bekeken, jasje uittrekken, broekriem afdoen, poortje door, laptop openen, enz","Een paar dagen nadat de dappere Amerikanen Spencer Stone, Anthony <extra_id_0> Skarlatos, en de Brit <extra_id_1> de Thalys naar Parijs een zwaar bewapende terreurboef hadden bedwongen, verschenen er op de televisie beelden van zon <extra_id_2> het <extra_id_3> het punt stond te vertrekken. Worden de passagiers daar nu ook <extra_id_4> jasje uittrekken, <extra_id_5> door, <extra_id_6>","['Sadler en Alek', 'Chris Norman in', 'trein die op', 'Centraal Station op', 'elektronisch bekeken,', 'broekriem afdoen, poortje', 'laptop openen, enz']",20,30.0,1
Zware gevechten PKK en Turkse leger in N-Irak Rebellen van de Koerdische Arbeiderspartij PKK en het Turkse leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak.  De PKK zegt zaterdag een Turkse gevechtshelikopter te hebben neergeschoten bij de Iraaks-Turkse grens,Zware gevechten PKK en Turkse leger in N-Irak Rebellen <extra_id_0> Arbeiderspartij PKK <extra_id_1> leger hebben afgelopen weekeinde zware gevechten geleverd in Noord-Irak. De PKK zegt zaterdag een Turkse gevechtshelikopter <extra_id_2> bij <extra_id_3>,"['van de Koerdische', 'en het Turkse', 'te hebben neergeschoten', 'de Iraaks-Turkse grens']",12,30.0,1
"Chiracs economisch beleid loopt steeds verder vast PARIJS, 5 NOV.  De Franse president Chirac hoorde gisteren aan de Rivira welwillend het pleidooi van de Spaanse premier Aznar aan om mee te kunnen doen met de eerste ploeg landen die in 1999 de Economische en Monetaire Unie binnengaat","Chiracs <extra_id_0> steeds verder vast PARIJS, 5 NOV. De Franse president Chirac hoorde gisteren aan de <extra_id_1> pleidooi <extra_id_2> premier <extra_id_3> mee te <extra_id_4> met de eerste ploeg landen die in 1999 de Economische en Monetaire Unie binnengaat","['economisch beleid loopt', 'Rivira welwillend het', 'van de Spaanse', 'Aznar aan om', 'kunnen doen']",14,30.0,1
"Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken een zeer offensief elftal in het veld.  In de spits keert Nederlands duurste voetballer aller tijden, Jerrel Hasselbaink, terug",Oranje kiest voor aanval tegen Denen Bondscoach Frank Rijkaard brengt vanavond in de oefeninterland tegen Denemarken <extra_id_0> elftal in het veld. <extra_id_1> keert Nederlands duurste voetballer aller <extra_id_2>,"['een zeer offensief', 'In de spits', 'tijden, Jerrel Hasselbaink, terug']",10,30.0,1
"Stayer De Jong toont vormbehoud tijdens gedevalueerde strijd GRONINGEN, 12 FEBR.  Rintje Ritsma, Gianni Romme en Bob de Jong zijn afgelopen weekeinde in Groningen op de NK afstanden kampioen op respectievelijk de 1","Stayer De Jong toont vormbehoud tijdens gedevalueerde <extra_id_0> FEBR. Rintje Ritsma, Gianni Romme en Bob <extra_id_1> weekeinde in Groningen <extra_id_2> afstanden kampioen op respectievelijk de 1","['strijd GRONINGEN, 12', 'de Jong zijn afgelopen', 'op de NK']",10,30.0,1
Zomaar een nieuwsbericht van deze maand: Hillary Clinton bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op de Amerikaanse ambassade in Benghazi in 2011.  Een commissie eiste de openbaarmaking van die mails,Zomaar een nieuwsbericht van deze <extra_id_0> bleek een priv-adres te hebben gebruikt voor e-mails over onder andere de aanval op de <extra_id_1> Benghazi <extra_id_2> Een <extra_id_3> openbaarmaking van die mails,"['maand: Hillary Clinton', 'Amerikaanse ambassade in', 'in 2011.', 'commissie eiste de']",11,30.0,1
"Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds heeft een nieuwe vijand: marginalisering.  In de sterk veranderde wereldeconomie moet het IMF op zoek naar een nieuwe rol, nu minder landen een beroep doen op het fonds",Lener van laatste instantie zoekt nieuwe rol Het Internationaal Monetair Fonds <extra_id_0> vijand: marginalisering. In de sterk veranderde <extra_id_1> IMF op zoek naar een nieuwe <extra_id_2> landen <extra_id_3> op het fonds,"['heeft een nieuwe', 'wereldeconomie moet het', 'rol, nu minder', 'een beroep doen']",12,30.0,1
"Zuid-Korea beschuldigt noorden van moorden SEOUL, 9 OKT.  Het Zuidkoreaanse ministerie van Defensie heeft Noord-Korea beschuldigd verantwoordelijk te zijn voor de dood van drie mensen in een oostelijk berggebied in het land","Zuid-Korea <extra_id_0> moorden SEOUL, 9 OKT. Het <extra_id_1> Defensie heeft Noord-Korea beschuldigd verantwoordelijk <extra_id_2> dood van drie mensen in een oostelijk berggebied in het land","['beschuldigt noorden van', 'Zuidkoreaanse ministerie van', 'te zijn voor de']",10,30.0,1
"Vroeger werd gedacht dat onze hersenen vooral rijpen voor de geboorte en in de eerste levensmaanden.  Maar niets is minder waar, zegt ontwikkelingspsycholoog dr","Vroeger werd <extra_id_0> vooral rijpen <extra_id_1> en in de eerste levensmaanden. Maar niets is minder waar, zegt ontwikkelingspsycholoog dr","['gedacht dat onze hersenen', 'voor de geboorte']",7,30.0,1
Britse luchtmachtpiloot overlijdt na crash bij vliegshow Hulpverleningsauto's waren vanmiddag op weg naar de plek van de crash bij Bournemouth.  Foto AP ,Britse luchtmachtpiloot overlijdt na crash bij <extra_id_0> vanmiddag op weg naar <extra_id_1> crash bij Bournemouth. Foto AP,"[""vliegshow Hulpverleningsauto's waren"", 'de plek van de']",7,30.0,1
"Socialer kabinet, maar niet radicaal Het nieuwe kabinet wil veel gaan verspijkeren in de staatshuishouding.  Met veel aandacht voor oude wijken, zorg en onderwijs","Socialer kabinet, <extra_id_0> Het <extra_id_1> gaan verspijkeren in de staatshuishouding. Met veel aandacht voor oude wijken, zorg en onderwijs","['maar niet radicaal', 'nieuwe kabinet wil veel']",7,30.0,1
Forum Barcelona voor vrede etcetera Het zomerfestival Forum 2004 in Barcelona moet een cultureel spektakel worden.  Maar stadspromotie en stadsontwikkeling overheersen,Forum Barcelona voor vrede etcetera Het zomerfestival Forum 2004 in Barcelona moet een <extra_id_0> Maar <extra_id_1> overheersen,"['cultureel spektakel worden.', 'stadspromotie en stadsontwikkeling']",6,30.0,1
"Schikking is dankbare munitie De Nederlandse justitie heeft haar onderzoek naar Ahold afgesloten.  Het juridische gevecht wordt scherper, de afstand tussen ex-bestuurders en bedrijf groter","Schikking is dankbare munitie De Nederlandse <extra_id_0> onderzoek naar Ahold afgesloten. <extra_id_1> wordt scherper, de afstand tussen <extra_id_2> bedrijf groter","['justitie heeft haar', 'Het juridische gevecht', 'ex-bestuurders en']",8,30.0,1
"Nu valt het wel mee met de uniformiteit van die sleetse parade.  Het recentste jaarboek is zelfs een kleine revolutie, want voor het eerst is het nieuwe traditionalisme, dat Nederland heeft overspoeld, sterk vertegenwoordigd","<extra_id_0> wel mee met de uniformiteit van die sleetse parade. Het recentste jaarboek <extra_id_1> kleine revolutie, want voor het eerst is het nieuwe traditionalisme, dat <extra_id_2> vertegenwoordigd","['Nu valt het', 'is zelfs een', 'Nederland heeft overspoeld, sterk']",10,30.0,1
"Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, 19 AUG.  De middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is van plan een eigen uitvoeringsinstelling (uvi) voor werknemersverenigingen op te richten","Verzekeraar ASR wil uitvoeringsinstelling ROTTERDAM, <extra_id_0> middelgrote verzekeraar ASR (voorheen Stad Rotterdam) is van plan een eigen uitvoeringsinstelling <extra_id_1> werknemersverenigingen <extra_id_2>","['19 AUG. De', '(uvi) voor', 'op te richten']",8,30.0,1
Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran.  Isral en de VS zeggen al langer dat Teheran zich niet aan de afspraken van het atoomakkoord houdt,Internationale waarnemers hebben op een nieuwe locatie uraniumdeeltjes aangetroffen in Iran. Isral en de VS <extra_id_0> dat Teheran <extra_id_1> de <extra_id_2> atoomakkoord houdt,"['zeggen al langer', 'zich niet aan', 'afspraken van het']",9,30.0,1
"Uitglijder OM-topman in mediahype Harm Brouwer, de baas van het openbaar ministerie, deed in een tv-interview curieuze uitspraken.  Daar komt hij van terug: Ik ben eerlijk en zeg ronduit: de fout lag bij mij","Uitglijder OM-topman in mediahype Harm Brouwer, de baas van het openbaar <extra_id_0> tv-interview curieuze uitspraken. Daar <extra_id_1> terug: Ik ben <extra_id_2> ronduit: de fout lag bij mij","['ministerie, deed in een', 'komt hij van', 'eerlijk en zeg']",10,30.0,1
