Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad <extra_id_0> cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad Deze website gebruikt cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,['FD.nl maakt gebruik van'],['Deze website gebruikt'],4,20,28,[0.6086956521739131],0.61
seq1-0,xl,) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt <extra_id_0> (11233),) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12187) Handel (11233),['(12921) EU (11642) Jaarverslag'],['(12187) Handel'],4,20,18,[0.7],0.7
seq2-0,xl,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) <extra_id_0> (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) Economie (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['Internationale economie (27514) Multinationals'],['Economie'],4,20,14,[0.8478260869565217],0.85
seq3-0,xl,) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers <extra_id_0> (11791) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13652) Economie (11791) Jaarverslag (11240),['(13486) Arbeidsmarkt (12979) EU'],['(13652) Economie'],4,20,13,[0.8064516129032258],0.81
seq4-0,xl,) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen <extra_id_0> Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (15083) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['(16522) Aandelen (14591) Verenigde'],['(15083) Verenigde'],4,20,11,[0.5882352941176471],0.59
seq5-0,xl, In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn <extra_id_0> Deze week:,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar leven. Deze week:,['of haar loopbaan.'],['of haar leven.'],3,20,11,[0.35294117647058826],0.35
seq6-0,xl,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale economie <extra_id_0> (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale economie (6631) Economie (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),['(27514) Multinationals (18118) Investeringen'],['(6631) Economie'],4,20,10,[0.8181818181818182],0.82
seq7-0,xl,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In <extra_id_0> wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In de rubriek 'De keuze' vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,['De Vonk vertelt'],"[""de rubriek 'De keuze' vertelt""]",3,20,8,[0.6206896551724138],0.62
seq8-0,xl,) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) <extra_id_0> EU (11889) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Duitsland (12924) EU (11889) Jaarverslag (11247),['Omzetcijfers (13595) Arbeidsmarkt (13011)'],['Duitsland (12924)'],4,20,8,[0.8292682926829268],0.83
seq9-0,xl,) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen <extra_id_0> Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (16000) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),['(14707) Verenigde Staten (13862)'],['(16000)'],4,20,8,[0.875],0.88
seq10-0,xl,en | Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,en | Het Financieele <extra_id_0> maakt <extra_id_1> om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,en | Het Financieele Dagblad | Disclaimer | Privacybeleid | Disclaimer | Deze website maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,"['Dagblad FD.nl', 'gebruik van cookies']","['Dagblad | Disclaimer | Privacybeleid | Disclaimer | Deze website', 'gebruik van cookies']",5,20,8,"[0.84375, 0.0]",0.42
seq11-0,xl,) FD Persoonlijk (1) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) FD Persoonlijk (1) Internationale economie (27514) Multinationals (18103) Investeringen <extra_id_0> (14436) Verenigde <extra_id_1> (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) FD Persoonlijk (1) Internationale economie (27514) Multinationals (18103) Investeringen (16002) Duitsland (14436) Verenigde Staten (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),"['(16375) Aandelen', 'Staten (13850) Omzetcijfers']","['(16002) Duitsland', 'Staten']",5,20,8,"[0.5882352941176471, 0.7777777777777778]",0.68
seq12-0,xl,Welk gesprek zette je aan het denken of in beweging? In de serie Het gesprek van je leven deze keer,Welk gesprek zette je aan het denken of in beweging? In de <extra_id_0> je leven deze keer,Welk gesprek zette je aan het denken of in beweging? In de spiegel van je leven deze keer,['serie Het gesprek van'],['spiegel van'],4,20,7,[0.5714285714285714],0.57
seq13-0,xl,) Internationale economie (27514) Multinationals (18114) Investeringen (16493) Aandelen (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),) Internationale <extra_id_0> Investeringen (16493) Aandelen (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),) Internationale Handel (17173) Investeringen (16493) Aandelen (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),['economie (27514) Multinationals (18114)'],['Handel (17173)'],4,20,7,[0.7948717948717948],0.79
