Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke <extra_id_0> opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke van Dorth over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,['van Zeil over'],['van Dorth over'],3,15,20,[0.35714285714285715],0.36
seq1-0,xl,"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben <extra_id_0> de rubriek Luie Luisteraar loodst Volkskrant.nl je elke <extra_id_1> nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week langs de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","['elkaar op. In', 'week door de']","['In', 'week langs de']",6,15,19,"[0.8461538461538461, 0.38461538461538464]",0.62
seq2-0,xl,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,<extra_id_0> Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['| De Volkskrant'],[''],3,15,19,[1.0],1.0
seq3-0,xl,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door <extra_id_0> cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door (de cabaretier) Jasper van Kuijk. Deze week:,['innovatie-expert (en'],['(de'],2,15,18,[0.95],0.95
seq4-0,xl,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert en innovatie-adviseur Jasper van Kuijk. Deze week:,['(en cabaretier)'],['en innovatie-adviseur'],2,15,18,[0.7142857142857143],0.71
seq5-0,xl,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de <extra_id_0> aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de auteur deze vragen aan de orde.,['Volkskrant die kwestie'],['auteur deze vragen'],3,15,17,[0.8181818181818182],0.82
seq6-0,xl,"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op <extra_id_0> week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:",['een rijtje. Deze'],['een rijtje. Deze'],3,15,16,[0.0],0.0
seq7-0,xl,"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende <extra_id_0>","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Lees meer",['kunst. Deze week:'],['meer'],3,15,15,[0.8823529411764706],0.88
seq8-0,xl,"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor","Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse <extra_id_0> voor","Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse vertalingen voor",['alternatieven. Zoals'],['vertalingen'],2,15,15,[0.7],0.7
seq9-0,xl,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, <extra_id_0> Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, auteur en schrijver Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:",['kok en illustrator'],['auteur en schrijver'],3,15,15,[0.8421052631578947],0.84
