Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,Vier boeken zoeken antwoorden Over de toekomst van welk land gn de verkiezingen eigenlijk.  Vier boeken zoeken het antwoord,Vier boeken zoeken antwoorden Over de toekomst van welk land gn de verkiezingen eigenlijk. Vier <extra_id_0> antwoord,Vier boeken zoeken antwoorden Over de toekomst van welk land gn de verkiezingen eigenlijk. Vier boeken zoeken antwoord,['boeken zoeken het'],['boeken zoeken'],3,15,1,[0.23529411764705882],0.24
seq1-0,xl,"Populisten in Zweden beschuldigen sociaal-democraten van racisme  onterecht volgens historici De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben.  Historici maken gehakt van de claims","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht volgens historici De extreem-rechtse Zweden Democraten, <extra_id_0> stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben. Historici maken gehakt <extra_id_1>","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht volgens historici De extreem-rechtse Zweden Democraten, de nieuwe partij van de regering, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben. Historici maken gehakt van...","['beschuldigd van racisme,', 'van de claims']","['de nieuwe partij van de regering,', 'van...']",6,15,1,"[0.7272727272727273, 0.7692307692307693]",0.75
seq2-0,xl,Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met snelle en gratis busritten van Leiden naar Den Haag.  De provincie is vol goede moed; de passagier 'moet het nog zien',Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland <extra_id_0> met snelle en gratis busritten van <extra_id_1> Den Haag. De provincie is vol goede moed; de passagier 'moet het nog zien',Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland gaat vanaf maandag aan de slag met snelle en gratis busritten van Den Haag. De provincie is vol goede moed; de passagier 'moet het nog zien',"['experimenteert een jaar', 'Leiden naar']","['gaat vanaf maandag aan de slag', '']",5,15,1,"[0.8333333333333334, 1.0]",0.92
seq3-0,xl,"Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven.  Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag de Dienst Terugkeer en Vertrek de kerk niet in, is het idee","Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven. Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag <extra_id_0> en Vertrek de kerk niet in, <extra_id_1>","Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven. Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag Vertrek en Vertrek de kerk niet in, meldt de politie.","['de Dienst Terugkeer', 'is het idee']","['Vertrek', 'politie.']",6,15,1,"[0.7894736842105263, 0.7272727272727273]",0.76
seq4-0,xl,"bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het stikstofbeleid van het kabinet.  Op het Malieveld zijn ze deze keer niet welkom, op het naastgelegen park Koekamp wel","bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het stikstofbeleid van het kabinet. Op het Malieveld zijn <extra_id_0> niet welkom, op het naastgelegen <extra_id_1>","bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het stikstofbeleid van het kabinet. Op het Malieveld zijn ze niet welkom, op het naastgelegen plein wel. De boeren...","['ze deze keer', 'park Koekamp wel']","['ze', 'boeren...']",6,15,1,"[0.8333333333333334, 0.875]",0.85
seq5-0,xl,"Smartfoto's De beste camera, zeggen fotografen, is de camera die je bij je hebt.  En dat is steeds vaker een iPhone",Smartfoto's De beste <extra_id_0> is de camera die je bij je hebt. En dat is steeds vaker een iPhone,Smartfoto's De beste camera voor selfies is de camera die je bij je hebt. En dat is steeds vaker een iPhone,"['camera', 'zeggen fotografen,']",['camera voor selfies'],3,15,1,[0.6842105263157895],0.68
seq6-0,xl,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan verbetering.  We willen de verbouwing combineren met energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit <extra_id_0> aan verbetering. We willen de verbouwing combineren met energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit Eindhoven doet dringend nood aan verbetering. We willen de verbouwing combineren met energiebesparende maatregelen,['1978 is toe'],['Eindhoven doet dringend nood'],3,15,1,[0.8571428571428571],0.86
seq7-0,xl,"Maffia zet rabbijn in Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als een man van wie je vermoedt dat hij een huurmoordenaar is, in Las Vegas tegen je zegt dat 'we een stukje gaan rijden', dan weet je wel hoe laat het is.  En inderdaad, na een paar onnavolgbare dialogen is het zover, waarna de hitman tevreden kan constateren dat 'de menselijke schedel de allerbeste geluidsdemper is'","Maffia zet rabbijn in Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als een man van wie je vermoedt dat hij een huurmoordenaar is, in Las Vegas tegen je zegt dat 'we een stukje gaan rijden', dan weet je wel hoe laat het is. En inderdaad, na een paar <extra_id_0> het zover, waarna de hitman tevreden kan <extra_id_1> menselijke <extra_id_2> is'","Maffia zet rabbijn in Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als een man van wie je vermoedt dat hij een huurmoordenaar is, in Las Vegas tegen je zegt dat 'we een stukje gaan rijden', dan weet je wel hoe laat het is. En inderdaad, na een paar uur is het zover, waarna de hitman tevreden kan zeggen dat 'het menselijke lichaam dood is'","['onnavolgbare dialogen is', '""constateren dat \'de""', 'schedel de allerbeste geluidsdemper']","['uur is', ""zeggen dat 'het"", 'lichaam dood']",10,15,1,"[0.8333333333333334, 0.5714285714285714, 0.8857142857142857]",0.76
seq8-0,xl,"Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over domme vragen, vrouwelijke wetenschappers die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek.  Michail Saltykov-Sjtsjedrin Pegasus,  21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar weinig in het Nederlands vertaald","Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over domme vragen, vrouwelijke wetenschappers die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek. Michail Saltykov-Sjtsjedrin Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin <extra_id_0> dusver maar <extra_id_1> vertaald","Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over domme vragen, vrouwelijke wetenschappers die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek. Michail Saltykov-Sjtsjedrin Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin zijn tot dusver maar liefst acht boeken vertaald","['(1826-1889) was tot', 'weinig in het Nederlands']","['zijn tot', 'liefst acht boeken']",7,15,1,"[0.7894736842105263, 0.75]",0.77
seq9-0,xl,"Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, 100 meter (m) De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden","Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, <extra_id_0> Jamaicaan beloofde al dat er geschiedenis geschreven zal worden","Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, marathon, marathon, marathons, marathons, marathons De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden",['100 meter (m) De'],"['marathon, marathon, marathons, marathons, marathons De']",4,15,1,[0.8333333333333334],0.83
seq10-0,xl,"Tijdens het snoeien van de tuin komt dr.  Alzheimer op bezoek Toine Heijmans 17 augustus 2018, 15:00 De vader van Toine Heijmans in Frankrijk, 1983","Tijdens het snoeien van de tuin komt dr. Alzheimer op bezoek Toine Heijmans 17 augustus 2018, <extra_id_0> Toine Heijmans in Frankrijk, 1983","Tijdens het snoeien van de tuin komt dr. Alzheimer op bezoek Toine Heijmans 17 augustus 2018, 0:00 Toine Heijmans in Frankrijk, 1983",['15:00 De vader van'],['0:00'],4,15,1,[0.8333333333333334],0.83
seq11-0,xl,"Vooruit: een voor allen, en allen voor een Het uitstellen van besluiten is een hogere kunst in het Midden-Oosten.  Leven met het mes op de keel is een alledaags gevoel voor Isralis, Palestijnen en andere buurtbewoners","Vooruit: een voor <extra_id_0> voor een Het uitstellen van besluiten is een hogere kunst in het Midden-Oosten. Leven met het mes op de <extra_id_1> een alledaags gevoel voor Isralis, Palestijnen en andere buurtbewoners","Vooruit: een voor voor een Het uitstellen van besluiten is een hogere kunst in het Midden-Oosten. Leven met het mes op de keel is een alledaags gevoel voor Isralis, Palestijnen en andere buurtbewoners","['allen', 'en allen', 'keel is']","['', 'keel is']",5,15,1,"[1.0, 0.875]",0.94
seq12-0,xl,"Oud-Kamervoorzitter Brazili 15 jaar cel in voor corruptie De voormalige Kamervoorzitter van Brazili, Eduardo Cunha, is donderdag schuldig bevonden aan corruptie en veroordeeld tot een gevangenisstraf van ruim vijftien jaar.  Cunha, die in september uit zijn ambt werd gezet, speelde een sleutelrol in het gedwongen vertrek van president Dilma Rousseff","Oud-Kamervoorzitter Brazili 15 jaar cel <extra_id_0> De voormalige Kamervoorzitter van Brazili, Eduardo Cunha, is donderdag schuldig bevonden aan corruptie en veroordeeld tot een gevangenisstraf van ruim vijftien jaar. Cunha, die in september uit zijn ambt <extra_id_1> een sleutelrol in het gedwongen vertrek van <extra_id_2> Rousseff","Oud-Kamervoorzitter Brazili 15 jaar cel voor corruptie De voormalige Kamervoorzitter van Brazili, Eduardo Cunha, is donderdag schuldig bevonden aan corruptie en veroordeeld tot een gevangenisstraf van ruim vijftien jaar. Cunha, die in september uit zijn ambt trad, speelde een sleutelrol in het gedwongen vertrek van president Dilma Rousseff","['in voor corruptie', 'werd gezet', 'speelde', 'president Dilma']","['voor corruptie', 'trad, speelde', 'president Dilma']",8,15,1,"[0.17647058823529413, 0.7692307692307693, 0.8]",0.58
seq13-0,xl,Time roept Angela Merkel uit tot 'Persoon van het Jaar' De Duitse bondskanselier Angela Merkel is door Time Magazine verkozen tot persoon van het jaar.  Dat heeft het tijschrift woensdag bekendgemaakt in de Amerikaanse ochtendshow Today Show,Time roept Angela Merkel uit tot 'Persoon van het Jaar' De Duitse <extra_id_0> is door Time Magazine verkozen tot persoon van het jaar. <extra_id_1> tijschrift woensdag bekendgemaakt in de Amerikaanse ochtendshow Today Show,Time roept Angela Merkel uit tot 'Persoon van het Jaar' De Duitse kanselier Angela Merkel is door Time Magazine verkozen tot persoon van het jaar. Dat heeft het tijschrift woensdag bekendgemaakt in de Amerikaanse ochtendshow Today Show,"['bondskanselier Angela Merkel', 'Dat heeft het']","['kanselier Angela Merkel', 'Dat heeft het']",6,15,1,"[0.17857142857142858, 0.0]",0.09
seq14-0,xl,"Left, alone is onderhoudend, maar te bescheiden De componist die met sopraan Barbara Hannigan wereldfaam verwierf, brengt nu een ongewoon, onderhoudend pianostuk.  Merlijn Kerkhof 12 december 2016, 2:00 Pianist Alexandre Tharaud","Left, alone is onderhoudend, maar te <extra_id_0> die met sopraan Barbara Hannigan wereldfaam verwierf, brengt nu een <extra_id_1> pianostuk. Merlijn Kerkhof 12 december 2016, 2:00 Pianist Alexandre Tharaud","Left, alone is onderhoudend, maar te donker. Pianist Alexandre Tharaud, die met sopraan Barbara Hannigan wereldfaam verwierf, brengt nu een donker pianostuk. Merlijn Kerkhof 12 december 2016, 2:00 Pianist Alexandre Tharaud","['bescheiden De componist', 'ongewoon', 'onderhoudend']","['donker. Pianist Alexandre Tharaud,', 'donker']",5,15,1,"[0.8529411764705882, 0.75]",0.8
