text,text_count,link,paywall
"Met eenderde van het aantal lidstaten en eenvijfde deel van het electoraat, oefenen de Centraal- en Oost-Europese lidstaten een aanmerkelijke invloed uit op de uitkomst van de Europese verkiezingen. Reden om samen met correspondent Arnout le Clercq te kijken welke van deze landen speciale aandacht verdienen.",1,https://www.volkskrant.nl/buitenland/centraal-en-oost-europa-hebben-een-grote-stem-in-de-europese-verkiezingen~bd2cf8db/,ja
"Met een leider van de grootste partij die spreekt van een ‘nepparlement’ en een hoofdlijnenakkoord vol juridisch onhaalbare maatregelen is Rondje Rechtspraak, de open dag van de rechtsinstanties in Den Haag, dit jaar actueler dan ooit. ‘Het risico bestaat dat de rechtspraak straks voortdurend ballonnetjes moet doorprikken.’",1,https://www.volkskrant.nl/nieuws-achtergrond/op-de-open-dag-van-het-recht-wordt-met-argusogen-gekeken-naar-het-komende-kabinet~b1ddb1c8/,ja
"Dubbele seksuele moraal is achterhaald, laat vrouwen ook kinderen hebben bij verschillende mensen",1,https://www.volkskrant.nl/columns-van-de-dag/dubbele-seksuele-moraal-is-achterhaald-laat-vrouwen-ook-kinderen-hebben-bij-verschillende-mensen~bfd3f9d7/,ja
Ionica Smeets beantwoordt lezersvragen met wiskunde. Deze keer: valt te voorspellen hoe lang je nog leeft als je zes jaar geleden de diagnose uitgezaaide prostaatkanker hebt gekregen?,1,https://www.volkskrant.nl/wetenschap/ik-heb-uitgezaaide-prostaatkanker-hoe-groot-is-de-kans-dat-ik-over-tien-jaar-nog-leef~bfc02dd3/,ja
"Door het eindeloos lange premierschap van Mark Rutte zaten tekenaars jarenlang aan de politicus vast. Wat hebben zij over Rutte als tekenobject te zeggen, nu hij bijna vertrekt? ‘Vooruitstekende kin, spleetoogjes: je zet hem relatief makkelijk neer’.",1,https://www.volkskrant.nl/cultuur-media/acht-politiek-tekenaars-nemen-afscheid-van-mark-rutte-de-man-die-ze-13-jaar-lang-portretteerden~bc0b34f0/,ja
"Stoelen, banken, pallets, fietsen – de barricades die zijn opgeworpen door de demonstranten die het universiteitsgebouw in de Amsterdamse binnenstad hebben bezet, blijken weinig partij voor de ME. De ordedienst ging woensdagmiddag over tot ontruiming, tot die tijd was de sfeer uiterst gemoedelijk.",1,https://www.volkskrant.nl/binnenland/zo-veel-mensen-op-de-been-en-uiteindelijk-is-er-nog-steeds-niets-veranderd~b78831c1/,ja
"De nieuwe bestuursvoorzitter van de Universiteit van Amsterdam, Edith Hooge, staat bekend om haar inhoudelijke kennis. Een ingetogen academicus, die aantreedt in een tijd van pro-Palestijnse studentenprotesten. Is zij de daadkrachtige verbinder waarnaar de universiteit en studenten op zoek zijn?",1,https://www.volkskrant.nl/nieuws-achtergrond/keert-met-de-nieuwe-bestuursvoorzitter-edith-hooge-de-rust-op-de-uva-terug~bde0d8ea/,ja
Niet eerder werden er in Nederland zo veel drugslabs ontmanteld als vorig jaar. Voor de Engelse drugsonderzoeker Steve Rolles is het opnieuw een aanwijzing dat het drugsbeleid radicaal op de schop moet. ‘Waarom laten we de handel in gevaarlijke drugs over aan gangsters? Dat is eigenlijk gestoord.’,1,https://www.volkskrant.nl/binnenland/nederland-is-als-grote-xtc-speler-het-aangewezen-land-om-als-eerste-te-legaliseren~b5d6fcc8/,ja
PSV heeft als verrassing vrijdag voor de ingang van het Philips Stadion een bronzen beeld onthuld om de jarenlange samenwerking met Guus Meeuwis passend af te sluiten. Volgende week begint de zanger aan zijn laatste reeks Groots-concerten. ‘Guus hoort bij de PSV-familie.’,1,https://www.volkskrant.nl/muziek/guus-meeuwis-van-brons-en-op-ware-jongetjesgrootte-op-de-stoep-van-het-philips-stadion~bc593fa9/,ja
Het Nederlands Film Festival dreigt de volledige meerjarige gemeentelijke subsidie (nu 576.575 euro per jaar) te verliezen. Dat blijkt uit het woensdag bekendgemaakte rapport Kleur bekennen van de Utrechtse adviescommissie Cultuurnota 2025-2028.,1,https://www.volkskrant.nl/films/nederlands-film-festival-dreigt-gemeentelijke-sub-sidie-te-verliezen-orga-nisa-tie-is-stom-verbaasd~b561be04/,ja
