,Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
0,seq0-0,base,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 <extra_id_0> het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 om het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten ze het publiek actief meedoen,['Vijf kunstenaars hopen'],['om'],3,15.0,1,[0.9545454545454546],0.95
1,seq1-0,base,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op <extra_id_0> nemen een duik in de vennetjes en kinderen leren fietsen op de rechte <extra_id_1> doorkruisen","Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de velden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte lijn doorkruisen","['de grasvelden', 'honden', 'paden die het park']","['de velden, honden', 'lijn']",7,15.0,1,"[0.6470588235294118, 0.8333333333333334]",0.74
2,seq2-0,base,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de <extra_id_0> luchthaven <extra_id_1> Het","'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te verbeteren. Het","['veiligheid van de', 'te testen.']","['veiligheid van de', 'te verbeteren.']",5,15.0,1,"[0.0, 0.42857142857142855]",0.21
3,seq3-0,base,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische <extra_id_0> de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische regering besloten de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,['president Poetin gisteren aangekondigd'],['regering besloten'],4,15.0,1,[0.7631578947368421],0.76
4,seq4-0,base,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto <extra_id_0> is de laatst getroffen stad in een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_1> steden,Helft van de daders aanslagen heeft crimineel verleden Foto Reuters Amsterdam is de laatst getroffen stad in een reeks terroristische aanslagen. Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in vier steden,"['Emilio Morenatti/AP Barcelona', 'aanslagen in Europese']","['Reuters Amsterdam', 'aanslagen in vier']",6,15.0,1,"[0.8620689655172413, 0.3333333333333333]",0.6
5,seq5-0,base,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband <extra_id_0> en publiceerde op internet veelvuldig kritisch over de islam. Dat <extra_id_1>,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband met zijn haat verdacht en publiceerde op internet veelvuldig kritisch over de islam. Dat,"['gebracht met rechtsextremisme', 'melden Noorse media']","['met zijn haat verdacht', '']",6,15.0,1,"[0.8275862068965517, 1.0]",0.91
6,seq6-0,base,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den <extra_id_0> gisteravond op weg naar het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank <extra_id_1> lag en overleed daar,Een 29-jarige arrestant uit Den Bosch is gisteravond op weg naar het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank van het politiebureau lag en overleed daar,"['Haag is', 'van de politieauto']","['Bosch is', 'van het politiebureau']",5,15.0,1,"[0.625, 0.3333333333333333]",0.48
7,seq7-0,base,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende <extra_id_0> auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet leiden tot een inhaalslag,Zelfrijdende motor- en auto-industrie reageerde traag op de omwentelingen in de sector. Samenwerking moet leiden tot een inhaalslag,['autos De Duitse'],['motor- en'],3,15.0,1,[0.8],0.8
8,seq8-0,base,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf <extra_id_0> verwacht dat de nieuwe <extra_id_1> en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener verwacht dat de nieuwe zenders HBO en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","['Wegener Arcade', 'televisiezenders TV10 Gold']","['Wegener', 'zenders HBO']",5,15.0,1,"[0.5, 0.6923076923076923]",0.6
9,seq9-0,base,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde",Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n <extra_id_0> blijkt uit de inzendingen voor de essayprijs- vraag die deze <extra_id_1> de Stichting Sociale Zekerheid 2001 organiseerde,Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n Dat blijkt uit de inzendingen voor de essayprijs- vraag die deze week de Stichting Sociale Zekerheid 2001 organiseerde,"['figuurlijk', 'zo', 'krant samen met']","['Dat', 'week']",5,15.0,1,"[1.0, 1.0]",1.0
