Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale <extra_id_0> Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten <extra_id_1> publiek actief meedoen,Binnale Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. Bijna allemaal laten ze het publiek actief meedoen,"['van Veneti 2017', 'ze het']","['', 'ze het']",5,25,1,"[1.0, 0.0]",0.5
seq1-0,base,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok <extra_id_0> Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes <extra_id_1> fietsen op <extra_id_2> die <extra_id_3>","Beelden detoneren in barok Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen. Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en fietsen op de die De Oude Warande","['plezierbos Oude Warande', 'en kinderen leren', 'de rechte paden', 'het park doorkruisen']","['', 'en', 'de', 'Warande']",12,25,1,"[1.0, 0.8823529411764706, 0.8666666666666667, 0.8]",0.89
seq2-0,base,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ",'Bompakketje' Namibi was veiligheidstest Een <extra_id_0> onderweg was naar Duitsland <extra_id_1> gevonden op een vliegveld <extra_id_2> was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het,'Bompakketje' Namibi was veiligheidstest Een vrouw die onderweg was naar Duitsland werd gevonden op een vliegveld in Namibië. Er was een nepbom bedoeld om de veiligheid van de luchthaven te testen. Het,"['verdacht pakketje dat', 'en woensdag werd', 'in Namibi,']","['vrouw die', 'werd', 'in Namibië. Er']",8,25,1,"[0.8095238095238095, 0.75, 0.35714285714285715]",0.64
seq3-0,base,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische president <extra_id_0> de moslimfundamentalistische organisatie Hamas <extra_id_1> uitnodigen voor <extra_id_2>,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft de Russische president Vladimir Putin de moslimfundamentalistische organisatie Hamas laten uitnodigen voor een bezoek.,"['Poetin gisteren aangekondigd', 'te zullen', 'besprekingen in Moskou']","['Vladimir Putin', 'laten', 'bezoek.']",8,25,1,"[0.8214285714285714, 0.7777777777777778, 0.8181818181818182]",0.81
seq4-0,base,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de <extra_id_0> in een reeks terroristische <extra_id_1> Staat pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_2> steden,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de enige stad in een reeks terroristische aanslagen. Staat pleegden alleen al in de afgelopen 12 maanden veertien andere steden,"['laatst getroffen stad', 'aanslagen. Sympathisanten van Islamtische', 'aanslagen in Europese']","['enige stad', 'aanslagen.', 'andere']",10,25,1,"[0.6666666666666666, 0.7560975609756098, 0.7619047619047619]",0.73
seq5-0,base,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met <extra_id_0> bomaanslag in Noorwegen wordt in verband <extra_id_1> en publiceerde op internet <extra_id_2> de islam. Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met een bomaanslag in Noorwegen wordt in verband met zijn moord en publiceerde op internet haat hij de islam. Dat melden Noorse media,"['de schietpartij en', 'gebracht met rechtsextremisme', 'veelvuldig kritisch over']","['een', 'met zijn moord', 'haat hij']",9,25,1,"[0.8333333333333334, 0.8275862068965517, 0.9166666666666666]",0.86
seq6-0,base,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige <extra_id_0> Den Haag is gisteravond <extra_id_1> het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank van <extra_id_2> en overleed daar,Een 29-jarige man uit Den Haag is gisteravond op het politiebureau overleden. De man werd onwel terwijl hij geboeid op de achterbank van het politiebureau zat en overleed daar,"['arrestant uit', 'op weg naar', 'de politieauto lag']","['man uit', 'op', 'het politiebureau zat']",8,25,1,"[0.5384615384615384, 0.8181818181818182, 0.42857142857142855]",0.6
seq7-0,base,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie <extra_id_0> op de omwentelingen in de sector. Samenwerking moet <extra_id_1> inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageert op de omwentelingen in de sector. Samenwerking moet leiden tot inhaalslag,"['reageerde traag', 'leiden tot een']","['reageert', 'leiden tot']",5,25,1,"[0.4666666666666667, 0.2857142857142857]",0.38
seq8-0,base,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog <extra_id_0> tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit <extra_id_1> zullen bijdragen <extra_id_2> van het concern","Wegener: nog geen tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog wat zullen bijdragen aan de groei van het concern","['geen winst met', 'jaar nog niet', 'aan de resultaten']","['geen', 'jaar nog wat', 'aan de groei']",9,25,1,"[0.7142857142857143, 0.23076923076923078, 0.5294117647058824]",0.49
seq9-0,base,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde",Vangnet Nederland De sociale zekerheid in <extra_id_0> kostbare verworvenheid. Letterlijk n <extra_id_1> uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid <extra_id_2>,Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid stelt.,"['Nederland is een', 'figuurlijk', 'zo blijkt', '2001 organiseerde']","['Nederland is een', '', 'stelt.']",8,25,1,"[0.0, 1.0, 0.8888888888888888]",0.63
