Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten.  Bijna allemaal laten ze het publiek actief meedoen,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. <extra_id_0> ze het <extra_id_1>,Binnale van Veneti 2017 Vijf kunstenaars hopen het Nederlands Binnalepaviljoen in te richten. Hoe ze het gaan doen?,"['Bijna allemaal laten', 'publiek actief meedoen']","['Hoe', 'doen?']",6,30,1,"[0.95, 0.8636363636363636]",0.91
seq1-0,xl,"Beelden detoneren in barok plezierbos Oude Warande Op zonnige dagen wordt de Oude Warande, een park net buiten Tilburg, overspoeld door dagjesmensen.  Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren fietsen op de rechte paden die het park doorkruisen","Beelden detoneren in barok plezierbos Oude <extra_id_0> dagen wordt <extra_id_1> een park net buiten Tilburg, <extra_id_2> Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren <extra_id_3> rechte paden <extra_id_4> park doorkruisen","Beelden detoneren in barok plezierbos Oude beelden Op warme dagen wordt er in een park net buiten Tilburg, het barok plezierbos Oude beelden, gefeest. Er wordt gepicknickt op de grasvelden, honden nemen een duik in de vennetjes en kinderen leren de rechte paden die het park doorkruisen","['Warande Op zonnige', 'de Oude Warande,', 'overspoeld door dagjesmensen.', 'fietsen op de', 'die het']","['beelden Op warme', 'er in', 'het barok plezierbos Oude beelden, gefeest.', 'de', 'die het']",14,30,1,"[0.6666666666666666, 0.8125, 0.7441860465116279, 0.8461538461538461, 0.0]",0.61
seq2-0,xl,"'Bompakketje' Namibi was veiligheidstest Een verdacht pakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een nepbom bedoeld om de veiligheid van de luchthaven te testen.  Het ","'Bompakketje' Namibi was <extra_id_0> dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was <extra_id_1> om de veiligheid van <extra_id_2> testen. Het","'Bompakketje' Namibi was testland Het bompakketje dat onderweg was naar Duitsland en woensdag werd gevonden op een vliegveld in Namibi, was een testland om de veiligheid van de vluchten te testen. Het","['veiligheidstest Een verdacht pakketje', 'een nepbom bedoeld', 'de luchthaven te']","['testland Het bompakketje', 'een testland', 'de vluchten te']",10,30,1,"[0.6216216216216216, 0.6666666666666666, 0.25]",0.51
seq3-0,xl,Hamas mag in Rusland op bezoek komen .  Tot ontsteltenis van Isral heeft de Russische president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen voor besprekingen in Moskou,Hamas mag <extra_id_0> bezoek komen . Tot ontsteltenis van Isral <extra_id_1> president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen <extra_id_2> Moskou,Hamas mag in Rusland op bezoek komen . Tot ontsteltenis van Isral heeft president Poetin gisteren aangekondigd de moslimfundamentalistische organisatie Hamas te zullen uitnodigen in Moskou,"['in Rusland op', 'heeft de Russische', 'voor besprekingen in']","['in Rusland op', 'heeft', 'in']",9,30,1,"[0.0, 0.7222222222222222, 0.9]",0.54
seq4-0,xl,Helft van de daders aanslagen heeft crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks terroristische aanslagen.  Sympathisanten van Islamtische Staat pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in Europese steden,Helft van de <extra_id_0> crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een <extra_id_1> Sympathisanten <extra_id_2> pleegden alleen al in de afgelopen 12 maanden veertien <extra_id_3> steden,Helft van de sympathisanten hebben crimineel verleden Foto Emilio Morenatti/AP Barcelona is de laatst getroffen stad in een reeks van rellen. Sympathisanten van de terreurbeweging pleegden alleen al in de afgelopen 12 maanden veertien aanslagen in elf steden,"['daders aanslagen heeft', 'reeks terroristische aanslagen.', 'van Islamtische Staat', 'aanslagen in Europese']","['sympathisanten hebben', 'reeks van rellen.', 'van de terreurbeweging', 'aanslagen in elf']",12,30,1,"[0.7727272727272727, 0.6129032258064516, 0.7727272727272727, 0.3333333333333333]",0.62
seq5-0,xl,De 32-jarige man die de politie gisteravond heeft opgepakt in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en publiceerde op internet veelvuldig kritisch over de islam.  Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft <extra_id_0> met de schietpartij en bomaanslag in Noorwegen <extra_id_1> gebracht met rechtsextremisme <extra_id_2> op internet veelvuldig <extra_id_3> islam. Dat melden Noorse media,De 32-jarige man die de politie gisteravond heeft gearresteerd in verband met de schietpartij en bomaanslag in Noorwegen wordt in verband gebracht met rechtsextremisme en op internet veelvuldig geweld tegen de islam. Dat melden Noorse media,"['opgepakt in verband', 'wordt in verband', 'en publiceerde', 'kritisch over de']","['gearresteerd in verband', 'wordt in verband', 'en', 'geweld tegen de']",11,30,1,"[0.4782608695652174, 0.0, 0.8571428571428571, 0.75]",0.52
seq6-0,xl,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau overleden.  De man werd onwel terwijl hij geboeid op de achterbank van de politieauto lag en overleed daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau <extra_id_0> werd onwel terwijl hij geboeid op <extra_id_1> de politieauto <extra_id_2> daar,Een 29-jarige arrestant uit Den Haag is gisteravond op weg naar het politiebureau in Rotterdam onwel geworden. Hij werd onwel terwijl hij geboeid op weg was naar de politieauto Een uur later zat hij daar,"['overleden. De man', 'de achterbank van', 'lag en overleed']","['in Rotterdam onwel geworden. Hij', 'weg was naar', 'Een uur later zat hij']",9,30,1,"[0.78125, 0.8235294117647058, 0.8095238095238095]",0.8
seq7-0,xl,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de omwentelingen in de sector.  Samenwerking moet leiden tot een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de <extra_id_0> sector. Samenwerking <extra_id_1> een inhaalslag,Zelfrijdende autos De Duitse auto-industrie reageerde traag op de crisis in de sector. Samenwerking hopen op een inhaalslag,"['omwentelingen in de', 'moet leiden tot']","['crisis in de', 'hopen op']",6,30,1,"[0.631578947368421, 0.6666666666666666]",0.65
seq8-0,xl,"Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART.  Mediabedrijf Wegener Arcade verwacht dat de nieuwe televisiezenders TV10 Gold en The Music Factory dit jaar nog niet zullen bijdragen aan de resultaten van het concern","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de <extra_id_0> en The Music Factory dit jaar nog niet zullen <extra_id_1> resultaten <extra_id_2>","Wegener: nog geen winst met tv-zenders APELDOORN, 19 MAART. Mediabedrijf Wegener Arcade verwacht dat de tv-zenders en The Music Factory dit jaar nog niet zullen profiteren van resultaten","['nieuwe televisiezenders TV10 Gold', 'bijdragen aan de', 'van het concern']","['tv-zenders', 'profiteren van', '']",10,30,1,"[0.7272727272727273, 0.75, 1.0]",0.83
seq9-0,xl,"Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid.  Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de essayprijs- vraag die deze krant samen met de Stichting Sociale Zekerheid 2001 organiseerde","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de <extra_id_0> deze krant <extra_id_1> Sociale <extra_id_2>","Vangnet Nederland De sociale zekerheid in Nederland is een kostbare verworvenheid. Letterlijk n figuurlijk, zo blijkt uit de inzendingen voor de verkiezing van deze krant Sociale zekerheid","['essayprijs- vraag die', 'samen met de Stichting', 'Zekerheid 2001 organiseerde']","['verkiezing van', '', 'zekerheid']",10,30,1,"[0.8095238095238095, 1.0, 0.7037037037037037]",0.84
