,text,text_count,link,paywall
3,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is dat goed nieuws voor hooikoortspatiënten.,1,https://www.volkskrant.nl/films/nederlands-film-festival-dreigt-gemeentelijke-sub-sidie-te-verliezen-orga-nisa-tie-is-stom-verbaasd~b561be04/,ja
8,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.",1,https://www.volkskrant.nl/binnenland/zo-veel-mensen-op-de-been-en-uiteindelijk-is-er-nog-steeds-niets-veranderd~b78831c1/,ja
11,"Sinds Raemon Sluiter de Oekraïense Elina Svitolina coacht, heeft zijn baan een andere betekenis. ‘Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere wereld is dagelijkse realiteit.’",1,https://www.volkskrant.nl/nieuws-achtergrond/universiteit-leiden-bekijkt-banden-met-israel-en-gaat-weer-in-gesprek-met-demonstranten-die-dat-niet-genoeg-vinden~bec33578/,ja
13,"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.",1,https://www.volkskrant.nl/auto-en-fiets/volkswagen-gaat-snel-een-relatief-goedkope-elektrische-stadsauto-in-productie-nemen~ba528cb3/,ja
20,"Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.",1,https://www.volkskrant.nl/economie/dnb-hoeft-6-500-euro-aan-per-ongeluk-in-de-oven-beschadigde-bankbiljetten-niet-te-vergoeden~bae20458/,ja
25,"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.",1,https://www.volkskrant.nl/buitenland/russische-schaduwoorlog-tegen-europa-krijgt-steeds-meer-vorm-iedereen-zou-gealarmeerd-moeten-zijn~b8a6798a/,ja
30,"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.",1,https://www.volkskrant.nl/binnenland/mijn-grote-utopische-gedachte-is-dat-je-met-muziek-conflicten-kunt-oplossen~b9bdad65/,ja
32,"Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.",1,https://www.volkskrant.nl/nieuws-achtergrond/morgan-spurlock-van-super-size-me-tot-metoo~bcc0e430/,ja
33,"Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.",1,https://www.volkskrant.nl/binnenland/zangeres-elske-dewall-doet-examen-fries-pas-nadat-ik-het-hardop-had-uitgesproken-begreep-ik-wat-het-betekende~b7074e8c/,ja
36,"De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: ‘We zijn eruit. Goed nieuws, de rest horen jullie later.’ Naar verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.",1,https://www.volkskrant.nl/binnenland/nederland-is-als-grote-xtc-speler-het-aangewezen-land-om-als-eerste-te-legaliseren~b5d6fcc8/,ja
