Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,Vier boeken zoeken antwoorden Over de toekomst van welk land gn de verkiezingen eigenlijk.  Vier boeken zoeken het antwoord,Vier boeken zoeken antwoorden Over de <extra_id_0> land gn de verkiezingen eigenlijk. Vier boeken <extra_id_1>,Vier boeken zoeken antwoorden Over de politiek in het land gn de verkiezingen eigenlijk. Vier boeken,"['toekomst van welk', 'zoeken het antwoord']","['politiek in het', '']",6,30,1,"[0.7058823529411765, 1.0]",0.85
seq1-0,large,"Populisten in Zweden beschuldigen sociaal-democraten van racisme  onterecht volgens historici De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben.  Historici maken gehakt van de claims","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht <extra_id_0> De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de <extra_id_1> nazistische wortels <extra_id_2> gehakt <extra_id_3>","Populisten in Zweden beschuldigen sociaal-democraten van racisme onterecht De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de politieke partij met nazistische wortels is die gehakt heeft.","['volgens historici', 'Sociaaldemocraten zijn die', 'hebben. Historici maken', 'van de claims']","['', 'politieke partij met', 'is die', 'heeft.']",11,30,1,"[1.0, 0.6923076923076923, 0.8260869565217391, 0.9230769230769231]",0.86
seq2-0,large,Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met snelle en gratis busritten van Leiden naar Den Haag.  De provincie is vol goede moed; de passagier 'moet het nog zien',Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met <extra_id_0> busritten van Leiden naar Den Haag. <extra_id_1> goede moed; de passagier <extra_id_2> zien',Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met gratis busritten van Leiden naar Den Haag. De bestuurders zijn vol goede moed; de passagier 'laten het zien',"['snelle en gratis', 'De provincie is vol', '""\'moet het nog""']","['gratis', 'De bestuurders zijn vol', ""'laten het""]",10,30,1,"[0.625, 0.5652173913043478, 0.6666666666666666]",0.62
seq3-0,large,"Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven.  Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag de Dienst Terugkeer en Vertrek de kerk niet in, is het idee",Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie <extra_id_0> ze weten <extra_id_1> hier mogen blijven. Beeld Arie Kieviet Zolang er een kerkdienst gaande <extra_id_2> Dienst Terugkeer en Vertrek de kerk niet <extra_id_3>,"Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland en ze weten dat ze hier mogen blijven. Beeld Arie Kieviet Zolang er een kerkdienst gaande is, zal Dienst Terugkeer en Vertrek de kerk niet verlaten.","['in Nederland', 'maar', 'niet of ze', 'is', 'mag de', 'in', 'is het idee']","['in Nederland en', 'dat ze', 'is, zal', 'verlaten.']",13,30,1,"[0.2, 0.8333333333333334, 0.8, 1.0]",0.71
seq4-0,large,"bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het stikstofbeleid van het kabinet.  Op het Malieveld zijn ze deze keer niet welkom, op het naastgelegen park Koekamp wel",bellen <extra_id_0> smit En weer trekken de boze boeren op naar <extra_id_1> te demonstreren tegen het stikstofbeleid van het kabinet. Op het Malieveld zijn ze deze keer <extra_id_2> het naastgelegen <extra_id_3>,bellen met smit En weer trekken de boze boeren op naar de politiek om te demonstreren tegen het stikstofbeleid van het kabinet. Op het Malieveld zijn ze deze keer in het naastgelegen Brabantse...,"['metlandbouwverslaggever pieter hotse', 'Den Haag om', 'niet welkom', 'op', 'park Koekamp wel']","['met', 'de politiek om', 'in', 'Brabantse...']",12,30,1,"[0.9166666666666666, 0.7142857142857143, 0.9090909090909091, 1.0]",0.89
seq5-0,large,"Smartfoto's De beste camera, zeggen fotografen, is de camera die je bij je hebt.  En dat is steeds vaker een iPhone","Smartfoto's De beste camera, zeggen <extra_id_0> camera die je bij je <extra_id_1> is steeds vaker een iPhone","Smartfoto's De beste camera, zeggen ze, is de camera die je bij je smartphone draagt. Dat is steeds vaker een iPhone","['fotografen', 'is de', 'hebt. En dat']","['ze, is de', 'smartphone draagt. Dat']",6,30,1,"[0.9, 0.9090909090909091]",0.9
seq6-0,large,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan verbetering.  We willen de verbouwing combineren met energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan <extra_id_0> de <extra_id_1> energiebesparende maatregelen,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan een renovatie. In de eerste fase zijn er energiebesparende maatregelen,"['verbetering. We willen', 'verbouwing combineren met']","['een renovatie. In', 'eerste fase zijn er']",6,30,1,"[0.7727272727272727, 0.76]",0.77
seq7-0,large,"Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over domme vragen, vrouwelijke wetenschappers die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek.  Michail Saltykov-Sjtsjedrin Pegasus,  21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar weinig in het Nederlands vertaald","Het sluitstuk van de Berber-bibliotheek en de levenslessen <extra_id_0> Pieter <extra_id_1> vragen, vrouwelijke wetenschappers <extra_id_2> Darwin en het sluitstuk van de Berber-bibliotheek. Michail Saltykov-Sjtsjedrin Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin <extra_id_3> dusver maar weinig in <extra_id_4> vertaald","Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter van der Meer De antwoorden op vragen, vrouwelijke wetenschappers Darwin en het sluitstuk van de Berber-bibliotheek. Michail Saltykov-Sjtsjedrin Pegasus, 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin is tot dusver maar weinig in het Nederlands vertaald","['van Pieter Winsemius', 'Winsemius over domme', 'die correspondeerden met', '(1826-1889) was tot', 'het Nederlands']","['van', 'van der Meer De antwoorden op', '', 'is tot', 'het Nederlands']",14,30,1,"[0.85, 0.8275862068965517, 1.0, 0.7368421052631579, 0.0]",0.68
seq8-0,large,"Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, 100 meter (m) De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden","Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, <extra_id_0> De Jamaicaan <extra_id_1> er <extra_id_2> worden","Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, Utrecht De Jamaicaan wil er blij van worden","['100 meter (m)', 'beloofde al dat', 'geschiedenis geschreven zal']","['Utrecht', 'wil', 'blij van']",9,30,1,"[0.8461538461538461, 0.9333333333333333, 0.8518518518518519]",0.88
seq9-0,large,"Tijdens het snoeien van de tuin komt dr.  Alzheimer op bezoek Toine Heijmans 17 augustus 2018, 15:00 De vader van Toine Heijmans in Frankrijk, 1983","Tijdens het snoeien van <extra_id_0> dr. Alzheimer op bezoek <extra_id_1> augustus 2018, 15:00 De vader <extra_id_2> Heijmans in Frankrijk, 1983","Tijdens het snoeien van de pijnboom kwam dr. Alzheimer op bezoek dinsdag, 14 augustus 2018, 15:00 De vader van Alzheimer bij Heijmans in Frankrijk, 1983","['de tuin komt', 'Toine Heijmans 17', 'van Toine']","['de pijnboom kwam', 'dinsdag, 14', 'van Alzheimer bij']",8,30,1,"[0.625, 0.7058823529411765, 0.6470588235294118]",0.66
seq10-0,large,"Vooruit: een voor allen, en allen voor een Het uitstellen van besluiten is een hogere kunst in het Midden-Oosten.  Leven met het mes op de keel is een alledaags gevoel voor Isralis, Palestijnen en andere buurtbewoners","Vooruit: een voor allen, en allen voor een <extra_id_0> besluiten is een hogere <extra_id_1> het Midden-Oosten. Leven met <extra_id_2> de keel is een alledaags gevoel voor Isralis, Palestijnen <extra_id_3>","Vooruit: een voor allen, en allen voor een Samen besluiten is een hogere prioriteit in het Midden-Oosten. Leven met een mes in de keel is een alledaags gevoel voor Isralis, Palestijnen","['Het uitstellen van', 'kunst in', 'het mes op', 'en andere buurtbewoners']","['Samen', 'prioriteit in', 'een mes in', '']",11,30,1,"[0.8888888888888888, 0.6923076923076923, 0.4, 1.0]",0.75
seq11-0,large,"Oud-Kamervoorzitter Brazili 15 jaar cel in voor corruptie De voormalige Kamervoorzitter van Brazili, Eduardo Cunha, is donderdag schuldig bevonden aan corruptie en veroordeeld tot een gevangenisstraf van ruim vijftien jaar.  Cunha, die in september uit zijn ambt werd gezet, speelde een sleutelrol in het gedwongen vertrek van president Dilma Rousseff","Oud-Kamervoorzitter Brazili 15 jaar cel in voor corruptie De voormalige Kamervoorzitter van Brazili, Eduardo Cunha, is donderdag schuldig bevonden <extra_id_0> veroordeeld tot <extra_id_1> ruim vijftien jaar. Cunha, die in september uit <extra_id_2> gezet, speelde een sleutelrol in <extra_id_3> van <extra_id_4>","Oud-Kamervoorzitter Brazili 15 jaar cel in voor corruptie De voormalige Kamervoorzitter van Brazili, Eduardo Cunha, is donderdag schuldig bevonden aan corruptie en veroordeeld tot een celstraf van ruim vijftien jaar. Cunha, die in september uit de Kamer werd gezet, speelde een sleutelrol in de... van","['aan corruptie en', 'een gevangenisstraf van', 'zijn ambt werd', 'het gedwongen vertrek', 'president Dilma Rousseff']","['aan corruptie en', 'een celstraf van', 'de Kamer werd', 'de...', '']",15,30,1,"[0.0, 0.391304347826087, 0.5, 0.9047619047619048, 1.0]",0.56
seq12-0,large,Time roept Angela Merkel uit tot 'Persoon van het Jaar' De Duitse bondskanselier Angela Merkel is door Time Magazine verkozen tot persoon van het jaar.  Dat heeft het tijschrift woensdag bekendgemaakt in de Amerikaanse ochtendshow Today Show,Time roept Angela Merkel uit tot <extra_id_0> Jaar' De Duitse bondskanselier Angela Merkel is door Time Magazine verkozen tot persoon van het <extra_id_1> het tijschrift woensdag <extra_id_2> Amerikaanse ochtendshow <extra_id_3>,,"['""\'Persoon van het""', 'jaar. Dat heeft', 'bekendgemaakt in de', 'Today Show']",,11,30,1,,
seq13-0,large,"Left, alone is onderhoudend, maar te bescheiden De componist die met sopraan Barbara Hannigan wereldfaam verwierf, brengt nu een ongewoon, onderhoudend pianostuk.  Merlijn Kerkhof 12 december 2016, 2:00 Pianist Alexandre Tharaud","Left, alone is onderhoudend, maar te bescheiden De componist die met sopraan Barbara Hannigan wereldfaam verwierf, <extra_id_0> ongewoon, onderhoudend pianostuk. Merlijn <extra_id_1> 2016, <extra_id_2> Tharaud","Left, alone is onderhoudend, maar te bescheiden De componist die met sopraan Barbara Hannigan wereldfaam verwierf, maakt een ongewoon, onderhoudend pianostuk. Merlijn 2016, Left, alone, Tharaud","['brengt nu een', 'Kerkhof 12 december', '2:00 Pianist Alexandre']","['maakt een', '', 'Left, alone,']",9,30,1,"[0.6153846153846154, 1.0, 0.8636363636363636]",0.83
seq14-0,large,"Joost de Vries 1 september 2017, 11:49 SP-Tweede Kamerlid Sharon Gesthuizen en Jan Marijnissen.  Beeld anp Uit idealisme sloot Gesthuizen zich als jonge vrouw van halverwege de twintig aan bij de SP","Joost de Vries 1 september 2017, 11:49 SP-Tweede Kamerlid Sharon Gesthuizen en Jan <extra_id_0> Uit idealisme sloot Gesthuizen zich als jonge <extra_id_1> de <extra_id_2> SP","Joost de Vries 1 september 2017, 11:49 SP-Tweede Kamerlid Sharon Gesthuizen en Jan van Zanen. Uit idealisme sloot Gesthuizen zich als jonge vrouw aan bij de politiek. SP","['Marijnissen. Beeld anp', 'vrouw van halverwege', 'twintig aan bij de']","['van Zanen.', 'vrouw aan bij', 'politiek.']",10,30,1,"[0.7727272727272727, 0.55, 0.8888888888888888]",0.74
