Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de rubriek Aan de grens <extra_id_0> de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de rubriek Aan de grens komen de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:",['bericht De Groene over'],['komen'],4,15,24,[0.9090909090909091],0.91
seq1-0,base,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe <extra_id_0> aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe woorden aan de hand van neologismen. Deze week:,['inzichten over Nederland'],['woorden'],3,15,17,[0.7916666666666666],0.79
seq2-0,base, altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. Hier doet <extra_id_0> bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. Hier doet ze haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,['ze verslag van haar'],['ze haar'],4,15,14,[0.631578947368421],0.63
seq3-0,base,"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor <extra_id_0> te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider <extra_id_1> in <extra_id_2> hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke problemen wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider was in het zonnetje. Met hem opent De Groene daarom het nieuwe politieke jaar.","['politieke opwinding wist', 'stond steeds weer', 'het nieuws. Met']","['politieke problemen wist', 'was', 'het zonnetje. Met']",9,15,12,"[0.375, 0.9411764705882353, 0.35294117647058826]",0.56
seq4-0,base,Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft vanuit Washington over <extra_id_0> van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft vanuit Washington over de plannen van Donald Trump. In aflevering,['het Amerika'],['de plannen'],2,15,11,[0.8181818181818182],0.82
seq5-0,base,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in <extra_id_0> cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in cultuur van het nieuwe kunstseizoen. Tip,['het oog springende'],[''],3,15,11,[1.0],1.0
seq6-0,base,. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,<extra_id_0> podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,Het podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,['. Onze'],['Het'],2,15,10,[1.0],1.0
seq7-0,base,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. Hoe hield ze zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal <extra_id_0> zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal toestand. Heeft ze zich staande onder het bewind van Ceauescu? Deel,['Roemeni. Hoe hield ze'],['toestand. Heeft ze'],4,15,10,[0.5238095238095238],0.52
seq8-0,base,"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, want op <extra_id_0> de geschiedenis kun je niet meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, want op de achtergrond van de geschiedenis kun je niet meer blijven toekijken. Deze week:",['dit moment in'],['de achtergrond van'],3,15,9,[0.7222222222222222],0.72
seq9-0,base,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren <extra_id_0> denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren van denkers over corona in de internationale pers. In aflevering,['en vertalen van'],['van'],3,15,9,[0.8],0.8
