Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,.  Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel <extra_id_0> we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel verdienen we elke week aan een Nederlander. Vandaag:,['verdien je? Dat vragen'],['verdienen'],4,25,19,[0.5909090909090909],0.59
seq1-0,xl,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht <extra_id_0>,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van alle...,['van het belangrijkste sportnieuws'],['alle...'],4,25,16,[0.9090909090909091],0.91
seq2-0,xl,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks <extra_id_0> nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks de tijd voor het nieuws. Vandaag:,['een kijkje achter het'],['de tijd voor het'],4,25,16,[0.5238095238095238],0.52
seq3-0,xl,"Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Tip van de <extra_id_0> de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en <extra_id_1> verder <extra_id_2> geven hn beste tips. Vandaag:","Tip van de baas Tip van de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en hoe je verder komt. Wij geven hn beste tips. Vandaag:","['BaasWie beter dan', 'wat helpt om', 'te komen. Zij']","['baas Tip van', 'hoe je', 'komt. Wij']",9,25,14,"[0.5882352941176471, 0.8333333333333334, 0.46153846153846156]",0.63
seq4-0,xl,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste land van de wereld maken.,David en Arjan van <extra_id_0> Nederland het gelukkigste land van de wereld maken.,David en Arjan van de stichting Happiness Warriors willen van Nederland het gelukkigste land van de wereld maken.,['365dagensuccesvol.nl hebben n doel:'],['de stichting Happiness Warriors willen van'],4,25,14,[0.9047619047619048],0.9
seq5-0,xl,"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De Nations League, de nieuwe Europese competitie voor landenteams, <extra_id_0> competitieronde ingegaan. Dit is het programma in League A en League B van deze <extra_id_1> Ook vermelden <extra_id_2> week <extra_id_3> stand n het programma van de belangrijkste oefeninterlands.","De Nations League, de nieuwe Europese competitie voor landenteams, is zijn eerste competitieronde ingegaan. Dit is het programma in League A en League B van deze competitie. Ook vermelden we de week stand n het programma van de belangrijkste oefeninterlands.","['is de derde', 'en volgende week.', 'we hier komende', 'alle uitslagen', 'de']","['is zijn eerste', 'competitie.', 'we de', '']",12,25,14,"[0.5, 0.7647058823529411, 0.6666666666666666, 1.0]",0.73
seq6-0,xl,"Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop <extra_id_0> seizoen. In onze TransferTalk houden we <extra_id_1> geruchten en voltooide <extra_id_2>","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop uit naar het volgende seizoen. In onze TransferTalk houden we je op de geruchten en voltooide","['naar het nieuwe', 'komende zomer alle', 'transfers bij.']","['uit naar het volgende', 'je op de', '']",8,25,13,"[0.47619047619047616, 0.7222222222222222, 1.0]",0.73
seq7-0,xl,"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een <extra_id_0> beelden om deze te <extra_id_1> doorheen <extra_id_2>","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te bekijken. Ga er doorheen","['van de', 'vergroten en er', 'te bladeren. 1']","['van de', 'bekijken. Ga er', '']",8,25,12,"[0.0, 0.6, 1.0]",0.53
seq8-0,xl,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",Wijsheid komt met de jaren. Omdat <extra_id_0> (77) een eind op weg <extra_id_1> hij uw vragen.,"Wijsheid komt met de jaren. Omdat Willem (77) een eind op weg is, beantwoordt hij uw vragen.","['acteur Joost Prinsen', 'is', 'beantwoordt']","['Willem', 'is, beantwoordt']",5,25,12,"[0.9, 0.8666666666666667]",0.88
seq9-0,xl,"De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al <extra_id_0> overzicht houden we alle <extra_id_1> uitgaande transfers van <extra_id_2> deze zomer bij.","De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle in- en uitgaande transfers van de clubs deze zomer bij.","['binnen. In dit', 'inkomende en', 'de eredivisieclubs van']","['binnen. In dit', 'in- en', 'de clubs']",8,25,12,"[0.0, 0.5833333333333334, 0.6363636363636364]",0.41
seq10-0,xl,"De eerste race van het seizoen zit er op, maar wanneer mogen we ons weer verheugen op Max Verstappen en co? Bekijk hieronder de F1-kalender en zie gelijk hoe laat de wekker gezet moet worden.","De eerste race van het seizoen zit er op, maar wanneer mogen we ons weer <extra_id_0> Verstappen <extra_id_1> hieronder de F1-kalender en <extra_id_2> laat de wekker gezet moet worden.","De eerste race van het seizoen zit er op, maar wanneer mogen we ons weer op de eerste Verstappen richten? Bekijk hieronder de F1-kalender en bepaal zelf hoe laat de wekker gezet moet worden.","['verheugen op Max', 'en co? Bekijk', 'zie gelijk hoe']","['op de eerste', 'richten? Bekijk', 'bepaal zelf hoe']",9,25,12,"[0.875, 0.4666666666666667, 0.6666666666666666]",0.67
seq11-0,xl,"BN'er@homeNederland zit voorlopig vooral thuis en veel BNers dus ook. Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft","BN'er@homeNederland zit <extra_id_0> en veel <extra_id_1> Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft","BN'er@homeNederland zit vol met kinderen en veel ouders. Wat lezen, luisteren of kijken zij om de dag door te komen? Vandaag geeft","['voorlopig vooral thuis', 'BNers dus ook.']","['vol met kinderen', 'ouders.']",6,25,11,"[0.8181818181818182, 0.7857142857142857]",0.8
seq12-0,xl,Het kabinet heeft in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. In ons dossier vind je alle artikelen over het coronavirus in de Drechtsteden. Mist u iets? Tip de redactie: dd.redactie@ad.nl. 1,<extra_id_0> in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. <extra_id_1> vind je alle artikelen <extra_id_2> in de Drechtsteden. Mist u iets? Tip <extra_id_3> 1,landen in verband met het coronavirus drastische maatregelen genomen. Dit heeft ook gevolgen voor de Drechtsteden. Volg de ontwikkelingen in de regio in ons blog. Hier vind je alle artikelen over de coronacrisis in de Drechtsteden. Mist u iets? Tip ons dan! 1,"['Het kabinet heeft', 'In ons dossier', 'over het coronavirus', 'de redactie: dd.redactie@ad.nl.']","['landen', 'Hier', 'over de coronacrisis', 'ons dan!']",12,25,11,"[0.8235294117647058, 0.7857142857142857, 0.3, 0.8709677419354839]",0.7
seq13-0,xl,"Deze zomer staat in het teken van onze Buitenkansjes! Speel elke dag mee voor nieuwe cadeaus. Van een Stella e-bike (t.w.v  2499,-) tot aan VVV cadeaukaarten, vouchers voor Fletcher Hotels of het e-book van Saskia Noort, je wilt niets missen.","Deze zomer staat in het teken van onze Buitenkansjes! Speel <extra_id_0> nieuwe cadeaus. Van een Stella <extra_id_1> tot aan VVV cadeaukaarten, vouchers voor Fletcher Hotels <extra_id_2> van Saskia Noort, je wilt niets missen.","Deze zomer staat in het teken van onze Buitenkansjes! Speel mee en win nieuwe cadeaus. Van een Stella Artois tot aan VVV cadeaukaarten, vouchers voor Fletcher Hotels en de nieuwe collectie van Saskia Noort, je wilt niets missen.","['elke dag mee voor', 'e-bike (t.w.v 2499,-)', 'of het e-book']","['mee en win', 'Artois', 'en de nieuwe collectie']",10,25,11,"[0.7647058823529411, 0.9523809523809523, 0.8181818181818182]",0.85
seq14-0,xl,. Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,. Meld je aan voor de AD sportnieuwsbrief en <extra_id_0> van het belangrijkste sportnieuws,. Meld je aan voor de AD sportnieuwsbrief en blijf op de hoogte van het belangrijkste sportnieuws,['ontvang dagelijks een overzicht'],['blijf op de hoogte'],4,25,11,[0.8064516129032258],0.81
seq15-0,xl,"Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek Regiobytes struint de redactie het web voor je af voor de gekste, mooiste en opvallendste posts van BNers en celebritys.","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek <extra_id_0> redactie <extra_id_1> je af voor de gekste, mooiste <extra_id_2> van BNers en celebritys.","Korte updates van de sterren op Facebook, Twitter, en Instagram - wij smullen ervan. In de rubriek 'De redactie tipt' speur je je af voor de gekste, mooiste en leukste updates van BNers en celebritys.","['Regiobytes struint de', 'het web voor', 'en opvallendste posts']","[""'De"", ""tipt' speur je"", 'en leukste updates']",9,25,11,"[0.9523809523809523, 0.8571428571428571, 0.5238095238095238]",0.78
seq16-0,xl,.  Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks iemand tegen het lijf. Deze keer kwamen ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks <extra_id_0> lijf. <extra_id_1> ze,. Maartje Brockbernd VAN DE STRAATFotograaf Maartje Brockbernd en verslaggever Robin Nanninga lopen wekelijks de straat te lijf. In de krant schrijven ze,"['iemand tegen het', 'Deze keer kwamen']","['de straat te', 'In de krant schrijven']",6,25,11,"[0.75, 0.7142857142857143]",0.73
seq17-0,xl,Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 1,Zorgverleners op <extra_id_0> in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van <extra_id_1> ziekenhuis in Dordrecht en geeft <extra_id_2> in zijn werk. Deel 1,Zorgverleners op de ic staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het ziekenhuis in Dordrecht en geeft inzicht in zijn werk. Deel 1,"['de intensive care staan', 'het Albert Schweitzer', 'dagelijks een inkijkje']","['de ic staan', 'het', 'inzicht']",10,25,11,"[0.5217391304347826, 0.8571428571428571, 0.8636363636363636]",0.75
seq18-0,xl,"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren.","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In <extra_id_0> worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van <extra_id_1> deze te vergroten en <extra_id_2> bladeren.","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze selectie worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de foto's om deze te vergroten en door de selectie te bladeren.","['deze rubriek', 'de beelden om', 'er doorheen te']","['deze selectie', ""de foto's om"", 'door de selectie te']",8,25,10,"[0.5384615384615384, 0.5384615384615384, 0.631578947368421]",0.57
seq19-0,xl,Het WK dendert in volle vaart door. Vandaag staan er opnieuw drie wedstrijden op het programma. Uiteraard zijn deze duels in een apart liveblog te volgen. Hier brengen we je op de hoogte van al het overige WK-nieuws.,Het WK dendert in volle vaart door. Vandaag staan <extra_id_0> wedstrijden op het programma. Uiteraard zijn deze duels in een apart liveblog te volgen. Hier <extra_id_1> op <extra_id_2> het overige WK-nieuws.,Het WK dendert in volle vaart door. Vandaag staan er weer twee wedstrijden op het programma. Uiteraard zijn deze duels in een apart liveblog te volgen. Hier vind je de op voor het overige WK-nieuws.,"['er opnieuw drie', 'brengen we je', 'de hoogte van al']","['er weer twee', 'vind je de', 'voor']",10,25,10,"[0.6, 0.6153846153846154, 0.875]",0.7
seq20-0,xl,. We houden je op de hoogte in ons liveblog. De gebeurtenissen van de afgelopen dagen lees je hier terug.,. We houden je op de hoogte in <extra_id_0> gebeurtenissen van de afgelopen <extra_id_1> je hier terug.,. We houden je op de hoogte in de gebeurtenissen van de afgelopen week. De resultaten vind je hier terug.,"['ons liveblog. De', 'dagen lees']","['de', 'week. De resultaten vind']",5,25,10,"[0.9375, 0.8333333333333334]",0.89
seq21-0,xl,In de rubriek En nu ik! worden bekenden en onbekenden uit het Groene Hart geportretteerd. Vandaag:,In <extra_id_0> ik! worden bekenden en onbekenden uit het Groene Hart geportretteerd. Vandaag:,In de serie ik! worden bekenden en onbekenden uit het Groene Hart geportretteerd. Vandaag:,['de rubriek En nu'],['de serie'],4,25,10,[0.625],0.62
