Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien <extra_id_0> doorhebt.* Wieteke van <extra_id_1> en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke van der Linden over kleine en veelbetekenende bijzaken in de beeldende kunst. Deze week:,"['als je het', 'Zeil over opmerkelijke']","['als je het', 'der Linden over kleine']",6,25.0,20,"[0.0, 0.6818181818181818]",0.34
seq1-0,large,"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke <extra_id_0> releases en selecteert <extra_id_1> die je <extra_id_2> Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week langs de releases en selecteert ze platen die je moet hebben geluisterd. Deze week:","['week door de nieuwste', 'de drie platen', 'niet mag missen.']","['week langs de', 'ze platen', 'moet hebben geluisterd.']",10,25.0,19,"[0.6666666666666666, 0.42857142857142855, 0.6521739130434783]",0.58
seq2-0,large,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag <extra_id_0> verrassend recept. Vandaag:,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag een verrassend recept. Vandaag:,['in de Volkskrant een'],['een'],4,25.0,19,[0.85],0.85
seq3-0,large,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) <extra_id_0> week:,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Deze week:,['Jasper van Kuijk. Deze'],['Deze'],4,25.0,18,[0.8181818181818182],0.82
seq4-0,large,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,<extra_id_0> ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,en ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,['Denkfouten in het hedendaags'],['en'],4,25.0,18,[0.9285714285714286],0.93
seq5-0,large,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de <extra_id_0> kwestie <extra_id_1>,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de auteur de kwestie,"['Volkskrant die', 'aan de orde.']","['auteur de', '']",5,25.0,17,"[0.7142857142857143, 1.0]",0.86
seq6-0,large,"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:",Volkskrant.nl zet elke zondag de <extra_id_0> informatieve apps voor u op een rijtje. Deze week:,Volkskrant.nl zet elke zondag de meest informatieve apps voor u op een rijtje. Deze week:,"['leukste', 'handigste en meest']",['meest'],4,25.0,16,[0.5714285714285714],0.57
seq7-0,large,"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:",Wekelijks nemen <extra_id_0> de Volkskrant stelling in de wereld van <extra_id_1> theater of beeldende kunst. Deze week:,"Wekelijks nemen de columns van de Volkskrant stelling in de wereld van film, theater of beeldende kunst. Deze week:","['de cultuurspecialisten van', 'film', 'muziek,']","['de columns van', 'film,']",5,25.0,15,"[0.5769230769230769, 0.2]",0.39
seq8-0,large,"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor",Ook zon hekel aan onnodig Engels? Help <extra_id_0> Nederlandse alternatieven. Zoals voor,Ook zon hekel aan onnodig Engels? Help Nederlandse alternatieven. Zoals voor,"['ons dan aan bruikbare,']",[''],4,25.0,15,[1.0],1.0
seq9-0,large,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de <extra_id_0> maken. <extra_id_1>","Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de taart te maken. Bekijk","['restjes op te', 'Deze week:']","['taart te', 'Bekijk']",5,25.0,15,"[0.6923076923076923, 0.8]",0.75
seq10-0,large,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door <extra_id_0> van Kuijk. Deze week:,| De Volkskrant Denkfouten in hedendaags ontwerp gefileerd door Willem van Kuijk. Deze week:,['innovatie-expert (en cabaretier) Jasper'],['Willem'],4,25.0,13,[0.9487179487179487],0.95
seq11-0,large,"- Koken & Eten - Voor nieuws, achtergronden en columns Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:",- Koken & Eten - Voor <extra_id_0> columns Wat zullen we eens eten vanavond? Iedere <extra_id_1> Volkskrant een verrassend recept. Vandaag:,- Koken & Eten - Voor - columns Wat zullen we eens eten vanavond? Iedere week geeft de Volkskrant een verrassend recept. Vandaag:,"['nieuws', 'achtergronden en', 'dag in de']","['-', 'week geeft de']",6,25.0,13,"[1.0, 0.875]",0.94
seq12-0,large,"- Koken & Eten - Voor nieuws, achtergronden en columns ReceptWat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","<extra_id_0> Eten - Voor nieuws, achtergronden <extra_id_1> zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","- Eten - Voor nieuws, achtergronden en debat - Nederlands Dagblad Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:","['- Koken &', 'en columns ReceptWat']","['-', 'en debat - Nederlands Dagblad Wat']",6,25.0,13,"[0.8888888888888888, 0.7272727272727273]",0.81
seq13-0,large,Je ziet het pas goed van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je ziet <extra_id_0> van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. <extra_id_1>,Je ziet het van dichtbij. Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. - Paperback,"['het pas goed', 'Deze week:']","['het', 'Paperback']",5,25.0,13,"[0.75, 0.8]",0.78
seq14-0,large,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt elke week een gerecht in de oven. Deze week:","Kookboekenmaker, kok <extra_id_0> Boven maakt elke week een gerecht in de oven. Deze week:","Kookboekenmaker, kok en schrijver Willem van Boven maakt elke week een gerecht in de oven. Deze week:",['en illustrator Yvette van'],['en schrijver Willem van'],4,25.0,13,[0.64],0.64
seq15-0,large,"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van","Wat kwam <extra_id_0> dagen weer voor <extra_id_1> in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van","Wat kwam er de afgelopen dagen weer voor in het cultuuraanbod? De Volkskrant-specialisten kiezen hun favorieten, van","['er de laatste', 'moois bij']","['er de afgelopen', '']",5,25.0,12,"[0.5333333333333333, 1.0]",0.77
seq16-0,large,"Wat kwam er de laatste dagen weer voor moois bij in het cultuuraanbod? De V-specialisten kiezen hun favorieten, van","Wat <extra_id_0> de laatste dagen weer voor moois bij in het <extra_id_1> kiezen hun favorieten, van","Wat hebben we de laatste dagen weer voor moois bij in het landschap. Lezers kiezen hun favorieten, van","['kwam er', 'cultuuraanbod? De V-specialisten']","['hebben we', 'landschap. Lezers']",5,25.0,12,"[0.8888888888888888, 0.8125]",0.85
seq17-0,large,Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun liefde voor Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun <extra_id_0> Nederlandse woorden <extra_id_1> vaak genoeg meer hoort. Deze week:,Afwisselend betuigen Stella Bergsma en Sylvia Witteman hun mening over Nederlandse woorden die je niet vaak genoeg meer hoort. Deze week:,"['liefde voor', 'die je niet']","['mening over', 'die je niet']",5,25.0,12,"[0.8181818181818182, 0.0]",0.41
seq18-0,large,e gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,e gefingeerd. Ook genterviewd worden over <extra_id_0> een korte toelichting naar lust@volkskrant.nl,e gefingeerd. Ook genterviewd worden over de inhoud van een korte toelichting naar lust@volkskrant.nl,['liefde en lust? Mail'],['de inhoud van'],4,25.0,12,[0.65],0.65
seq19-0,large,"juni terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.",juni terug. Op de hoogte blijven? Ontvang pushmeldingen via <extra_id_0> je op <extra_id_1> lees alles over het virus in dit dossier.,juni terug. Op de hoogte blijven? Ontvang pushmeldingen via WhatsApp. Hou je op de hoogte en lees alles over het virus in dit dossier.,"['onze app', 'abonneer', 'onze nieuwsbrieven', 'en']","['WhatsApp. Hou', 'de hoogte en']",6,25.0,12,"[0.8461538461538461, 0.75]",0.8
seq20-0,large,"mei terug. Op de hoogte blijven? Ontvang pushmeldingen via onze app, abonneer je op onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. Op de hoogte blijven? Ontvang <extra_id_0> app, <extra_id_1> onze nieuwsbrieven, en lees alles over het virus in dit dossier.","mei terug. Op de hoogte blijven? Ontvang onze app, subscribe voor onze nieuwsbrieven, en lees alles over het virus in dit dossier.","['pushmeldingen via onze', 'abonneer je op']","['onze', 'subscribe voor']",6,25.0,12,"[0.8181818181818182, 0.8571428571428571]",0.84
seq21-0,large,"Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen de zin van de onzin te scheiden. Vandaag:","Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen <extra_id_0> van <extra_id_1> scheiden. Vandaag:","Berichten verspreiden zich razendsnel, of ze nu kloppen of niet. Wij proberen ze van elkaar te scheiden. Vandaag:","['de zin', 'de onzin te']","['ze', 'elkaar te']",5,25.0,12,"[0.8333333333333334, 0.6363636363636364]",0.73
seq22-0,large,"gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd te reageren, nadrukkelijk ook mensen met een niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl",gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd <extra_id_0> ook <extra_id_1> niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden? Iedereen wordt uitgenodigd ook met een niet-Nederlandse achtergrond. Mail een korte toelichting naar lust@volkskrant.nl,"['te reageren', 'nadrukkelijk', 'mensen met een']","['', 'met een']",6,25.0,11,"[1.0, 0.9166666666666666]",0.96
seq23-0,large,gefingeerd. Ook genterviewd worden over liefde en lust? Mail een korte toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en <extra_id_0> toelichting naar lust@volkskrant.nl,gefingeerd. Ook genterviewd worden over liefde en lust. Mail toelichting naar lust@volkskrant.nl,['lust? Mail een korte'],['lust. Mail'],4,25.0,11,[0.55],0.55
seq24-0,large,"...' is content gemaakt in opdracht van en betaald door een adverteerder, geproduceerd door de commerciele afdeling van DPG Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' <extra_id_0> in opdracht van en <extra_id_1> adverteerder, geproduceerd door de commerciele afdeling <extra_id_2> Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","...' is een advertentie in opdracht van en voor een adverteerder, geproduceerd door de commerciele afdeling van RTL Media. De journalisten van de Volkskrant zijn hier niet bij betrokken.","['is content gemaakt', 'betaald door een', 'van DPG']","['is een advertentie', 'voor een', 'van RTL']",8,25.0,11,"[0.7777777777777778, 0.5625, 0.42857142857142855]",0.59
seq25-0,large,m Zuckerberg ontwijkt lastige vragen en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,m <extra_id_0> en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,m en laat EU-parlement gefrustreerd achter Zuckerberg laat EU-parlement gefrustreerd achter,['Zuckerberg ontwijkt lastige vragen'],[''],4,25.0,10,[1.0],1.0
seq26-0,large,en | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,en | De Volkskrant Wat zullen we eens eten vanavond? Iedere <extra_id_0> de <extra_id_1> recept. Vandaag:,en | De Volkskrant Wat zullen we eens eten vanavond? Iedere week de Volkskrant met een nieuw recept. Vandaag:,"['dag in', 'Volkskrant een verrassend']","['week', 'Volkskrant met een nieuw']",5,25.0,10,"[1.0, 0.4]",0.7
seq27-0,large,s | De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,s | De Volkskrant <extra_id_0> we eens eten vanavond? Iedere dag in <extra_id_1> verrassend recept. Vandaag:,s | De Volkskrant Wat gaan we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,"['Wat zullen', 'de Volkskrant een']","['Wat gaan', 'de Volkskrant een']",5,25.0,10,"[0.5, 0.0]",0.25
