Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,"Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne de drager van betekenis in Arrival, Denis Villeneuves nieuwe film over het eerste contact tussen mensen en buitenaardse wezens.  Met trage camerabewegingen en vervreemdende geluiddesigns creert de Canadese filmmaker een wereld die we nt niet kennen",Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne de drager van betekenis in <extra_id_0> nieuwe film over het <extra_id_1> mensen en buitenaardse wezens. <extra_id_2> en <extra_id_3> de Canadese filmmaker <extra_id_4> we nt niet kennen,Kunst & Cultuur Arrival Praten in cirkels Vormgeving is vanaf de eerste scne de drager van betekenis in de nieuwe film over het contact tussen mensen en buitenaardse wezens. De eerste en enige film van de Canadese filmmaker Damien Chazelle over een gebeurtenis die we nt niet kennen,"['Arrival', 'Denis Villeneuves', 'eerste contact tussen', 'Met trage camerabewegingen', 'vervreemdende geluiddesigns creert', 'een wereld die']","['de', 'contact tussen', 'De eerste', 'enige film van', 'Damien Chazelle over een gebeurtenis die']",15,30,1,"[1.0, 0.8823529411764706, 0.8095238095238095, 0.7692307692307693, 0.8]",0.85
seq1-0,xl,"18 november 2009 Jaargang 133, Nr.  47 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij zijn ideen voor filebestrijding gaat minister Eurlings uit van de impliciete vooronderstelling dat de automobilist gevoelig is voor de kilometerprijzen","18 november 2009 Jaargang <extra_id_0> Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij <extra_id_1> filebestrijding gaat minister <extra_id_2> de impliciete vooronderstelling dat <extra_id_3> voor de kilometerprijzen","18 november 2009 Jaargang 2009/10 Aart Brouwer, 18 november 2009 Baas in Brussel Margreet Fogteloo, 18 november 2009 Voertuig-verliesuren Bij de filebestrijding gaat minister Schultz uit van de impliciete vooronderstelling dat de files niet leiden tot een verhoging voor de kilometerprijzen","['133', 'Nr. 47', 'zijn ideen voor', 'Eurlings uit van', 'de automobilist gevoelig is']","['2009/10', 'de', 'Schultz uit van', 'de files niet leiden tot een verhoging']",13,30,1,"[1.0, 1.0, 0.9333333333333333, 0.7894736842105263]",0.93
seq2-0,xl,"Kunst & Cultuur Televisie: Vrouw op Mars Meisjes van de sigarenfabriek Fidan Ekiz presenteert Vrouw op Mars  BNNVARA Fidan Ekiz heeft haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland.  In De pen & Het zwaard was ze al tout court televisiejournalist, persvrijheid in zes landen onderzoekend (waaronder uiteraard Turkije)","Kunst & Cultuur Televisie: Vrouw op Mars Meisjes van <extra_id_0> Ekiz presenteert <extra_id_1> BNNVARA Fidan Ekiz heeft haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland. In De pen & <extra_id_2> ze <extra_id_3> televisiejournalist, persvrijheid in zes <extra_id_4> uiteraard Turkije)","Kunst & Cultuur Televisie: Vrouw op Mars Meisjes van Mars Fidan Ekiz presenteert voor BNNVARA Fidan Ekiz heeft haar familie- en migratiegeschiedenis behandeld in Veerboot naar Holland. In De pen & de lijn vertelt ze over haar werk als televisiejournalist, persvrijheid in zes landen (waaronder uiteraard Turkije)","['de sigarenfabriek Fidan', 'Vrouw op Mars', 'Het zwaard was', 'al tout court', 'landen onderzoekend (waaronder']","['Mars Fidan', 'voor', 'de lijn vertelt', 'over haar werk als', 'landen (waaronder']",15,30,1,"[0.6521739130434783, 0.7692307692307693, 0.9333333333333333, 0.8888888888888888, 0.43333333333333335]",0.74
seq3-0,xl,"Braziliaanse klassenstrijd om de fiets So Paulo  Wie fietst, die deugt niet.  Met die woorden becommentarieerde Francisco da Costa Porto (74) de geplande aanleg van een fietspad door zijn straat Honduras, in de chique Jardins (tuinwijk) van So Paulo, in de Braziliaanse pers: Dat weten we vandaag de dag toch","Braziliaanse klassenstrijd om de fiets So Paulo Wie fietst, die deugt niet. Met die woorden becommentarieerde <extra_id_0> Porto (74) de geplande aanleg van een fietspad door <extra_id_1> in de chique Jardins (tuinwijk) van <extra_id_2> de Braziliaanse <extra_id_3> we vandaag <extra_id_4>","Braziliaanse klassenstrijd om de fiets So Paulo Wie fietst, die deugt niet. Met die woorden becommentarieerde José Porto (74) de geplande aanleg van een fietspad door de stad in de chique Jardins (tuinwijk) van So Paulo. In de Braziliaanse krant lezen we vandaag","['Francisco da Costa', 'zijn straat Honduras,', 'So Paulo', 'in', 'pers: Dat weten', 'de dag toch']","['José', 'de stad', 'So Paulo. In', 'krant lezen', '']",15,30,1,"[0.8888888888888888, 0.7619047619047619, 0.3333333333333333, 0.9090909090909091, 1.0]",0.78
seq4-0,xl,"Door regelmatig mee te doen aan de jaarlijkse volksafspraak op 4 mei om 20. 00 uur op de Dam in Amsterdam ontdekte ik dat verschillende mensen, generaties en nationaliteiten hun eigen volk en eigen doden herdenken","Door regelmatig mee te doen aan de jaarlijkse volksafspraak <extra_id_0> om 20. 00 uur op de Dam <extra_id_1> ontdekte ik dat verschillende mensen, generaties en <extra_id_2> volk <extra_id_3> herdenken","Door regelmatig mee te doen aan de jaarlijkse volksafspraak op vrijdagavond om 20. 00 uur op de Dam ontdekte ik dat verschillende mensen, generaties en zelfs volk elkaar herdenken","['op 4 mei', 'in Amsterdam', 'nationaliteiten hun eigen', 'en eigen doden']","['op vrijdagavond', '', 'zelfs', 'elkaar']",11,30,1,"[0.8, 1.0, 0.96, 0.9285714285714286]",0.92
seq5-0,xl,Duitserworst en andere verhalen Laatst was ik even in Frankrijk in het dorpje waar ik altijd met mijn ouders op vakantie was.  Na veertig jaar terug,Duitserworst <extra_id_0> Laatst was ik even in Frankrijk in het dorpje waar ik altijd met mijn <extra_id_1> vakantie <extra_id_2> jaar terug,Duitserworst Laatst was ik even in Frankrijk in het dorpje waar ik altijd met mijn ouders op vakantie ging. Dat was alweer zo'n 20 jaar terug,"['en andere verhalen', 'ouders op', 'was. Na veertig']","['', 'ouders op', ""ging. Dat was alweer zo'n 20""]",8,30,1,"[1.0, 0.0, 0.75]",0.58
seq6-0,xl,"De doodsangst van Bill Gates Dat gaat me toch een revolutie worden, die digitale snelweg.  De rijkste man ter wereld schreef er een boek over",De doodsangst van Bill Gates Dat gaat me toch een <extra_id_0> die <extra_id_1> rijkste man ter <extra_id_2> een boek over,"De doodsangst van Bill Gates Dat gaat me toch een beetje te ver, die angst voor de dood van de rijkste man ter wereld. Ik las er een boek over","['revolutie worden,', 'digitale snelweg. De', 'wereld schreef er']","['beetje te ver,', 'angst voor de dood van de', 'wereld. Ik las er']",8,30,1,"[0.6470588235294118, 0.76, 0.47058823529411764]",0.63
seq7-0,xl,"Serene onrust Serenity & Anxiety.  Onder dat alomvattende motto bracht het Holland Festival in 2009 veel goede voorstellingen uit Japan, India, Vietnam, Amerika, Zuid-Afrika, Frankrijk, Duitsland en uit Nederland","Serene onrust Serenity & Anxiety. Onder dat alomvattende motto bracht het Holland <extra_id_0> veel goede voorstellingen uit Japan, <extra_id_1> Zuid-Afrika, Frankrijk, Duitsland <extra_id_2>","Serene onrust Serenity & Anxiety. Onder dat alomvattende motto bracht het Holland Festival veel goede voorstellingen uit Japan, China, Zuid-Afrika, Frankrijk, Duitsland en België.","['Festival in 2009', 'India', 'Vietnam', 'Amerika,', 'en uit Nederland']","['Festival', 'China,', 'België.']",9,30,1,"[0.5, 0.8333333333333334, 1.0]",0.78
seq8-0,xl,"Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hoves bewerking van vijf histories van Shakespeare, Hendrik V, drie delen van Hendrik VI en Richard III, keert een half jaar na de premire terug in Amsterdam.  De marathon (vier uur) gaat over de schijngestalten van leiderschap","Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van <extra_id_0> vijf histories van Shakespeare, Hendrik <extra_id_1> van Hendrik VI en Richard III, keert een half jaar na de premire <extra_id_2> De marathon (vier <extra_id_3> de <extra_id_4>","Kunst & Cultuur Toneel - Kings of War Bevroren kroon Ivo van Hove De vijf histories van Shakespeare, Hendrik IV, de zoon van Hendrik VI en Richard III, keert een half jaar na de premire De marathon (vier de","['Hoves bewerking van', 'V', 'drie delen', 'terug in Amsterdam.', 'uur) gaat over', 'schijngestalten van leiderschap']","['Hove De', 'IV, de zoon', '', '', '']",15,30,1,"[0.6842105263157895, 0.9090909090909091, 1.0, 1.0, 1.0]",0.92
seq9-0,xl,"Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen.  Merkel richt met deze benaming duidelijk geen oorlogsverklaring aan IS, zoals Franois Hollande dat deed na de aanslagen in Parijs",Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen. Merkel <extra_id_0> deze benaming duidelijk geen oorlogsverklaring <extra_id_1> Franois Hollande <extra_id_2> de <extra_id_3>,Een beproeving noemt ze het islamitische terrorisme dat op 19 december nu ook Berlijn heeft getroffen. Merkel wil met deze benaming duidelijk geen oorlogsverklaring doen. Franois Hollande de Franse president,"['richt met', 'aan IS', 'zoals', 'dat deed na', 'aanslagen in Parijs']","['wil met', 'doen.', '', 'president']",11,30,1,"[0.4444444444444444, 1.0, 1.0, 0.8181818181818182]",0.82
seq10-0,xl,Juist of niet juist Waarom moet je alles in de politiek kunnen uitleggen.  Als interviewer spreek ik met enige regelmaat politici,Juist of niet juist <extra_id_0> alles in <extra_id_1> uitleggen. Als interviewer spreek ik met enige regelmaat politici,Juist of niet juist Ik kan alles in een paar woorden uitleggen. Als interviewer spreek ik met enige regelmaat politici,"['Waarom moet je', 'de politiek kunnen']","['Ik kan', 'een paar woorden']",6,30,1,"[0.9285714285714286, 0.7777777777777778]",0.85
seq11-0,xl,"Indonesische kinderen mogen niet buiten fietsen Jakarta - De cartoonheld op Abangs mosterdgele shirt staat strak gespannen om zijn buik en wanneer hij lacht, ontbloot hij zijn zwarte tandjes.  Hij is al vier, maar krijgt nog iedere nacht twee keer een fles poedermelk, lacht zijn moeder","Indonesische kinderen mogen niet buiten fietsen Jakarta - De cartoonheld <extra_id_0> shirt staat strak gespannen om zijn buik en wanneer hij <extra_id_1> hij <extra_id_2> Hij is al vier, maar <extra_id_3> nacht twee <extra_id_4> poedermelk, lacht zijn moeder","Indonesische kinderen mogen niet buiten fietsen Jakarta - De cartoonheld in zijn shirt staat strak gespannen om zijn buik en wanneer hij lacht, lacht hij hard. Hij is al vier, maar krijgt elke nacht twee pakken poedermelk, lacht zijn moeder","['op Abangs mosterdgele', 'lacht', 'ontbloot', 'zijn zwarte tandjes.', 'krijgt nog iedere', 'keer een fles']","['in zijn', 'lacht, lacht', 'hard.', 'krijgt elke', 'pakken']",14,30,1,"[0.9047619047619048, 0.5833333333333334, 1.0, 0.8, 0.9411764705882353]",0.85
seq12-0,xl,Waarom ik gedaan heb wat ik heb gedaan is een zaak die niemand aangaat.  Het is mijn strikt persoonlijke verhaal,Waarom ik gedaan heb wat ik heb gedaan is <extra_id_0> niemand aangaat. Het <extra_id_1> persoonlijke verhaal,Waarom ik gedaan heb wat ik heb gedaan is iets wat niemand aangaat. Het is mijn persoonlijke verhaal,"['een zaak die', 'is mijn strikt']","['iets wat', 'is mijn']",6,30,1,"[0.8333333333333334, 0.5]",0.67
seq13-0,xl,"mijn hart en mijn maag zitten in afrika, mijn verstand hier in nederland DE EERSTE JAREN in Nederland zat ik nog met veel bitterheid en woede en behoefte aan wraak.  Het ironische is dat toen ik erover begon te schrijven de behoefte aan wraak verviel","mijn hart en mijn maag zitten in afrika, mijn verstand hier in nederland <extra_id_0> in Nederland zat ik nog met veel bitterheid en woede en <extra_id_1> Het <extra_id_2> dat toen <extra_id_3> te schrijven de <extra_id_4> verviel","mijn hart en mijn maag zitten in afrika, mijn verstand hier in nederland Hier in Nederland zat ik nog met veel bitterheid en woede en haat. Het gebeurde dat toen ik besloot te schrijven de pijn verviel","['DE EERSTE JAREN', 'behoefte aan wraak.', 'ironische is', 'ik erover begon', 'behoefte aan wraak']","['Hier', 'haat.', 'gebeurde', 'ik besloot', 'pijn']",14,30,1,"[1.0, 0.7894736842105263, 0.9166666666666666, 0.6666666666666666, 0.9444444444444444]",0.86
