text,text_count,link,paywall
"De rectores magnifici van vijftien Nederlandse universiteiten schrijven de banden met Israëlische universiteiten niet te willen verbreken. Op die manier kan de dialoog met de partners in Israël beter gevoerd worden, „ook als dat schuurt met onze en andermans diepste overtuiging”, schrijven ze in een open brief. Actievoerende studenten lezen het met verbazing: „Waar was die dialoog dan de afgelopen 75 jaar?”",1,"https://www.nrc.nl/nieuws/2024/06/08/universiteiten-verbreken-banden-met-israelische-universiteiten-niet-omwille-van-academische-vrijheid-a4855767#:~:text=Universitaire%20banden%20met%20Isra%C3%ABl%20De,universiteiten%20niet%20te%20willen%20verbreken.",nee 
In duizenden boeken over drugshandelaar Janus van Wesenbeeck moeten foto’s worden zwartgemaakt. De afgelopen jaren kwam Van Wesenbeeck onder de aandacht vanwege de Netflix-hitserie Undercover.,1,https://www.nrc.nl/nieuws/2024/06/07/met-zwarte-stift-worden-undercoveragenten-onherkenbaar-gemaakt-in-de-volledige-oplage-van-drugsbaron-a4855721,ja 
De rechter noemt de zorgen van Greenpeace „begrijpelijk” maar vindt de eisen van de organisatie in het kort geding onvoldoende „toegespitst”. Een langere rechtszaak over maatregelen tegen stikstofuitstoot loopt nog.,1,Greenpeace verliest kort geding tegen staat over snellere stikstofreductie - NRC,ja 
Rechtse én linkse kiezers in Veghel zijn kritisch op migratie. Wijken ‘verloederen’. En wie profiteert er nou wérkelijk van al die goedkope buitenlandse arbeidskrachten?,1,"Het migratiedilemma in Veghel-Zuid: ook de kiezers die tegen de PVV zijn, willen grip op migratie - NRC",nee 
"De Poolse titelverdediger Iga Swiatek wint voor de derde keer op een rij Roland Garros. Voor de 23-jarige Swiatek, vooraf de grote favoriete voor de eindzege, is het haar vijfde grandslamtitel.",1,Favoriete Swiatek opnieuw de beste op Roland Garros - NRC,ja 
Drie docenten van de zeevaartschool op Terschelling verloren hun baan na onderzoek over grensoverschrijdend gedrag. Dat onderzoek bleek niet te deugen – maar de sociale verhoudingen op het eiland staan nu wel op scherp.,1,"Het onderzoek naar sociale veiligheid deugde niet, toch raakten de onderzochte docenten hun baan kwijt - NRC",ja 
"Na de dood van de achttienjarige Ryan al Najjar kregen De Telegraaf en Leeuwarder Courant mails namens de vader, waarin de moord werd bekend.",1,OM vordert mails aan De Telegraaf met vermeende moordbekentenis - NRC,ja 
"Het COA, dat kampt met een structureel tekort aan opvangplekken, is zeer te spreken over de stap naar voren van Arnhem. De organisatie hoopt dat andere gemeenten ook meer opvangplekken regelen.",1,"Arnhem gaat 1.700 asielzoekers opvangen, 1.000 meer dan verplicht: ‘We vangen al jaren zonder problemen vluchtelingen op’ - NRC",ja 
"NRC bespreekt deze weken de eindexamens met deskundigen. Voormalige voetbaltrainer Foppe de Haan, een geboren Fries, boog zich over het havo-examen Fries.",1,"Smûk, meer dan gezellig, is zijn Friese woord - NRC",ja 
"Nog nooit kregen zo weinig baby’s borstvoeding. Er wordt te weinig ruimte voor gegeven, zeggen jonge moeders in Lelystad. „Ik doe het meestal in de auto, de ramen zijn geblindeerd.”",1,Borstvoeding geven is niet meer gewoon - NRC,ja 
"Jongeren missen cruciale hulp omdat functionarissen zonder expertise louter naar kosten kijken, zegt Marie-Lies van Steenderen.",1,"Steekspel van wantrouwen en gedoe over wie verantwoordelijk is: ‘Laat me mijn werk doen!’, zegt de gefrustreerde psychiater - NRC",ja 
Ook op studie- en schoolboeken gaat de btw omhoog. Scholen en universiteiten reageren teleurgesteld,1,Studie- en schoolboeken worden duurder door hogere btw - NRC,ja 
Defensie voert de druk op om te dienen bij de krijgsmacht. Jongeren reageren verdeeld. Ze dienen het land liever in een IT-functie achter het bureau dan in een loopgraaf in Oost-Europa. „Het moet heel bont worden voor ik bereid ben mijn leven te riskeren.”,1,Steeds meer Nederlanders zijn bereid te vechten – en sneuvelen – voor Nederland - NRC,ja 
Zo’n 22.000 kinderen worden jaarlijks voor korte of langere periode opgevangen door pleegouders. Een uitgebreide screening moet ervoor zorgen dat ze geschikt zijn om deze zorg te dragen. Hoe kon het in Vlaardingen dan toch zo misgaan?,1,"De laatste twee jaar voordat het pleegmeisje uit Vlaardingen in het ziekenhuis belandde, lezen als een handboek voor wat mis kan gaan in de pleegzorg - NRC",ja 
"Marco Nullamento werd als twintiger dakloos. Hij zou binnenkort een kamer kunnen betrekken, maar was op.",1,Dakloos zijn was voor Marco Nullamento (1981-2024) makkelijker dan voor zichzelf zorgen - NRC,ja 
"Het Nederlandse poststelsel moet op de schop omdat PostNL wettelijke normen structureel niet haalt, volgens de minister. Wel komt ze het postbedrijf tegemoet met een verlenging van de bezorgtermijn van één dag naar twee dagen.",1,"Kwaliteit Nederlandse postbezorging „niet acceptabel”, minister EZK kondigt hervormingen aan - NRC",ja 
"NS-personeel krijgt steeds vaker met scheldpartijen en geweld te maken. Vooral reizigers ‘zonder-zonder’ (geen kaartje, geen ID) zijn berucht. Na de recente mishandeling van een conducteur staat het ov zaterdag drie minuten stil.",1,"Agressie in de trein neemt toe: ‘Hoe later het wordt, hoe grimmiger’ - NRC",ja 
In de Franse hoofdstad zijn drie jongemannen uit Moldavië opgepakt voor het bekladden van gebouwen met afbeeldingen van doodskisten. Ze worden verdacht van „buitenlandse inmenging” in Frankrijk.,1,Moldavische jongeren opgepakt in Parijs voor onheilspellende graffiti van doodskisten - NRC,ja 
De vrouw van oud-premier Ruud Lubbers gaf in interviews vaak een inkijkje in haar leven als premiersvrouw. „Ik word er niet arm of rijk van en ik word er zeker niet gelukkig van.” Ze overleed afgelopen week.,1,Ria Lubbers viel als premiersvrouw op door haar openhartigheid - NRC,ja 
"Met een militaire actie wist Israël dit weekend vier gijzelaars te bevrijden. Hierbij werden echter niet alleen Hamasstrijders gedood, maar ook veel burgers. Dat leidde tot veel kritiek, maar premier Netanyahu hoopt politieke munt te slaan uit de operatie.",1,"Blijdschap in Israël na bevrijding gijzelaars, maar woede elders over hoge tol aan Palestijnse slachtoffers - NRC",ja 
De belangrijkste aanmeldlocatie voor Oekraïners laat al maanden geen mannen meer binnen die in hun eentje reizen. Ook stellen zonder kinderen worden weggestuurd.,1,In Jaarbeurshal 5 zijn Oekraïense mannen niet meer welkom - NRC,ja 
