Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,Miljoenen Afghanen leven onder de armoedegrens. Buitenlandse donoren bieden weinig hulp omdat de Taliban vrouwenrechten drastisch beperkten. Vermindering van de internationale hulp zal dezelfde Afghaanse vrouwen die we hopen te steunen alleen maar meer laten lijden.,Miljoenen Afghanen leven onder de armoedegrens. <extra_id_0> weinig hulp omdat de <extra_id_1> drastisch beperkten. Vermindering van de internationale hulp zal dezelfde <extra_id_2> we hopen te steunen alleen <extra_id_3> lijden.,Miljoenen Afghanen leven onder de armoedegrens. Er is te weinig hulp omdat de landen hun hulp drastisch beperkten. Vermindering van de internationale hulp zal dezelfde resultaten geven die we hopen te steunen alleen voor mensen die lijden.,"['Buitenlandse donoren bieden', 'Taliban vrouwenrechten', 'Afghaanse vrouwen die', 'maar meer laten']","['Er is te', 'landen hun hulp', 'resultaten geven die', 'voor mensen die']",11,30,1,"[0.8888888888888888, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666]",0.74
seq1-0,base,Defensie voert de druk op om te dienen bij de krijgsmacht. Jongeren reageren verdeeld.,Defensie voert de druk op om te dienen bij de <extra_id_0>,Defensie voert de druk op om te dienen bij de crisis.,['krijgsmacht. Jongeren reageren verdeeld.'],['crisis.'],4,30,1,[0.9],0.9
seq2-0,base,"Netbeheerder Tennet heeft met de aanleg van een stroomkabel mogelijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, concludeerde de provincie Overijssel donderdag.","Netbeheerder Tennet heeft met de aanleg van <extra_id_0> onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, <extra_id_1> donderdag.","Netbeheerder Tennet heeft met de aanleg van een nieuwe dijk onomkeerbare schade aangebracht aan kwetsbare natuur op landgoed Twickel, op donderdag.","['een stroomkabel mogelijk', 'concludeerde de provincie Overijssel']","['een nieuwe dijk', 'op']",7,30,1,"[0.625, 0.9444444444444444]",0.78
seq3-0,base,Noord-Korea is weer begonnen met het versturen van ballonnen met afval naar Zuid-Korea. In en rond Seoul en in de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote luidsprekers bij de grens weer aan en zullen nieuwsuitzendingen en popmuziek de grens over schallen.,Noord-Korea is weer begonnen met het <extra_id_0> ballonnen <extra_id_1> Zuid-Korea. In en rond <extra_id_2> de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote <extra_id_3> grens weer aan en zullen nieuwsuitzendingen en <extra_id_4> over schallen.,Noord-Korea is weer begonnen met het vinden van ballonnen in Zuid-Korea. In en rond de grensstreek werden zondagochtend tientallen ballonnen gevonden. In reactie zet Zuid-Korea de grote wacht op de grens weer aan en zullen nieuwsuitzendingen en berichten daar over schallen.,"['versturen van', 'met afval naar', 'Seoul en in', 'luidsprekers bij de', 'popmuziek de grens']","['vinden van', 'in', '', 'wacht op de', 'berichten daar']",14,30,1,"[0.46153846153846156, 0.9285714285714286, 1.0, 0.7894736842105263, 0.7777777777777778]",0.79
seq4-0,base,"Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer soorten ontdekt die zulke metalen uit de grond opnemen.","Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds <extra_id_0> ontdekt <extra_id_1> uit <extra_id_2>","Voor de energietransitie zijn grote hoeveelheden metalen nodig, zoals nikkel. Planten kunnen daarbij helpen. Er worden steeds meer nieuwe planten ontdekt uit onderzoek.","['meer soorten', 'die zulke metalen', 'de grond opnemen.']","['meer nieuwe planten', '', 'onderzoek.']",8,30,1,"[0.5789473684210527, 1.0, 0.7058823529411765]",0.76
seq5-0,base,De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant doet de komende weken verslag. Historicus Maarten van Rossem buigt zich over het vwo-examen geschiedenis.,De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant <extra_id_0> weken verslag. <extra_id_1> van Rossem buigt <extra_id_2> vwo-examen geschiedenis.,De eindexamens in het voortgezet onderwijs zijn begonnen. De Volkskrant doet dit weken verslag. Prof. van Rossem buigt zich aan vwo-examen geschiedenis.,"['doet de komende', 'Historicus Maarten', 'zich over het']","['doet dit', 'Prof.', 'zich aan']",8,30,1,"[0.6, 0.9444444444444444, 0.6153846153846154]",0.72
seq6-0,base,"Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken van het land zijn, en ik kijk door de lens van de camera van een professional, die allerlei lenzen tevoorschijn kan toveren.","Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste <extra_id_0> land zijn, en ik kijk door de lens <extra_id_1> van <extra_id_2> allerlei lenzen <extra_id_3>","Ik sta op zaterdagmiddag rond 13.00 uur midden op de Amsterdamse Kalverstraat. Het moet een van de drukste plekken in ons land zijn, en ik kijk door de lens van de allerlei lenzen","['plekken van het', 'van de camera', 'een professional', 'die', 'tevoorschijn kan toveren.']","['plekken in ons', '', 'de', '']",12,30,1,"[0.3333333333333333, 1.0, 0.9375, 1.0]",0.82
seq7-0,base,"Carlos Alcaraz heeft voor het eerst in zijn carrire Roland Garros gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev en trok daarmee de ongeslagen reeks in finales door.","<extra_id_0> voor het eerst in zijn <extra_id_1> gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev <extra_id_2> de <extra_id_3> in finales door.","heeft voor het eerst in zijn carrière gewonnen. De 21-jarige Spanjaard won de bloedstollende vijfsetter (3-6, 6-2, 7-5, 1-6, 2-6) van Alexander Zverev Zverev ging de strijd in finales door.","['Carlos Alcaraz heeft', 'carrire Roland Garros', 'en trok daarmee', 'ongeslagen reeks']","['heeft', 'carrière', 'Zverev ging', 'strijd']",11,30,1,"[0.75, 0.7142857142857143, 0.8666666666666667, 0.875]",0.8
seq8-0,base,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De prijs aan Palestijnse zijde is echter ongekend hoog. Wat betekent deze actie voor de ongeveer 120 gijzelaars die nog vastzitten?,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De <extra_id_0> zijde is <extra_id_1> betekent deze actie voor de ongeveer 120 gijzelaars <extra_id_2>,Met een spectaculaire reddingsoperatie wist het Isralische leger zaterdag vier gijzelaars te bevrijden. De Duitse zijde is echter niet bekend wat betekent deze actie voor de ongeveer 120 gijzelaars,"['prijs aan Palestijnse', 'echter ongekend hoog. Wat', 'die nog vastzitten?']","['Duitse', 'echter niet bekend wat', '']",10,30,1,"[0.8095238095238095, 0.52, 1.0]",0.78
seq9-0,base,"Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land om trots op te zijn. En zo gaat het nog een beetje door, totdat er onverwacht een lange zin volgt.","Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land <extra_id_0> op <extra_id_1> zo gaat <extra_id_2> beetje door, totdat er <extra_id_3> zin volgt.","Het hoofdlijnenakkoord van het kabinet-in-wording begint met een gedicht. Nederland is een prachtig land./ Een land waar je op leeft. En zo gaat het een beetje door, totdat er een zin volgt.","['om trots', 'te zijn. En', 'het nog een', 'onverwacht een lange']","['waar je', 'leeft. En', 'het een', 'een']",11,30,1,"[0.875, 0.5454545454545454, 0.36363636363636365, 0.85]",0.66
