Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,base,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de <extra_id_0> gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,| Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website te optimaliseren en uw gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,['website en het'],['website te optimaliseren en uw'],3,15,28,[0.6333333333333333],0.63
seq1-0,base,) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten <extra_id_0> Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (1366) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),['(13850) Omzetcijfers (13455)'],['(1366)'],3,15,18,[0.8571428571428571],0.86
seq2-0,base,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) <extra_id_0> Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Economie (1379) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['Verenigde Staten (13860)'],['Economie (1379)'],3,15,14,[0.7083333333333334],0.71
seq3-0,base,) Internationale economie (27514) Multinationals (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale <extra_id_0> (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),) Internationale bedrijven (18118) Investeringen (16523) Aandelen (14593) Verenigde Staten (13860) Omzetcijfers (13486) Arbeidsmarkt (12979) EU (11791) Jaarverslag (11240),['economie (27514) Multinationals'],['bedrijven'],3,15,13,[0.9032258064516129],0.9
seq4-0,base,) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten <extra_id_0> Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),) Internationale economie (27514) Multinationals (18118) Investeringen (16522) Aandelen (14591) Verenigde Staten (1366) Arbeidsmarkt (12979) EU (11788) Jaarverslag (11240),['(13860) Omzetcijfers (13485)'],['(1366)'],3,15,11,[0.8214285714285714],0.82
seq5-0,base, In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In <extra_id_0> wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,['De Vonk vertelt'],['vertelt'],3,15,11,[0.5333333333333333],0.53
seq6-0,base,(1) Internationale economie (27514) Multinationals (18118) Investeringen (16518) Aandelen (14590) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen <extra_id_0> Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),(1) Internationale economie (27514) Multinationals (18118) Investeringen (1688) Verenigde Staten (13860) Omzetcijfers (13485) Arbeidsmarkt (12979) EU (11781) Jaarverslag (11240),['(16518) Aandelen (14590)'],['(1688)'],3,15,10,[0.7916666666666666],0.79
seq7-0,base,In De Vonk vertelt wekelijks iemand over een beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks <extra_id_0> beslissend moment in zijn of haar loopbaan. Deze week:,In De Vonk vertelt wekelijks over een beslissend moment in zijn of haar loopbaan. Deze week:,['iemand over een'],['over een'],3,15,8,[0.4666666666666667],0.47
seq8-0,base,) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13862) Omzetcijfers (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde <extra_id_0> (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),) Internationale economie (27514) Multinationals (18134) Investeringen (16629) Aandelen (14714) Verenigde Staten (13595) Arbeidsmarkt (13011) EU (11889) Jaarverslag (11247),['Staten (13862) Omzetcijfers'],['Staten'],3,15,8,[0.7777777777777778],0.78
seq9-0,base,) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),<extra_id_0> (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),Fondsmanagers (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),[') Internationale economie'],['Fondsmanagers'],3,15,8,[0.8],0.8
seq10-0,base,en | Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,en | Het Financieele Dagblad FD.nl maakt gebruik van cookies om <extra_id_0> het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,en | Het Financieele Dagblad FD.nl maakt gebruik van cookies om de website en het gebruiksgemak te verbeteren. Voor meer informatie klik hier.X,['de website en'],['de website en'],3,15,8,[0.0],0.0
seq11-0,base,) FD Persoonlijk (1) Internationale economie (27514) Multinationals (18103) Investeringen (16375) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) FD Persoonlijk (1) Internationale economie (27514) <extra_id_0> Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),) FD Persoonlijk (1) Internationale economie (27514) Economie (27514) Aandelen (14436) Verenigde Staten (13850) Omzetcijfers (13455) Arbeidsmarkt (12921) EU (11642) Jaarverslag (11233),['Multinationals (18103) Investeringen (16375)'],['Economie (27514)'],4,15,8,[0.8409090909090909],0.84
seq12-0,base,Welk gesprek zette je aan het denken of in beweging? In de serie Het gesprek van je leven deze keer,Welk gesprek zette je aan het denken of in beweging? In de serie Het gesprek van je <extra_id_0>,Welk gesprek zette je aan het denken of in beweging? In de serie Het gesprek van je leven.,['leven deze keer'],['leven.'],3,15,7,[0.6666666666666666],0.67
seq13-0,base,) Internationale economie (27514) Multinationals (18114) Investeringen (16493) Aandelen (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),) Internationale economie (27514) Multinationals (18114) <extra_id_0> (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),) Internationale economie (27514) Multinationals (18114) Economie (14560) Verenigde Staten (13860) Omzetcijfers (13477) Arbeidsmarkt (12968) EU (11755) Jaarverslag (11238),['Investeringen (16493) Aandelen'],['Economie'],3,15,7,[0.9333333333333333],0.93
seq14-0,base,(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Omzetcijfers (13588) Arbeidsmarkt (13008) EU (11888) Jaarverslag (11247),(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) <extra_id_0> (13008) EU (11888) Jaarverslag (11247),(1) Internationale economie (27514) Multinationals (18134) Investeringen (16618) Aandelen (14707) Verenigde Staten (13862) Fonds (13008) EU (11888) Jaarverslag (11247),['Omzetcijfers (13588) Arbeidsmarkt'],['Fonds'],3,15,7,[0.9393939393939394],0.94
