Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
Na een kletsnatte maandag volgt een veelal wisselvallige en frisse week. Aangezien we midden in de piek van het hooikoortsseizoen zitten is dat goed nieuws voor hooikoortspatinten.,Na een kletsnatte maandag volgt een veelal wisselvallige en frisse <extra_id_0> we midden in de piek <extra_id_1> zitten is dat goed nieuws voor hooikoortspatinten.,"['week. Aangezien', 'van het hooikoortsseizoen']",5,20.0,1
"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in de wind heeft het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. Wasgoed heeft lust tot leven.","Was aan de lijn is een levend kunstwerk. <extra_id_0> een vaste volgorde, groot bij groot, soort bij soort, <extra_id_1> sok, kleur bij kleur. Daarbinnen kan alles. Een jurk in <extra_id_2> het drukdrukdruk, een overall spartelt of hij wordt gekieteld, een laken speelt spookje. <extra_id_3> tot leven.","['De was heeft', 'sok bij', 'de wind heeft', 'Wasgoed heeft lust']",11,20.0,1
"Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan een andere betekenis. Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere wereld is dagelijkse realiteit.","Sinds Raemon Sluiter de Oekraense Elina Svitolina coacht, heeft zijn baan <extra_id_0> Voor ons geldt: wij ontkomen er niet aan, de oorlog en de verdere <extra_id_1> realiteit.","['een andere betekenis.', 'wereld is dagelijkse']",6,20.0,1
"Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij groot, soort bij soort, sok bij sok, kleur bij kleur.","Was aan de lijn is een levend kunstwerk. De was heeft een vaste volgorde, groot bij <extra_id_0> soort, sok bij <extra_id_1> bij kleur.","['groot, soort bij', 'sok, kleur']",5,20.0,1
"Vanaf deze zomer kan er gesurft worden in een gracht, in hartje Rotterdam. Al kwam Rif010 niet zonder slag of stoot tot stand.","Vanaf deze zomer kan er gesurft <extra_id_0> gracht, in hartje Rotterdam. Al kwam Rif010 niet <extra_id_1> of stoot tot stand.","['worden in een', 'zonder slag']",5,20.0,1
"Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is op 89-jarige leeftijd overleden.","Theo Heuft, oprichter van Yab Yum, de roemruchte Amsterdamse seksclub in een 17e-eeuws grachtenpand, is <extra_id_0>",['op 89-jarige leeftijd overleden.'],4,20.0,1
"OpenAI, het bedrijf achter ChatGPT, schort een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","OpenAI, het <extra_id_0> een AI-stem op die sterk aan de stem van actrice Scarlett Johansson doet denken.","['bedrijf achter ChatGPT, schort']",4,20.0,1
"Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen Britten de hand leggen op een papieren koning Charles III van het Verenigd Koninkrijk.","Voor het eerst sinds hij twee jaar geleden de troon besteeg, kunnen <extra_id_0> hand leggen op een papieren koning Charles <extra_id_1> Verenigd Koninkrijk.","['Britten de', 'III van het']",5,20.0,1
"Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de Nederlandse markt veroverd hebben, zoeken ze naar andere manieren om hun inkomsten op te krikken.","Film- en serieliefhebbers zijn steeds meer geld kwijt aan streamingdiensten als Netflix, Videoland en Disney Plus. Nu de diensten een plek op de <extra_id_0> hebben, <extra_id_1> naar andere manieren om hun <extra_id_2> krikken.","['Nederlandse markt veroverd', 'zoeken ze', 'inkomsten op te']",8,20.0,1
"De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider Geert Wilders dinsdag weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard van Zwol nog deze week met het ontvangen van de kandidaat-bewindslieden.","De formerende partijen hebben een akkoord bereikt over de verdeling van de ministerposten in het kabinet-Schoof. Dat laat PVV-leider <extra_id_0> weten: We zijn eruit. Goed nieuws, de rest horen jullie later. Naar verwachting begint formateur Richard <extra_id_1> deze week <extra_id_2> de kandidaat-bewindslieden.","['Geert Wilders dinsdag', 'van Zwol nog', 'met het ontvangen van']",10,20.0,1
"Ze zorgen al lange tijd voor grote problemen op verschillende plekken in Utrecht: drugsgebruikers op straat. Vorig jaar zorgden zon 120 verslaafden op het Lucasbolwerk voor overlast, maar nadat daar maatregelen werden genomen, verplaatste de groep zich naar Park Lepelenburg.","Ze zorgen al lange tijd voor grote problemen op verschillende plekken in Utrecht: drugsgebruikers op straat. Vorig jaar zorgden zon 120 <extra_id_0> het Lucasbolwerk voor overlast, maar nadat daar maatregelen werden <extra_id_1> groep zich <extra_id_2>","['verslaafden op', 'genomen, verplaatste de', 'naar Park Lepelenburg.']",8,20.0,1
"Het campagneteam van de Amerikaanse president Joe Biden heeft een nieuwe vacature: een meme-manager, die moet zorgen dat filmpjes en fotos die Biden aantrekkelijk maken voor jongeren viraal gaan.","Het campagneteam van de Amerikaanse president Joe Biden heeft een nieuwe vacature: een meme-manager, die moet zorgen dat <extra_id_0> die <extra_id_1> voor jongeren viraal gaan.","['filmpjes en fotos', 'Biden aantrekkelijk maken']",6,20.0,1
