Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,large,"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de rubriek Aan de grens bericht De <extra_id_0> laatste cijfers <extra_id_1> het <extra_id_2> vluchtelingen, migranten en grensbeleid. Deze week:","In de rubriek Aan de grens bericht De Tijd de laatste cijfers over het aantal vluchtelingen, migranten en grensbeleid. Deze week:","['Groene over de', 'en ontwikkelingen op', 'gebied van']","['Tijd de', 'over', 'aantal']",8,30,24,"[0.7857142857142857, 0.9, 0.9]",0.86
seq1-0,large,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje <extra_id_0> over Nederland aan de hand van <extra_id_1>,In zijn Kleine encyclopedie schetst Herman Vuijsje een beeld over Nederland aan de hand van de...,"['nieuwe inzichten', 'neologismen. Deze week:']","['een beeld', 'de...']",5,30,17,"[0.8125, 0.9130434782608695]",0.86
seq2-0,large, altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. <extra_id_0> verslag van haar bevindingen <extra_id_1> bij <extra_id_2> ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. Een verslag van haar bevindingen komt bij haar als ze leest. Deze week:,"['Hier doet ze', 'en overwegingen', 'de boeken die']","['Een', 'komt', 'haar als']",8,30,14,"[0.9166666666666666, 0.9333333333333333, 0.9230769230769231]",0.92
seq3-0,large,"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, <extra_id_0> Of het nu een tv-optreden bij de VPRO was <extra_id_1> op een theaterfestival, de VVD-leider <extra_id_2> in <extra_id_3> hem opent <extra_id_4> het <extra_id_5>","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was CDA-leider Rutte. Of het nu een tv-optreden bij de VPRO was of op een theaterfestival, de VVD-leider stond in Voor hem opent Rutte het","['was Frits Bolkestein.', 'of een toespraak', 'stond steeds weer', 'het nieuws. Met', 'De Groene daarom', 'nieuwe politieke jaar.']","['was CDA-leider Rutte.', 'of', 'stond', 'Voor', 'Rutte', '']",18,30,12,"[0.7619047619047619, 0.875, 0.7058823529411765, 1.0, 0.9375, 1.0]",0.88
seq4-0,large,Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper <extra_id_0> over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper van der Laan over het Amerika van Donald Trump. In aflevering,['Thomas schrijft vanuit Washington'],['van der Laan'],4,30,11,[0.7878787878787878],0.79
seq5-0,large,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene <extra_id_0> meest in <extra_id_1> cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer geven het meest in in de cultuur van het nieuwe kunstseizoen. Tip,"['Amsterdammer selecteerden de', 'het oog springende']","['Amsterdammer geven het', 'in de']",6,30,11,"[0.39285714285714285, 0.7777777777777778]",0.59
seq6-0,large,. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,. Onze podcast is elke <extra_id_0> beschikbaar via groene.nl/podcasts en via <extra_id_1> podcastkanalen,. Onze podcast is elke dag beschikbaar via groene.nl/podcasts en via onze podcastkanalen,"['vrijdagochtend gratis', 'de andere bekende']","['dag', 'onze']",5,30,10,"[0.8571428571428571, 0.8823529411764706]",0.87
seq7-0,large,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. Hoe hield ze zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven <extra_id_0> Hoe hield ze <extra_id_1> het bewind <extra_id_2>,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven Hoe hield ze zich aan het bewind,"['in dictatoriaal Roemeni.', 'zich staande onder', 'van Ceauescu? Deel']","['', 'zich aan', '']",9,30,10,"[1.0, 0.5555555555555556, 1.0]",0.85
seq8-0,large,"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","<extra_id_0> geworden van de PvdA, <extra_id_1> moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","is geworden van de PvdA, op zo’n moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","['Frans Verhagen is lid', 'want op dit']","['is', 'op zo’n']",7,30,9,"[0.9047619047619048, 0.8181818181818182]",0.86
seq9-0,large,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers <extra_id_0> de <extra_id_1> aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers uit de hele wereld. In deze aflevering,"['over corona in', 'internationale pers. In']","['uit', 'hele wereld. In deze']",6,30,9,"[0.9285714285714286, 0.8695652173913043]",0.9
seq10-0,large,"Terwijl de pest op de deur klopte, vertelden de Florentijnse jongeren van Giovanni Boccaccio elkaar sterke verhalen over verliefdheid, waanzin en bedrog om de verveling van hun quarantaine te doorbreken. Nu, zevenhonderd jaar later, kunnen we die traditie voortzetten. Verteller nummer","Terwijl de <extra_id_0> deur klopte, vertelden <extra_id_1> van Giovanni Boccaccio elkaar sterke verhalen over verliefdheid, waanzin en bedrog <extra_id_2> van hun quarantaine te doorbreken. Nu, zevenhonderd jaar later, kunnen we <extra_id_3> Verteller nummer","Terwijl de quarantaine aan de deur klopte, vertelden de vrienden van Giovanni Boccaccio elkaar sterke verhalen over verliefdheid, waanzin en bedrog om de sfeer van hun quarantaine te doorbreken. Nu, zevenhonderd jaar later, kunnen we Verteller nummer","['pest op de', 'de Florentijnse jongeren', 'om de verveling', 'die traditie voortzetten.']","['quarantaine aan de', 'de vrienden', 'om de sfeer', '']",12,30,8,"[0.7222222222222222, 0.625, 0.5333333333333333, 1.0]",0.72
seq11-0,large,Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit <extra_id_0> Amerika van Donald Trump. <extra_id_1>,Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit het Amerika van Donald Trump. Bekijk hier.,"['Washington over het', 'In aflevering']","['het', 'hier.']",5,30,8,"[0.8421052631578947, 0.8461538461538461]",0.84
seq12-0,large,De komende maanden onderzoeken journalisten Hidde Boersma en Janno Lanjouw hoe de Nederlandse landbouw de stap probeert te zetten naar een milieuvriendelijkere toekomst. Deze week:,De komende maanden onderzoeken journalisten <extra_id_0> en Janno <extra_id_1> Nederlandse landbouw de stap probeert te zetten naar een <extra_id_2> week:,De komende maanden onderzoeken journalisten Willem en Janno Hoe de Nederlandse landbouw de stap probeert te zetten naar een Deze week:,"['Hidde Boersma', 'Lanjouw hoe de', 'milieuvriendelijkere toekomst. Deze']","['Willem', 'Hoe de', 'Deze']",8,30,8,"[0.7692307692307693, 0.6428571428571429, 0.8857142857142857]",0.77
seq13-0,large,"getelde doden en vermisten op de Middellandse Zee was deze week, volgens het Missing Migrants Project (IOM):","<extra_id_0> en vermisten op de Middellandse Zee was deze week, volgens <extra_id_1> Project (IOM):","vluchtelingen en vermisten op de Middellandse Zee was deze week, volgens het Internationale Organisation for Migration Project (IOM):","['getelde doden', 'het Missing Migrants']","['vluchtelingen', 'het Internationale Organisation for Migration']",5,30,7,"[0.7692307692307693, 0.6888888888888889]",0.73
seq14-0,large,Ter gelegenheid van het verschijnen van het volledige vertaalde oeuvre van Sigmund Freud in Nederland herleest Hans Driessen,Ter gelegenheid van <extra_id_0> het volledige vertaalde oeuvre van Sigmund Freud in <extra_id_1> Hans Driessen,Ter gelegenheid van zijn dood werd het volledige vertaalde oeuvre van Sigmund Freud in vertaling vertaald door Hans Driessen,"['het verschijnen van', 'Nederland herleest']","['zijn dood werd', 'vertaling vertaald door']",5,30,7,"[0.9473684210526315, 0.6956521739130435]",0.82
seq15-0,large,"de aflevering van Boeken FM, de literatuurpodcast van De Groene en uitgeverij Das Mag, bespreken Joost de Vries en Ellen Deckwitz onder leiding van Peter Buurman","de aflevering van Boeken FM, de literatuurpodcast van <extra_id_0> uitgeverij <extra_id_1> bespreken Joost de Vries en Ellen <extra_id_2> van Peter Buurman","de aflevering van Boeken FM, de literatuurpodcast van de uitgeverij bespreken Joost de Vries en Ellen van der Zwaag de nieuwe roman van Peter Buurman","['De Groene en', 'Das Mag,', 'Deckwitz onder leiding']","['de', '', 'van der Zwaag de nieuwe roman']",8,30,7,"[0.9166666666666666, 1.0, 0.8275862068965517]",0.91
seq16-0,large,"Voor de blog Terug naar Welkom reist journalist Margalith Kleijwegt terug naar het Zuid-Afrikaanse Welkom, een mijnstadje dat ze 27 jaar geleden voor het eerst bezocht samen met fotograaf Ad van Denderen. In deel","Voor de blog Terug naar Welkom reist journalist Margalith Kleijwegt terug naar het Zuid-Afrikaanse Welkom, een <extra_id_0> 27 jaar geleden voor het <extra_id_1> met <extra_id_2> In deel","Voor de blog Terug naar Welkom reist journalist Margalith Kleijwegt terug naar het Zuid-Afrikaanse Welkom, een plaats waar 27 jaar geleden voor het eerst met een... In deel","['mijnstadje dat ze', 'eerst bezocht samen', 'fotograaf Ad van Denderen.']","['plaats waar', 'eerst', 'een...']",10,30,7,"[0.8235294117647058, 0.7368421052631579, 0.8846153846153846]",0.81
seq17-0,large,cultuurtips voor dit weekend (en de komende week)  De Groene Amsterdammer Kunst & Cultuur Aanbevolen,cultuurtips voor dit weekend (en de komende week) De Groene <extra_id_0> Aanbevolen,cultuurtips voor dit weekend (en de komende week) De Groene Haven Aanbevolen,['Amsterdammer Kunst & Cultuur'],['Haven'],4,30,6,[0.8928571428571429],0.89
seq18-0,large,"zit vol problemen die niemand lijkt te kunnen oplossen. Wie niet goed begrijpt hoe die wereld werkt, is niet gek of dom. Want de wereld s ook complexer, chaotischer en moeilijker te besturen dan voorheen. In een serie interviews laat De Groene","zit vol problemen die niemand <extra_id_0> Wie niet goed <extra_id_1> wereld werkt, is <extra_id_2> dom. Want de wereld s ook complexer, chaotischer en moeilijker te besturen dan voorheen. In een serie <extra_id_3> Groene","zit vol problemen die niemand weet. Wie niet goed weet hoe de wereld werkt, is ook dom. Want de wereld s ook complexer, chaotischer en moeilijker te besturen dan voorheen. In een serie artikelen van André Groene","['lijkt te kunnen oplossen.', 'begrijpt hoe die', 'niet gek of', 'interviews laat De']","['weet.', 'weet hoe de', 'ook', 'artikelen van André']",13,30,6,"[0.88, 0.4375, 0.9090909090909091, 0.8421052631578947]",0.77
seq19-0,large,"In aanloop naar de gemeenteraadsverkiezingen in Rotterdam, waar zowel alle landelijke politieke partijen als vele nieuwkomers aan deelnemen, bloggen Guido van Eijck en Saskia Naafs over de belangrijkste verkiezingsthemas in de Maasstad.","In aanloop <extra_id_0> in Rotterdam, waar zowel <extra_id_1> partijen als vele nieuwkomers aan deelnemen, bloggen Guido van Eijck en Saskia Naafs over de belangrijkste <extra_id_2>","In aanloop op de verkiezingen in Rotterdam, waar zowel oude partijen als vele nieuwkomers aan deelnemen, bloggen Guido van Eijck en Saskia Naafs over de belangrijkste vragen.","['naar de gemeenteraadsverkiezingen', 'alle landelijke politieke', 'verkiezingsthemas in de Maasstad.']","['op de verkiezingen', 'oude', 'vragen.']",10,30,6,"[0.5151515151515151, 0.92, 0.8181818181818182]",0.75
seq20-0,large,"virtuele rondleidingen door musea, spontane optredens op Instagram en een enkele all-time favourite van een van onze kunstcritici.","virtuele rondleidingen door musea, spontane <extra_id_0> Instagram en een <extra_id_1> van een van onze kunstcritici.","virtuele rondleidingen door musea, spontane berichten op Instagram en een reactie van een van onze kunstcritici.","['optredens op', 'enkele all-time favourite']","['berichten op', 'reactie']",5,30,6,"[0.6666666666666666, 0.8]",0.73
seq21-0,large,"Iedere maand selecteert de boekenredactie van De Groene, uit alle in de voorafgaande maand besproken boeken, d","Iedere maand selecteert <extra_id_0> van De <extra_id_1> in de voorafgaande maand besproken boeken, d","Iedere maand selecteert de redactie van De Boekenkrant de in de voorafgaande maand besproken boeken, d","['de boekenredactie', 'Groene', 'uit alle']","['de redactie', 'Boekenkrant de']",5,30,6,"[0.35294117647058826, 0.7857142857142857]",0.57
seq22-0,large,Marja Pruis leest altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,Marja Pruis leest altijd meer dan ze kan of wil <extra_id_0> ze verslag van haar bevindingen en overwegingen bij de <extra_id_1> ze <extra_id_2>,Marja Pruis leest altijd meer dan ze kan of wil Daarom doet ze verslag van haar bevindingen en overwegingen bij de ze,"['bespreken. Hier doet', 'boeken die', 'leest. Deze week:']","['Daarom doet', '', '']",8,30,6,"[0.7, 1.0, 1.0]",0.9
seq23-0,large,"- ZEER GEHEIM. MINISTERRAAD NR. 15616. Notulen van de vergadering gehouden dinsdag 11 juli 1995 op het ministerie van Defensie, aangevangen s avonds om half acht. pag.","- ZEER GEHEIM. MINISTERRAAD NR. 15616. Notulen van de vergadering gehouden dinsdag 11 juli 1995 <extra_id_0> van Defensie, aangevangen <extra_id_1> half <extra_id_2>","- ZEER GEHEIM. MINISTERRAAD NR. 15616. Notulen van de vergadering gehouden dinsdag 11 juli 1995 in het Ministerie van Defensie, aangevangen met het half uur.","['op het ministerie', 's avonds om', 'acht. pag.']","['in het Ministerie', 'met het', 'uur.']",8,30,6,"[0.17647058823529413, 1.0, 0.9]",0.69
