Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
.  Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we <extra_id_0> aan een Nederlander. Vandaag:,['elke week'],2,19
Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor <extra_id_0> sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,['de AD'],2,16
Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter <extra_id_0> Vandaag:,['het nieuws.'],2,16
"Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Tip van de BaasWie <extra_id_0> baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven <extra_id_1> Vandaag:","['beter dan de', 'hn beste tips.']",6,14
David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste land van de wereld maken.,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste <extra_id_0> de wereld maken.,['land van'],2,14
"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in <extra_id_0> League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma <extra_id_1>","['League A en', 'van de belangrijkste oefeninterlands.']",7,14
"Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld <extra_id_0> het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.",['kijkt al volop naar'],5,13
"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze <extra_id_0> doorheen te bladeren. 1",['te vergroten en er'],5,12
"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt met de <extra_id_0> Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",['jaren. Omdat acteur'],3,12
"De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, <extra_id_0> al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.",['maar veel clubs hebben'],5,12
"De eerste race van het seizoen zit er op, maar wanneer mogen we ons weer verheugen op Max Verstappen en co? Bekijk hieronder de F1-kalender en zie gelijk hoe laat de wekker gezet moet worden.","De eerste race <extra_id_0> er op, maar wanneer mogen we ons weer verheugen op Max Verstappen en co? Bekijk hieronder de F1-kalender en zie gelijk hoe laat de wekker gezet moet worden.",['van het seizoen zit'],5,12
