Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,Je gaat het pas zien als je het doorhebt.* Wieteke van Zeil over opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke <extra_id_0> opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,Je gaat het pas zien als je het doorhebt.* Wieteke is een opmerkelijke en veelbetekenende bijzaken in de beeldende kunst. Deze week:,['van Zeil over'],['is een'],3,15,20,[0.7692307692307693],0.77
seq1-0,small,"In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben elkaar op. In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week door de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben <extra_id_0> de rubriek Luie Luisteraar loodst Volkskrant.nl je elke <extra_id_1> nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","In razend tempo volgen de nieuwe bandjes, beloftes en platen-die-je-geluisterd-moet-hebben In de rubriek Luie Luisteraar loodst Volkskrant.nl je elke week de nieuwste releases en selecteert de drie platen die je niet mag missen. Deze week:","['elkaar op. In', 'week door de']","['In', 'week de']",6,15,19,"[0.8461538461538461, 0.4166666666666667]",0.63
seq2-0,small,| De Volkskrant Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,<extra_id_0> Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,Wat zullen we eens eten vanavond? Iedere dag in de Volkskrant een verrassend recept. Vandaag:,['| De Volkskrant'],[''],3,15,19,[1.0],1.0
seq3-0,small,Denkfouten in hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door <extra_id_0> cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in hedendaags ontwerp gefileerd door ( cabaretier) Jasper van Kuijk. Deze week:,['innovatie-expert (en'],['('],2,15,18,[0.95],0.95
seq4-0,small,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert (en cabaretier) Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert <extra_id_0> Jasper van Kuijk. Deze week:,Denkfouten in het hedendaags ontwerp gefileerd door innovatie-expert Jasper van Kuijk. Deze week:,['(en cabaretier)'],[''],2,15,18,[1.0],1.0
seq5-0,small,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de Volkskrant die kwestie aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de <extra_id_0> aan de orde.,Wat betekent het om nu vrouw te zijn? In een reeks interviews stelt de vrouw aan de orde.,['Volkskrant die kwestie'],['vrouw'],3,15,17,[0.9090909090909091],0.91
seq6-0,small,"Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op een rijtje. Deze week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op <extra_id_0> week:","Volkskrant.nl zet elke zondag de leukste, handigste en meest informatieve apps voor u op de week:",['een rijtje. Deze'],['de'],3,15,16,[0.9375],0.94
seq7-0,small,"Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst. Deze week:","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende <extra_id_0>","Wekelijks nemen de cultuurspecialisten van de Volkskrant stelling in de wereld van film, muziek, theater of beeldende kunst.",['kunst. Deze week:'],['kunst.'],3,15,15,[0.6470588235294118],0.65
seq8-0,small,"Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse alternatieven. Zoals voor","Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse <extra_id_0> voor","Ook zon hekel aan onnodig Engels? Help ons dan aan bruikbare, Nederlandse taal voor",['alternatieven. Zoals'],['taal'],2,15,15,[0.8],0.8
seq9-0,small,"Kookboekenmaker, kok en illustrator Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, <extra_id_0> Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:","Kookboekenmaker, schrijver Yvette van Boven maakt een seizoensrecept plus een recept om de restjes op te maken. Deze week:",['kok en illustrator'],['schrijver'],3,15,15,[0.8888888888888888],0.89
