Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Masking percentage,Duplicate count
"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de rubriek Aan de grens bericht De Groene over de laatste <extra_id_0> ontwikkelingen op het gebied van vluchtelingen, migranten <extra_id_1> week:","['cijfers en', 'en grensbeleid. Deze']",5,20.0,24
In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand <extra_id_0>,['van neologismen. Deze week:'],4,20.0,17
 altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. Hier <extra_id_0> verslag van <extra_id_1> overwegingen bij de boeken die ze leest. Deze week:,"['doet ze', 'haar bevindingen en']",5,20.0,14
"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu <extra_id_0> de VPRO was of een <extra_id_1> theaterfestival, de VVD-leider stond steeds weer in <extra_id_2> hem opent De Groene <extra_id_3> politieke jaar.","['een tv-optreden bij', 'toespraak op een', 'het nieuws. Met', 'daarom het nieuwe']",12,20.0,12
Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald <extra_id_0>,['Trump. In aflevering'],3,20.0,11
De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer selecteerden <extra_id_0> oog springende cultuur van het nieuwe kunstseizoen. Tip,['de meest in het'],4,20.0,11
. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,. Onze podcast is elke <extra_id_0> via groene.nl/podcasts en via de andere bekende podcastkanalen,['vrijdagochtend gratis beschikbaar'],3,20.0,10
Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. Hoe hield ze zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal <extra_id_0> ze zich staande <extra_id_1> van Ceauescu? Deel,"['Roemeni. Hoe hield', 'onder het bewind']",6,20.0,10
"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, want <extra_id_0> in <extra_id_1> kun je niet meer blijven toekijken. Deze week:","['op dit moment', 'de geschiedenis']",5,20.0,9
De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona <extra_id_0> In aflevering,['in de internationale pers.'],4,20.0,9
"Terwijl de pest op de deur klopte, vertelden de Florentijnse jongeren van Giovanni Boccaccio elkaar sterke verhalen over verliefdheid, waanzin en bedrog om de verveling van hun quarantaine te doorbreken. Nu, zevenhonderd jaar later, kunnen we die traditie voortzetten. Verteller nummer","Terwijl de pest op de deur klopte, vertelden de Florentijnse jongeren van Giovanni Boccaccio elkaar sterke verhalen <extra_id_0> en bedrog <extra_id_1> van hun quarantaine te doorbreken. <extra_id_2> jaar later, kunnen we die traditie voortzetten. Verteller nummer","['over verliefdheid, waanzin', 'om de verveling', 'Nu, zevenhonderd']",8,20.0,8
Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft de komende tijd regelmatig vanuit Washington over <extra_id_0> Trump. In aflevering,['het Amerika van Donald'],4,20.0,8
