,text,text_count
0,Vier boeken zoeken antwoorden Over de toekomst van welk land gáán de verkiezingen eigenlijk.  Vier boeken zoeken het antwoord,1
5,"Populisten in Zweden beschuldigen sociaal-democraten van racisme – onterecht volgens historici De extreem-rechtse Zweden Democraten, beschuldigd van racisme, stellen in een campagnefilm dat het juist de Sociaaldemocraten zijn die nazistische wortels hebben.  Historici maken gehakt van de claims",1
10,Gratis busvervoer ontlokt op A44 geen daverend gejuich Zuid-Holland experimenteert een jaar met snelle en gratis busritten van Leiden naar Den Haag.  De provincie is vol goede moed; de passagier 'moet het nog zien',1
17,"Hayarpi Tamrazyan is al sinds 2010 met haar Armeense familie in Nederland, maar ze weten niet of ze hier mogen blijven.  Beeld Arie Kieviet Zolang er een kerkdienst gaande is, mag de Dienst Terugkeer en Vertrek de kerk niet in, is het idee",1
20,"bellen metlandbouwverslaggever pieter hotse smit En weer trekken de boze boeren op naar Den Haag om te demonstreren tegen het stikstofbeleid van het kabinet.  Op het Malieveld zijn ze deze keer niet welkom, op het naastgelegen park Koekamp wel",1
25,"Smartfoto's De beste camera, zeggen fotografen, is de camera die je bij je hebt.  En dat is steeds vaker een iPhone",1
38,Geldvraag Duurzaam verbouwen Ons hypotheekvrije woning uit 1978 is toe aan verbetering.  We willen de verbouwing combineren met energiebesparende maatregelen,1
43,"Maffia zet rabbijn in Geslaagde thriller vol spitse dialogen 26 maart 2016, 02:00 Als een man van wie je vermoedt dat hij een huurmoordenaar is, in Las Vegas tegen je zegt dat 'we een stukje gaan rijden', dan weet je wel hoe laat het is.  En inderdaad, na een paar onnavolgbare dialogen is het zover, waarna de hitman tevreden kan constateren dat 'de menselijke schedel de allerbeste geluidsdemper is'",1
48,"Het sluitstuk van de Berber-bibliotheek en de levenslessen van Pieter Winsemius Pieter Winsemius over domme vragen, vrouwelijke wetenschappers die correspondeerden met Darwin en het sluitstuk van de Berber-bibliotheek.  Michail Saltykov-Sjtsjedrin Pegasus, € 21,50 Van de Russische satiricus Michail Saltykov-Sjtsjedrin (1826-1889) was tot dusver maar weinig in het Nederlands vertaald",1
53,"Just Fontein, Pieter Hotse Smit en Lennart Bloemhof 14 augustus 2016, 19:50 03. 25 uur, atletiek, 100 meter (m) De Jamaicaan beloofde al dat er geschiedenis geschreven zal worden",1
58,"Tijdens het snoeien van de tuin komt dr.  Alzheimer op bezoek Toine Heijmans 17 augustus 2018, 15:00 De vader van Toine Heijmans in Frankrijk, 1983",1
63,"Vooruit: een voor allen, en allen voor een Het uitstellen van besluiten is een hogere kunst in het Midden-Oosten.  Leven met het mes op de keel is een alledaags gevoel voor Israëli’s, Palestijnen en andere buurtbewoners",1
68,"Oud-Kamervoorzitter Brazilië 15 jaar cel in voor corruptie De voormalige Kamervoorzitter van Brazilië, Eduardo Cunha, is donderdag schuldig bevonden aan corruptie en veroordeeld tot een gevangenisstraf van ruim vijftien jaar.  Cunha, die in september uit zijn ambt werd gezet, speelde een sleutelrol in het gedwongen vertrek van president Dilma Rousseff",1
78,Time roept Angela Merkel uit tot 'Persoon van het Jaar' De Duitse bondskanselier Angela Merkel is door Time Magazine verkozen tot persoon van het jaar.  Dat heeft het tijschrift woensdag bekendgemaakt in de Amerikaanse ochtendshow Today Show,1
83,"Left, alone is onderhoudend, maar te bescheiden De componist die met sopraan Barbara Hannigan wereldfaam verwierf, brengt nu een ongewoon, onderhoudend pianostuk.  Merlijn Kerkhof 12 december 2016, 2:00 Pianist Alexandre Tharaud",1
88,"Joost de Vries 1 september 2017, 11:49 SP-Tweede Kamerlid Sharon Gesthuizen en Jan Marijnissen.  Beeld anp Uit idealisme sloot Gesthuizen zich als jonge vrouw van halverwege de twintig aan bij de SP",1
93,"Webcamlieveling oehoe laat zich even niet zien VAN ONZE VERSLAGGEVER CASPAR JANSSEN 3 maart 2014, 0:00 AMSTERDAM - De oehoe wil niet in beeld, dit ",1
103,"Redactie 27 augustus 2016, 21:30 De Turkse president Recep Tayyip Erdogan en minister-president Mark Rutte tijdens een gezamenlijke persconferentie in 2011.  Beeld anp Een Turkse consul-generaal stuurde een paar weken geleden een brief aan enkele burgemeesters in de Rijnmond over hoe te handelen bij demonstraties van tegenstanders van de Turkse regering",1
108,"'Laat je patiënt niet barsten' De zorgverlener kijkt alleen maar in z'n paperassen en niet meer naar de patiënt, zegt ethica Annelies van Heijst.  Zij pleit voor presentiezorg: houd mensen weg uit die peperdure ziekenhuismolen maar blijf ze wel nabij",1
113,"Voor wie snel de knop omzet en breed zoekt, is er gerust uitzicht op ander werk.  En echt niet alleen voor de jongeren",1
123,"Uit eten Bar-Bistro Madeleine Bij Bar-Bistro Madeleine in Utrecht mag alles Niks fijner dan een restaurant waar ze preciés alles serveren waarvan je nog niet wist dat je er zin in had.  Met grote goedgezindheid, sjeu en smaak: Madeleine in Utrecht is een echte aanrader",1
128,"30 jaar na Tsjernobylramp duiken opeens radioactieve wilde zwijnen op in Zweden Zwijnen eten truffels die straling bevatten van de Tsjernobylramp in 1986 Eric Van Den Outenaar 9 oktober 2017, 19:06 Een wild zwijn.  Foto anp De nieuwkomers steken hun snuiten diep in de aarde en verorberen truffels en paddenstoelensoorten die na al die jaren nog relatief hoge concentraties bevatten van de radioactieve stof Cesium-137",1
133,"De huidige president van de Europese Centrale Bank (ECB) dreigt een uniek record neer te zetten.  Mario Draghi heeft als hij dit najaar aftreedt, in zijn hele ambtstermijn van acht jaar nooit de rente verhoogd",1
138,"Advertentie van Open Universiteit Hoogleraar Lilian Lechner: ‘Sociale media kunnen het welzijn van eenzame ouderen verhogen’ Nederland vergrijst en telt steeds meer alleenwonende ouderen.  Sociale media kunnen helpen om bij hen gevoelens van eenzaamheid en onveiligheid te voorkomen, stelt gezondheidspsychologe Lilian Lechner",1
143,Shorttracker Sjinkie Knegt kan zich vandaag bij de Olympische Spelen opmaken voor zijn eerste finale.  De Fries bereikte de eindstrijd op de 1000 meter,1
148,Patstelling rond verkoop blank kalfsvlees Het staakt-het-vuren in het kalfsvleesconflict lijkt een kortstondig leven beschoren.  Een woordvoerster van Wakker Dier liet vrijdag weten dat de dierenwelzijnsorganisatie ‘zeer waarschijnlijk’ haar campagne tegen de verkoop van blank kalfsvlees hervat,1
