Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,small,.  Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we elke week aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we <extra_id_0> aan een Nederlander. Vandaag:,. Thijmen Geluk SalarisHoeveel verdien je? Dat vragen we zeker aan een Nederlander. Vandaag:,['elke week'],['zeker'],2,15,19,[0.7777777777777778],0.78
seq1-0,small,Meld je aan voor de AD sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor <extra_id_0> sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,Meld je aan voor een sportnieuwsbrief en ontvang dagelijks een overzicht van het belangrijkste sportnieuws,['de AD'],['een'],2,15,16,[0.8],0.8
seq2-0,small,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter het nieuws. Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter <extra_id_0> Vandaag:,Fotograaf Nico Brons en verslaggever Wichard Maassen nemen wekelijks een kijkje achter Vandaag:,['het nieuws.'],[''],2,15,16,[1.0],1.0
seq3-0,small,"Tip van de BaasWie beter dan de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven hn beste tips. Vandaag:","Tip van de BaasWie <extra_id_0> baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven <extra_id_1> Vandaag:","Tip van de BaasWie de baas weet hoe het werkt op de werkvloer. Hoe je opvalt, wanneer je om meer loon vraagt en wat helpt om verder te komen. Zij geven tips Vandaag:","['beter dan de', 'hn beste tips.']","['de', 'tips']",6,15,14,"[0.8333333333333334, 0.7142857142857143]",0.77
seq4-0,small,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste land van de wereld maken.,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste <extra_id_0> de wereld maken.,David en Arjan van 365dagensuccesvol.nl hebben n doel: Nederland het gelukkigste van de wereld maken.,['land van'],['van'],2,15,14,[0.625],0.62
seq5-0,small,"De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in League A en League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma van de belangrijkste oefeninterlands.","De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in <extra_id_0> League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma <extra_id_1>","De Nations League, de nieuwe Europese competitie voor landenteams, is de derde competitieronde ingegaan. Dit is het programma in de League B van deze en volgende week. Ook vermelden we hier komende week alle uitslagen, de stand n het programma","['League A en', 'van de belangrijkste oefeninterlands.']","['de', '']",7,15,14,"[0.9090909090909091, 1.0]",0.95
seq6-0,small,"Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld kijkt al volop naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld <extra_id_0> het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.","Het seizoen 2017-2018 is nog niet eens afgelopen, maar de voetbalwereld gaat zeker terug naar het nieuwe seizoen. In onze TransferTalk houden we komende zomer alle geruchten en voltooide transfers bij.",['kijkt al volop naar'],['gaat zeker terug naar'],5,15,13,[0.6666666666666666],0.67
seq7-0,small,"De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze te vergroten en er doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze <extra_id_0> doorheen te bladeren. 1","De beeldredactie ziet dagelijks duizenden nieuwsfotos. In deze rubriek worden de opvallendste, mooiste of meest bijzondere fotos geselecteerd. Klik op een van de beelden om deze pagina doorheen te bladeren. 1",['te vergroten en er'],['pagina'],5,15,12,[0.8888888888888888],0.89
seq8-0,small,"Wijsheid komt met de jaren. Omdat acteur Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt met de <extra_id_0> Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.","Wijsheid komt met de vraag of Joost Prinsen (77) een eind op weg is, beantwoordt hij uw vragen.",['jaren. Omdat acteur'],['vraag of'],3,15,12,[0.8421052631578947],0.84
seq9-0,small,"De transfermarkt draait op volle toeren, maar veel clubs hebben al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, <extra_id_0> al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.","De transfermarkt draait op volle toeren, er komen al meerdere aanwinsten al binnen. In dit overzicht houden we alle inkomende en uitgaande transfers van de eredivisieclubs van deze zomer bij.",['maar veel clubs hebben'],['er komen'],5,15,12,[0.8181818181818182],0.82
