Sequence id,Model size,Input sequence (ground truth),Input sequence (masked),Model output sequence,Masked tokens,Filled tokens,Number of masked tokens,Masking percentage,Duplicate count,Levenshtein distances,Levenshtein distance (avg)
seq0-0,xl,"In de rubriek Aan de grens bericht De Groene over de laatste cijfers en ontwikkelingen op het gebied van vluchtelingen, migranten en grensbeleid. Deze week:","In de rubriek Aan de grens bericht De Groene over de laatste <extra_id_0> ontwikkelingen op het gebied van vluchtelingen, migranten <extra_id_1> week:","In de rubriek Aan de grens bericht De Groene over de laatste actuele ontwikkelingen op het gebied van vluchtelingen, migranten en asielzoekers. Deze week:","['cijfers en', 'en grensbeleid. Deze']","['actuele', 'en asielzoekers. Deze']",5,20,24,"[0.8, 0.42857142857142855]",0.61
seq1-0,xl,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van neologismen. Deze week:,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand <extra_id_0>,In zijn Kleine encyclopedie schetst Herman Vuijsje nieuwe inzichten over Nederland aan de hand van historische...,['van neologismen. Deze week:'],['historische...'],4,20,17,[0.8518518518518519],0.85
seq2-0,xl, altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar bevindingen en overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. Hier <extra_id_0> verslag van <extra_id_1> overwegingen bij de boeken die ze leest. Deze week:,altijd meer dan ze kan of wil bespreken. Hier doet ze verslag van haar overwegingen bij de boeken die ze leest. Deze week:,"['doet ze', 'haar bevindingen en']","['doet ze', 'haar']",5,20,14,"[0.0, 0.7894736842105263]",0.39
seq3-0,xl,"De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een tv-optreden bij de VPRO was of een toespraak op een theaterfestival, de VVD-leider stond steeds weer in het nieuws. Met hem opent De Groene daarom het nieuwe politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu <extra_id_0> de VPRO was of een <extra_id_1> theaterfestival, de VVD-leider stond steeds weer in <extra_id_2> hem opent De Groene <extra_id_3> politieke jaar.","De zomerslaap is voorbij, het politieke seizoen is begonnen. De enige die gedurende de lange, landerige zomer nog voor politieke opwinding wist te zorgen, was Frits Bolkestein. Of het nu een presentatie van de VPRO was of een politiek theaterfestival, de VVD-leider stond steeds weer in de belangstelling. Met hem opent De Groene het politieke jaar.","['een tv-optreden bij', 'toespraak op een', 'het nieuws. Met', 'daarom het nieuwe']","['een presentatie van', 'politiek', 'de belangstelling. Met', 'het']",12,20,12,"[0.6842105263157895, 0.875, 0.6363636363636364, 0.8235294117647058]",0.75
seq4-0,xl,Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. In aflevering,Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald <extra_id_0>,Groene-redacteur Casper Thomas schrijft vanuit Washington over het Amerika van Donald Trump. Lees,['Trump. In aflevering'],['Lees'],3,20,11,[0.9],0.9
seq5-0,xl,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer selecteerden <extra_id_0> oog springende cultuur van het nieuwe kunstseizoen. Tip,De vaste kunstcritici van De Groene Amsterdammer selecteerden de meest in het oog springende cultuur van het nieuwe kunstseizoen. Tip,['de meest in het'],['de meest in het'],4,20,11,[0.0],0.0
seq6-0,xl,. Onze podcast is elke vrijdagochtend gratis beschikbaar via groene.nl/podcasts en via de andere bekende podcastkanalen,. Onze podcast is elke <extra_id_0> via groene.nl/podcasts en via de andere bekende podcastkanalen,. Onze podcast is elke week te beluisteren via groene.nl/podcasts en via de andere bekende podcastkanalen,['vrijdagochtend gratis beschikbaar'],['week te beluisteren'],3,20,10,[0.8181818181818182],0.82
seq7-0,xl,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemeni. Hoe hield ze zich staande onder het bewind van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal <extra_id_0> ze zich staande <extra_id_1> van Ceauescu? Deel,Mira Feticu ziet overeenkomsten tussen de quarantaine ten tijde van de coronacrisis en haar leven in dictatoriaal Roemenië. Hoe hield ze zich staande tegen de repressie van Ceauescu? Deel,"['Roemeni. Hoe hield', 'onder het bewind']","['Roemenië. Hoe hield', 'tegen de repressie']",6,20,10,"[0.05263157894736842, 0.7777777777777778]",0.42
seq8-0,xl,"Frans Verhagen is lid geworden van de PvdA, want op dit moment in de geschiedenis kun je niet meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, want <extra_id_0> in <extra_id_1> kun je niet meer blijven toekijken. Deze week:","Frans Verhagen is lid geworden van de PvdA, want kijk, in de Kamer kun je niet meer blijven toekijken. Deze week:","['op dit moment', 'de geschiedenis']","['kijk,', 'de Kamer']",5,20,9,"[0.9230769230769231, 0.7333333333333333]",0.83
seq9-0,xl,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona in de internationale pers. In aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona <extra_id_0> In aflevering,De komende weken zal Menno Grootveld stukken selecteren en vertalen van denkers over corona In aflevering,['in de internationale pers.'],[''],4,20,9,[1.0],1.0
